60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,b4:5d:50:e1:96:51,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,b4:5d:50:e1:96:53,38:17:c3:1f:00:b1,b4:5d:50:e1:96:52,38:17:c3:1f:00:b2,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,20:a6:cd:42:0a:c1,44:48:c1:91:d0:02,44:48:c1:91:d0:00,44:48:c1:91:d0:10,44:48:c1:91:d0:14,44:48:c1:91:d0:12,38:17:c3:1f:14:11,38:17:c3:1f:14:12,38:17:c3:1f:09:83,38:17:c3:1f:09:81,38:17:c3:1f:09:82,a8:bd:27:4c:aa:83,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,44:48:c1:91:95:a3,20:a6:cd:42:13:e2,20:a6:cd:42:13:e1,44:48:c1:91:95:b3,38:17:c3:1f:09:93,b4:5d:50:e1:96:50,38:17:c3:1f:00:b0,20:a6:cd:42:0a:c2,44:48:c1:91:d0:01,44:48:c1:91:d0:11,38:17:c3:1f:14:10,38:17:c3:19:45:a0,9c:d6:43:60:92:e0,38:17:c3:1f:19:d0,38:17:c3:1f:09:90,66:2a:2f:53:7c:99,20:a6:cd:42:0a:c0,38:17:c3:1f:14:01,38:17:c3:1f:14:02,44:48:c1:91:aa:22,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:24:47:52,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,38:17:c3:1f:14:00,38:17:c3:1f:09:80,44:48:c1:91:95:b2,38:17:c3:24:47:50,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,38:17:c3:19:45:b2,38:17:c3:19:45:b1,44:48:c1:91:95:a0,44:48:c1:91:95:a1,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,38:17:c3:1f:09:91,38:17:c3:1f:09:92,b4:5d:50:e1:96:40,20:a6:cd:42:0a:d2,38:17:c3:1f:19:c0,a8:bd:27:4c:aa:90,38:17:c3:19:45:a2,38:17:c3:19:45:a1,a8:bd:27:4c:aa:82,38:17:c3:1f:00:a0,38:17:c3:19:45:b0,44:48:c1:91:95:a2,a8:bd:27:4c:aa:92,38:17:c3:24:47:51,b6:e6:2d:69:d5:58,44:48:c1:91:aa:21,a8:bd:27:4c:aa:81,44:48:c1:91:aa:20,20:a6:cd:42:13:e0,a8:bd:27:4c:aa:80,38:17:c3:1a:cf:d2,38:17:c3:1a:cf:d1,38:17:c3:1a:cf:d0,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:e3,38:17:c3:1f:19:e1,38:17:c3:1f:19:e0,38:17:c3:1f:19:e2,80:8d:b7:55:25:e3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:70,38:17:c3:19:d7:72,38:17:c3:19:d7:71,38:17:c3:19:d7:62,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:35:03,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,ea:9e:b4:53:24:54,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:25:f1,80:8d:b7:55:35:02,80:8d:b7:55:35:13,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,38:17:c3:19:71:90,20:a6:cd:50:24:a1,38:17:c3:1e:ff:01,80:8d:b7:55:35:12,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,20:a6:cd:50:24:a2,38:17:c3:19:71:91,80:8d:b7:55:29:d0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:29:c2,38:17:c3:19:71:81,38:17:c3:19:71:82,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,38:17:c3:1e:ff:12,80:8d:b7:55:29:c1,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,38:17:c3:19:36:22,38:17:c3:19:36:21,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:39:c0,38:17:c3:19:36:20,20:a6:cd:50:24:a0,20:a6:cd:50:24:b0,80:8d:b7:55:29:c0,20:a6:cd:50:24:b1,38:17:c3:1f:0e:10,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:42,20:a6:cd:50:24:b2,38:17:c3:1f:22:30,38:17:c3:1f:0e:12,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:0e:00,38:17:c3:1f:0e:11,x,y,timestamp
-55,-67,-63,-62,-72,-65,-68,-71,-72,-74,-72,-75,-73,-71,-71,-73,-74,-80,-81,-80,-80,-80,-79,-80,-81,-81,-83,-83,-80,-82,-83,-85,-86,-73,-75,-72,-73,-80,-80,-81,-75,-83,-86,-89,-72,-73,-73,-82,-86,-86,-87,-89,-89,-73,-81,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,115,794,640262658037
-59,-67,-62,-62,-72,-67,-68,-69,-73,-74,-72,-74,-71,-72,-69,-72,-73,-81,-81,-81,-79,-80,-79,-79,-81,-79,-84,-84,-80,-82,-83,-85,-88,-73,-74,-70,-72,-81,-80,-81,-76,-84,-88,-89,-72,-73,-73,-82,-87,-87,-87,-89,-89,-74,-79,-87,-88,-79,-79,-79,-81,-81,-80,-80,-81,-81,-88,-88,-67,-79,-81,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,115,794,643848991345
-59,-67,-62,-62,-74,-68,-68,-70,-74,-71,-74,-71,-73,-71,-70,-71,-71,-79,-79,-79,-80,-80,-77,-78,-78,-79,-83,-84,-78,-100,-100,-84,-87,-74,-71,-71,-71,-79,-80,-76,-76,-83,-88,-89,-71,-72,-72,-100,-85,-85,-100,-100,-100,-72,-78,-85,-86,-81,-81,-81,-80,-80,-82,-82,-81,-81,-88,-88,-68,-81,-81,-88,-76,-77,-82,-62,-80,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,115,794,647611248883
-61,-70,-61,-61,-73,-68,-68,-69,-73,-75,-73,-75,-73,-72,-71,-72,-71,-81,-82,-81,-80,-80,-77,-78,-78,-81,-83,-83,-75,-81,-100,-88,-87,-73,-75,-71,-72,-82,-80,-76,-79,-84,-100,-86,-71,-73,-73,-100,-85,-88,-100,-86,-100,-73,-78,-87,-86,-79,-79,-79,-81,-81,-82,-82,-81,-81,-88,-88,-68,-79,-81,-88,-77,-77,-82,-61,-81,-80,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,115,794,651376962422
-58,-66,-60,-61,-73,-69,-69,-71,-73,-72,-73,-72,-69,-71,-68,-72,-72,-81,-81,-80,-82,-82,-77,-100,-78,-80,-82,-82,-75,-81,-81,-85,-87,-72,-72,-68,-72,-80,-82,-76,-75,-82,-86,-89,-69,-73,-73,-100,-86,-85,-100,-88,-88,-74,-78,-85,-100,-78,-78,-77,-80,-80,-81,-100,-81,-81,-86,-87,-69,-77,-81,-88,-77,-77,-100,-61,-80,-80,-88,-85,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,115,794,655077357884
-58,-66,-62,-62,-73,-68,-68,-69,-73,-74,-73,-73,-73,-71,-71,-72,-72,-80,-80,-80,-79,-79,-77,-79,-78,-80,-85,-85,-80,-81,-81,-87,-86,-73,-74,-70,-72,-81,-78,-76,-82,-85,-86,-89,-71,-73,-73,-79,-88,-87,-100,-88,-87,-73,-77,-88,-100,-79,-79,-79,-80,-80,-79,-80,-80,-80,-86,-86,-68,-79,-80,-88,-76,-76,-82,-63,-81,-79,-88,-85,-92,-79,-82,-79,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,115,794,658801823807
-56,-73,-64,-64,-75,-70,-70,-73,-76,-69,-75,-69,-71,-72,-72,-72,-72,-82,-82,-82,-75,-75,-76,-100,-100,-78,-88,-100,-78,-100,-100,-100,-88,-75,-69,-71,-72,-83,-75,-100,-77,-88,-88,-100,-72,-70,-71,-100,-100,-100,-100,-100,-100,-70,-100,-100,-85,-75,-75,-74,-79,-80,-78,-79,-100,-100,-100,-100,-71,-75,-100,-100,-80,-79,-79,-63,-79,-79,-100,-84,-89,-100,-79,-100,-100,-79,-87,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,115,779,695667289579
-52,-72,-64,-64,-76,-71,-71,-73,-76,-69,-76,-69,-70,-73,-71,-71,-71,-82,-82,-82,-75,-75,-76,-78,-76,-78,-86,-86,-78,-100,-100,-90,-88,-75,-69,-71,-71,-82,-75,-80,-74,-86,-88,-100,-71,-70,-71,-100,-100,-100,-100,-100,-100,-70,-78,-90,-86,-75,-75,-75,-78,-78,-78,-79,-100,-100,-100,-100,-71,-75,-100,-100,-80,-81,-79,-64,-78,-78,-100,-84,-89,-100,-79,-100,-100,-80,-87,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,115,779,699395667040
-53,-69,-65,-65,-75,-71,-70,-74,-75,-68,-75,-68,-71,-75,-72,-73,-72,-82,-82,-83,-75,-75,-75,-78,-78,-81,-86,-88,-78,-100,-100,-90,-86,-76,-68,-72,-72,-82,-75,-83,-73,-88,-86,-100,-72,-100,-100,-83,-100,-100,-100,-100,-100,-100,-78,-91,-86,-77,-77,-77,-82,-78,-100,-79,-100,-100,-87,-87,-71,-77,-100,-100,-83,-83,-78,-65,-78,-78,-100,-100,-89,-83,-78,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,115,779,703146447271
-55,-69,-64,-64,-76,-71,-71,-74,-76,-71,-76,-71,-73,-78,-72,-74,-74,-83,-83,-83,-76,-76,-77,-80,-80,-81,-100,-88,-100,-100,-100,-100,-89,-76,-71,-75,-74,-83,-76,-83,-74,-88,-88,-90,-75,-71,-71,-83,-100,-100,-100,-100,-100,-100,-78,-91,-100,-81,-81,-81,-82,-82,-80,-80,-100,-100,-87,-89,-71,-81,-100,-100,-83,-82,-81,-64,-82,-80,-100,-100,-90,-83,-81,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,115,779,706871014502
