38:17:c3:1f:0e:12,38:17:c3:19:d7:62,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,80:8d:b7:55:39:d0,00:4e:35:df:06:40,44:48:c1:a5:82:30,b0:be:76:f8:30:5e,00:4e:35:df:06:41,00:4e:35:df:06:42,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,b8:27:eb:9f:6b:77,38:17:c3:1e:ff:00,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,44:48:c1:a5:82:21,66:2a:2f:53:7c:99,44:48:c1:a5:82:20,44:48:c1:a5:82:22,b4:5d:50:e1:96:53,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,38:17:c3:1f:01:92,38:17:c3:1f:22:30,80:8d:b7:55:3a:52,38:17:c3:1e:ff:02,38:17:c3:1f:22:32,38:17:c3:1e:ff:01,38:17:c3:1f:22:31,72:32:b1:3e:1a:b8,38:17:c3:1f:01:90,80:8d:b7:55:3a:50,38:17:c3:1f:01:91,80:8d:b7:55:3a:51,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:19:55:52,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:0e:00,38:17:c3:19:55:50,38:17:c3:19:55:51,80:8d:b7:55:3a:41,38:17:c3:1f:01:81,38:17:c3:1f:01:82,80:8d:b7:55:3a:42,38:17:c3:1e:ff:12,38:17:c3:1f:01:80,80:8d:b7:55:3a:40,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,80:8d:b7:55:25:e3,b4:5d:50:e1:92:31,b4:5d:50:e1:96:50,60:32:b1:3e:1a:b7,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,72:32:b1:3e:1a:b7,20:a6:cd:50:24:a0,60:32:b1:3e:1a:b8,b4:5d:50:e1:92:30,38:17:c3:19:71:90,00:4e:35:de:e1:12,68:ff:7b:e4:af:38,68:ff:7b:e4:af:39,20:a6:cd:42:0b:e3,38:17:c3:1f:00:b0,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:1f:09:83,38:17:c3:19:45:a0,38:17:c3:1f:09:93,38:17:c3:1f:09:90,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,38:17:c3:19:45:a1,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:19:71:92,38:17:c3:19:71:91,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,b4:5d:50:e1:92:23,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,38:17:c3:1f:08:50,38:17:c3:19:55:40,38:17:c3:19:55:41,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,00:4e:35:de:d7:52,b4:5d:50:e1:92:20,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:31,44:48:c1:91:95:b2,44:48:c1:91:95:b3,00:4e:35:de:d7:53,00:4e:35:de:e1:02,38:17:c3:19:55:42,38:17:c3:1f:08:51,44:48:c1:91:95:b0,44:48:c1:91:95:b1,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:32,38:17:c3:1f:08:52,38:17:c3:1f:08:40,38:17:c3:1f:08:42,00:4e:35:de:e1:00,00:4e:35:de:e1:01,38:17:c3:1f:08:41,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:19:36:30,38:17:c3:1f:22:21,38:17:c3:1f:22:22,00:4e:35:df:0e:00,38:17:c3:19:36:31,00:4e:35:de:d7:43,00:4e:35:de:d7:42,00:4e:35:de:d7:41,00:4e:35:de:d7:40,38:17:c3:1f:22:20,38:17:c3:19:71:82,00:4e:35:df:0e:11,38:17:c3:19:36:32,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,00:4e:35:df:0e:02,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:10,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:1f:0f:90,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1b:08:b0,00:4e:35:df:27:02,00:4e:35:df:27:12,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:0e:01,00:4e:35:df:27:01,00:4e:35:df:27:10,00:4e:35:df:27:11,38:17:c3:1b:08:a1,38:17:c3:1b:08:a2,00:4e:35:df:27:00,9c:d6:43:60:92:e0,x,y,timestamp
-45,-86,-81,-81,-79,-45,-85,-45,-87,-60,-84,-75,-68,-85,-84,-75,-76,-75,-75,-77,-88,-24,-84,-75,-74,-74,-62,-83,-63,-84,-85,-84,-82,-92,-80,-85,-91,-63,-84,-63,-83,-84,-84,-48,-73,-74,-67,-68,-85,-77,-83,-87,-84,-86,-89,-69,-79,-68,-78,-87,-87,-70,-59,-58,-63,-63,-89,-86,-86,-86,-86,-59,-91,-88,-78,-75,-74,-82,-84,-74,-78,-88,-87,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,693,6380170491211
-46,-86,-82,-81,-79,-46,-86,-46,-88,-65,-86,-76,-67,-85,-85,-76,-75,-77,-76,-78,-76,-25,-86,-72,-72,-74,-65,-83,-65,-85,-86,-86,-80,-92,-81,-80,-90,-65,-82,-64,-82,-82,-82,-48,-74,-75,-67,-69,-85,-76,-84,-87,-85,-86,-90,-89,-76,-71,-76,-87,-87,-74,-58,-58,-63,-64,-89,-86,-81,-86,-85,-58,-91,-88,-78,-74,-71,-82,-83,-72,-79,-87,-88,-80,-88,-92,-94,-81,-79,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,693,6384116683449
-48,-87,-79,-76,-79,-46,-85,-47,-88,-66,-84,-76,-66,-85,-84,-76,-69,-76,-69,-70,-71,-26,-84,-73,-74,-74,-60,-83,-63,-85,-85,-85,-82,-91,-82,-82,-91,-84,-82,-63,-83,-83,-83,-47,-72,-73,-67,-69,-85,-74,-84,-87,-83,-86,-90,-69,-75,-70,-75,-86,-86,-74,-58,-59,-65,-64,-89,-87,-90,-86,-86,-59,-91,-88,-78,-72,-72,-82,-82,-74,-79,-87,-86,-80,-88,-92,-92,-81,-79,-81,-91,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,693,6388024458135
-45,-86,-77,-78,-80,-45,-86,-45,-85,-64,-84,-76,-65,-84,-84,-75,-75,-74,-76,-77,-75,-35,-85,-73,-75,-73,-64,-82,-64,-84,-84,-84,-82,-91,-83,-82,-91,-64,-83,-65,-82,-85,-84,-49,-72,-73,-67,-70,-85,-74,-85,-87,-83,-86,-90,-70,-75,-69,-72,-87,-86,-71,-57,-56,-62,-64,-89,-87,-79,-87,-86,-58,-91,-88,-78,-74,-72,-82,-84,-72,-79,-87,-87,-78,-88,-91,-92,-81,-79,-81,-91,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,693,6391902837873
-47,-86,-80,-79,-79,-47,-86,-47,-85,-64,-85,-77,-68,-84,-84,-77,-75,-77,-75,-77,-76,-24,-86,-72,-72,-73,-65,-82,-63,-84,-84,-85,-81,-91,-81,-82,-92,-66,-82,-63,-82,-84,-83,-47,-72,-73,-67,-70,-85,-74,-85,-87,-85,-86,-90,-69,-74,-70,-74,-89,-89,-71,-58,-56,-62,-63,-89,-86,-81,-87,-86,-56,-91,-88,-80,-76,-73,-82,-83,-74,-79,-87,-88,-82,-88,-91,-92,-78,-80,-80,-91,-89,-90,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,693,6395745908237
-45,-86,-79,-78,-79,-46,-87,-46,-89,-62,-85,-73,-75,-84,-84,-73,-76,-73,-73,-74,-74,-25,-84,-72,-73,-73,-61,-82,-64,-85,-85,-85,-82,-91,-81,-81,-92,-64,-82,-62,-82,-82,-82,-48,-71,-71,-67,-70,-85,-78,-84,-87,-83,-86,-90,-70,-77,-70,-78,-89,-89,-71,-58,-56,-63,-62,-89,-86,-82,-86,-86,-57,-89,-90,-80,-75,-73,-82,-82,-73,-79,-87,-87,-82,-89,-94,-92,-78,-80,-80,-91,-89,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,693,6399567713548
-51,-86,-70,-72,-69,-52,-87,-49,-89,-66,-85,-74,-78,-85,-84,-75,-71,-72,-73,-71,-73,-25,-84,-73,-72,-72,-61,-83,-63,-86,-87,-87,-80,-90,-82,-82,-92,-63,-84,-61,-84,-81,-81,-55,-73,-73,-70,-70,-88,-77,-84,-87,-83,-88,-90,-70,-78,-70,-79,-90,-89,-72,-61,-62,-65,-67,-89,-83,-80,-82,-82,-61,-88,-88,-84,-82,-73,-86,-80,-73,-79,-91,-92,-79,-89,-94,-90,-78,-82,-80,-89,-89,-90,-89,-92,-91,-92,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,671,6457103465401
-51,-86,-72,-70,-70,-51,-88,-51,-87,-64,-85,-77,-78,-84,-85,-77,-71,-77,-70,-69,-69,-25,-84,-76,-76,-77,-61,-85,-62,-86,-86,-88,-82,-94,-83,-81,-92,-62,-85,-63,-86,-82,-83,-56,-72,-74,-72,-69,-89,-74,-84,-87,-83,-88,-90,-69,-74,-69,-74,-87,-89,-74,-58,-58,-64,-64,-89,-83,-83,-84,-83,-59,-88,-88,-84,-81,-81,-84,-82,-82,-85,-91,-91,-75,-89,-94,-92,-79,-79,-79,-90,-89,-91,-89,-92,-90,-89,-87,-92,-92,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,671,6460952173108
-56,-86,-71,-70,-73,-54,-88,-54,-87,-63,-85,-75,-70,-84,-85,-75,-71,-76,-72,-72,-73,-26,-84,-76,-77,-77,-62,-84,-59,-83,-85,-84,-82,-88,-82,-82,-92,-60,-84,-60,-84,-80,-80,-54,-74,-73,-72,-69,-88,-76,-84,-88,-83,-88,-90,-70,-78,-69,-77,-89,-89,-71,-57,-57,-65,-65,-89,-83,-86,-82,-83,-56,-88,-88,-82,-81,-81,-84,-81,-82,-85,-91,-90,-75,-91,-94,-89,-79,-79,-79,-88,-89,-91,-89,-92,-91,-88,-87,-92,-90,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,671,6464792783367
-49,-89,-72,-72,-72,-50,-89,-51,-89,-65,-86,-75,-73,-85,-85,-75,-69,-75,-69,-70,-69,-25,-84,-74,-76,-74,-63,-82,-63,-85,-84,-84,-83,-90,-81,-86,-92,-62,-83,-63,-83,-81,-82,-50,-75,-74,-76,-70,-89,-76,-84,-88,-83,-88,-90,-71,-76,-70,-76,-89,-89,-76,-55,-55,-65,-65,-86,-83,-84,-83,-83,-56,-87,-86,-82,-81,-81,-84,-81,-82,-85,-91,-92,-75,-91,-94,-87,-79,-79,-79,-87,-89,-89,-91,-91,-88,-90,-89,-92,-90,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,671,6468619259719
-55,-86,-71,-72,-72,-53,-89,-55,-87,-65,-86,-74,-70,-85,-86,-75,-70,-76,-70,-71,-69,-24,-84,-74,-72,-73,-59,-85,-61,-84,-82,-84,-81,-90,-83,-82,-91,-61,-86,-60,-85,-83,-83,-59,-75,-74,-73,-67,-89,-76,-84,-88,-83,-88,-90,-67,-77,-67,-77,-89,-89,-82,-59,-62,-63,-65,-88,-83,-83,-83,-83,-62,-89,-88,-85,-81,-81,-87,-82,-82,-85,-91,-90,-74,-91,-92,-88,-79,-79,-79,-88,-89,-89,-91,-94,-88,-93,-91,-92,-92,-87,-87,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,671,6472467609978
-52,-86,-71,-72,-72,-52,-89,-53,-89,-67,-87,-76,-75,-86,-84,-76,-71,-76,-70,-71,-70,-26,-84,-77,-76,-76,-61,-85,-60,-84,-83,-84,-81,-90,-81,-81,-91,-61,-86,-61,-86,-81,-80,-53,-74,-72,-73,-70,-90,-77,-84,-88,-83,-88,-90,-71,-77,-72,-77,-89,-89,-72,-62,-62,-65,-67,-87,-82,-81,-84,-83,-63,-89,-88,-83,-82,-80,-83,-80,-83,-83,-91,-93,-77,-92,-92,-91,-81,-81,-80,-88,-90,-89,-91,-90,-87,-89,-91,-92,-92,-87,-88,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,606,671,6476303601435
