38:17:c3:1f:0e:12,80:8d:b7:55:39:c2,38:17:c3:19:d7:62,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,80:8d:b7:55:39:d0,b0:be:76:f8:30:5e,00:4e:35:df:06:41,44:48:c1:a5:82:30,00:4e:35:df:06:42,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,b8:27:eb:9f:6b:77,00:4e:35:de:e1:12,00:4e:35:de:e1:10,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,b4:5d:50:e1:96:50,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,ea:9e:b4:53:24:54,80:8d:b7:55:35:01,80:8d:b7:55:35:02,38:17:c3:1f:01:92,38:17:c3:1f:22:30,38:17:c3:1e:ff:02,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,38:17:c3:1f:01:90,38:17:c3:1f:01:91,20:a6:cd:50:24:a2,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b0,38:17:c3:1f:0e:00,38:17:c3:19:45:b1,38:17:c3:1f:01:81,38:17:c3:1f:01:82,80:8d:b7:55:3a:42,38:17:c3:1f:01:80,b4:5d:50:e1:92:33,38:17:c3:1e:ff:00,00:4e:35:de:e1:11,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,80:8d:b7:55:3a:52,38:17:c3:1e:ff:01,60:32:b1:3e:1a:b8,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,38:17:c3:1e:ff:12,80:8d:b7:55:35:03,00:4e:35:df:06:40,80:8d:b7:55:3a:41,80:8d:b7:55:25:e2,80:8d:b7:55:3a:40,44:48:c1:a5:82:21,80:8d:b7:55:25:e3,38:17:c3:19:71:90,66:2a:2f:53:7c:99,68:ff:7b:e4:af:38,38:17:c3:1f:22:32,38:17:c3:1f:22:31,80:8d:b7:55:25:e0,20:a6:cd:50:24:a1,38:17:c3:1f:09:93,38:17:c3:1f:09:90,b4:5d:50:e1:96:51,44:48:c1:a5:82:22,44:48:c1:a5:82:20,20:a6:cd:42:0b:f0,72:32:b1:3e:1a:b8,38:17:c3:19:71:91,38:17:c3:1f:00:b0,38:17:c3:19:55:52,80:8d:b7:55:25:e1,20:a6:cd:42:0b:f3,38:17:c3:19:45:a2,38:17:c3:19:55:51,b4:5d:50:e1:92:31,68:ff:7b:e4:af:39,b4:5d:50:e1:92:23,38:17:c3:1f:09:83,38:17:c3:19:55:50,20:a6:cd:42:0b:e3,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,00:4e:35:de:d7:52,00:4e:35:de:e1:02,38:17:c3:1f:08:50,a8:bd:27:4c:bd:32,b4:5d:50:e1:92:20,38:17:c3:1f:08:51,38:17:c3:1f:08:52,00:4e:35:de:d7:43,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,44:48:c1:91:95:b3,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,00:4e:35:de:d7:53,00:4e:35:df:0e:12,a8:bd:27:4c:bd:31,44:48:c1:91:95:b0,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:de:e1:01,00:4e:35:de:e1:00,38:17:c3:19:71:92,00:4e:35:de:d7:40,00:4e:35:de:d7:42,00:4e:35:de:d7:41,a8:bd:27:4c:bd:30,38:17:c3:19:36:30,00:4e:35:df:0e:11,a8:bd:27:4c:bd:21,44:48:c1:91:95:b1,44:48:c1:91:95:b2,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:19:36:31,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,a8:bd:27:4c:bd:22,00:4e:35:df:0e:02,38:17:c3:1e:fc:a0,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:a1,00:4e:35:df:0e:10,38:17:c3:1e:fc:a2,a8:bd:27:4c:bd:20,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:1f:0f:90,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,00:4e:35:df:27:01,00:4e:35:df:27:02,00:4e:35:df:27:00,38:17:c3:1b:08:b0,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,00:4e:35:df:27:12,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,00:4e:35:df:27:11,x,y,timestamp
-43,-76,-82,-75,-79,-42,-82,-43,-83,-66,-80,-87,-77,-86,-77,-75,-76,-74,-75,-74,-30,-90,-85,-77,-75,-76,-68,-84,-68,-91,-84,-84,-84,-92,-90,-69,-85,-68,-84,-47,-74,-73,-71,-89,-88,-87,-92,-71,-71,-89,-76,-51,-51,-66,-66,-84,-91,-84,-51,-86,-72,-73,-86,-74,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,265,702,23611000687190
-42,-75,-82,-76,-76,-43,-83,-42,-81,-68,-74,-87,-76,-88,-76,-76,-76,-75,-74,-75,-35,-92,-91,-77,-78,-77,-65,-84,-65,-91,-84,-84,-85,-92,-91,-66,-83,-64,-84,-49,-75,-74,-71,-89,-85,-87,-89,-71,-71,-89,-75,-51,-50,-68,-67,-83,-91,-84,-51,-85,-75,-73,-86,-73,-89,-85,-90,-82,-82,-73,-85,-92,-73,-74,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,265,702,23616130216251
-42,-79,-81,-81,-77,-42,-82,-42,-81,-68,-71,-87,-76,-88,-77,-76,-76,-75,-76,-76,-27,-90,-91,-77,-76,-77,-67,-84,-67,-93,-84,-84,-85,-92,-93,-67,-84,-66,-83,-47,-74,-73,-72,-89,-85,-89,-89,-72,-71,-89,-75,-51,-52,-68,-68,-83,-82,-84,-51,-85,-72,-73,-86,-73,-87,-85,-90,-84,-83,-76,-86,-90,-74,-75,-82,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,265,702,23621241983697
-42,-78,-81,-77,-79,-42,-82,-43,-81,-68,-71,-86,-76,-88,-76,-77,-76,-76,-76,-76,-28,-89,-91,-76,-77,-77,-67,-84,-69,-93,-82,-82,-85,-92,-93,-69,-84,-69,-82,-48,-77,-75,-72,-88,-85,-89,-89,-71,-71,-89,-75,-52,-51,-69,-67,-84,-91,-84,-53,-84,-74,-72,-87,-75,-87,-84,-90,-82,-83,-73,-85,-90,-75,-74,-83,-74,-85,-88,-81,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,265,702,23626277541820
-42,-79,-81,-77,-79,-43,-82,-42,-81,-67,-71,-86,-77,-88,-77,-74,-77,-75,-75,-75,-29,-89,-91,-78,-78,-78,-66,-82,-68,-94,-82,-81,-80,-92,-93,-68,-83,-69,-84,-47,-76,-75,-71,-90,-86,-89,-88,-72,-72,-89,-75,-51,-51,-65,-69,-84,-87,-84,-51,-84,-73,-72,-89,-72,-89,-84,-89,-82,-83,-75,-85,-90,-75,-74,-83,-73,-85,-87,-81,-88,-84,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,265,702,23631279927287
-45,-77,-81,-77,-77,-43,-82,-43,-81,-67,-71,-87,-77,-86,-77,-74,-77,-74,-89,-75,-28,-90,-91,-77,-77,-76,-66,-83,-69,-93,-82,-82,-82,-92,-92,-68,-83,-67,-84,-45,-74,-75,-69,-88,-86,-89,-92,-69,-70,-89,-75,-51,-51,-68,-67,-84,-87,-84,-51,-84,-72,-73,-84,-73,-88,-87,-89,-83,-82,-75,-85,-90,-74,-76,-83,-73,-87,-87,-81,-88,-84,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,265,702,23636297048483
-49,-73,-84,-73,-72,-49,-83,-49,-82,-64,-77,-85,-78,-86,-77,-70,-79,-70,-70,-70,-32,-92,-90,-76,-74,-74,-67,-84,-67,-93,-82,-84,-84,-92,-94,-68,-82,-68,-82,-49,-78,-78,-66,-86,-86,-89,-90,-68,-68,-89,-78,-58,-56,-66,-67,-84,-89,-84,-57,-84,-72,-73,-85,-74,-88,-87,-91,-83,-83,-73,-85,-90,-73,-74,-83,-76,-85,-87,-81,-83,-85,-79,-94,-92,-93,-86,-86,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,265,676,23686896692891
-48,-74,-84,-72,-74,-48,-83,-52,-82,-64,-80,-87,-76,-87,-76,-70,-76,-69,-70,-70,-29,-92,-90,-74,-74,-74,-72,-83,-71,-92,-82,-84,-83,-92,-92,-71,-83,-73,-83,-58,-78,-76,-68,-87,-84,-87,-87,-68,-68,-89,-75,-52,-53,-64,-65,-81,-89,-84,-53,-84,-78,-77,-81,-77,-88,-85,-91,-84,-83,-74,-83,-90,-74,-74,-84,-69,-85,-81,-81,-81,-85,-79,-94,-91,-91,-87,-89,-83,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,265,676,23692015264347
-59,-74,-85,-72,-74,-59,-86,-59,-86,-67,-80,-86,-75,-86,-76,-70,-75,-70,-70,-70,-28,-92,-90,-74,-74,-74,-64,-82,-64,-92,-82,-83,-84,-92,-92,-65,-83,-64,-83,-58,-75,-78,-67,-89,-85,-87,-89,-68,-68,-89,-86,-60,-60,-66,-66,-81,-89,-84,-61,-84,-78,-77,-80,-74,-88,-84,-91,-83,-83,-73,-85,-92,-74,-71,-83,-71,-87,-81,-81,-81,-85,-80,-94,-91,-94,-87,-88,-83,-90,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,265,676,23697026950126
-49,-73,-85,-72,-74,-51,-86,-49,-86,-66,-72,-86,-75,-86,-75,-70,-75,-71,-70,-72,-28,-91,-90,-74,-74,-74,-69,-82,-67,-92,-82,-83,-83,-92,-94,-69,-84,-67,-84,-55,-79,-78,-66,-88,-86,-89,-92,-67,-67,-89,-81,-53,-52,-66,-65,-81,-87,-84,-52,-84,-74,-75,-80,-77,-89,-86,-91,-80,-81,-73,-85,-92,-72,-71,-82,-71,-87,-80,-81,-80,-85,-80,-94,-90,-91,-87,-89,-83,-90,-90,-94,-97,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,265,676,23702730297676
