38:17:c3:19:71:90,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,44:48:c1:a5:82:30,80:8d:b7:55:25:f2,44:48:c1:a5:82:32,80:8d:b7:55:25:f3,44:48:c1:a5:82:31,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,b8:27:eb:9f:6b:77,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,44:48:c1:a5:82:21,44:48:c1:a5:82:20,44:48:c1:a5:82:22,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:22:30,38:17:c3:1f:01:92,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:01:90,38:17:c3:1f:01:91,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:01:81,38:17:c3:1e:ff:12,38:17:c3:1f:01:80,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:31,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:d0,00:4e:35:df:06:40,b0:be:76:f8:30:5e,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:de:e1:12,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,b4:5d:50:e1:96:53,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,72:32:b1:3e:1a:b7,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:40,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,38:17:c3:1e:ff:00,00:4e:35:de:e1:10,80:8d:b7:55:35:01,80:8d:b7:55:35:02,38:17:c3:1e:ff:02,a8:bd:27:4c:bd:30,80:8d:b7:55:35:00,38:17:c3:19:55:52,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:1f:01:82,38:17:c3:19:d7:61,b4:5d:50:e1:92:23,66:2a:2f:53:7c:99,38:17:c3:1e:ff:01,20:a6:cd:50:24:a0,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:09:90,b4:5d:50:e1:92:30,00:4e:35:de:e1:11,b4:5d:50:e1:96:50,68:ff:7b:e4:af:38,68:ff:7b:e4:af:39,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:e3,38:17:c3:1f:09:83,38:17:c3:1f:00:b0,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,20:a6:cd:42:0b:f0,72:32:b1:3e:1a:b8,38:17:c3:19:71:91,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1f:09:91,20:a6:cd:42:0b:f2,38:17:c3:19:71:92,38:17:c3:19:45:a1,38:17:c3:19:45:a2,44:48:c1:91:95:b3,38:17:c3:1f:08:50,44:48:c1:91:95:b2,a8:bd:27:4c:bd:32,00:4e:35:de:e1:00,a8:bd:27:4c:bd:31,38:17:c3:1f:08:52,38:17:c3:1f:08:51,3e:33:00:4a:90:c1,38:17:c3:1f:08:41,38:17:c3:1f:08:42,44:48:c1:91:95:b0,44:48:c1:91:95:b1,00:4e:35:de:d7:53,b4:5d:50:e1:92:21,00:4e:35:de:d7:52,38:17:c3:1f:08:40,00:4e:35:de:e1:02,b4:5d:50:e1:92:22,b4:5d:50:e1:92:20,00:4e:35:df:0e:12,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:19:55:40,00:4e:35:de:e1:01,38:17:c3:19:55:41,38:17:c3:19:36:31,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:df:0e:11,38:17:c3:19:55:42,38:17:c3:19:36:32,38:17:c3:1e:fc:b0,38:17:c3:19:71:82,00:4e:35:de:d7:43,38:17:c3:1f:22:22,00:4e:35:df:0e:00,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,a8:bd:27:4c:bd:20,00:4e:35:df:0e:10,00:4e:35:df:0e:02,00:4e:35:df:0e:01,38:17:c3:1e:fc:a0,a8:bd:27:4c:bd:22,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,a8:bd:27:4c:bd:21,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,64:e5:99:c3:13:3c,00:4e:35:df:27:01,00:4e:35:df:27:00,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:1b:08:b0,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:58:a0,00:4e:35:df:27:02,00:4e:35:df:27:12,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:de:d7:40,00:4e:35:de:d7:42,00:4e:35:de:d7:41,x,y,timestamp
-92,-48,-81,-48,-80,-48,-75,-73,-74,-73,-75,-73,-73,-27,-74,-76,-74,-63,-82,-63,-82,-82,-81,-64,-81,-65,-82,-82,-81,-51,-89,-77,-93,-93,-77,-77,-86,-86,-88,-90,-88,-74,-82,-74,-89,-88,-89,-76,-76,-76,-72,-86,-77,-88,-88,-92,-84,-85,-85,-90,-69,-77,-94,-77,-75,-52,-52,-71,-72,-82,-54,-81,-82,-82,-80,-82,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,631,1205783693393
-92,-43,-81,-42,-80,-43,-80,-74,-80,-75,-81,-75,-74,-28,-75,-75,-77,-64,-85,-67,-83,-84,-81,-65,-84,-65,-86,-81,-82,-46,-90,-74,-93,-93,-74,-74,-86,-86,-86,-90,-88,-75,-82,-75,-89,-88,-89,-76,-76,-76,-70,-89,-70,-88,-88,-91,-84,-83,-84,-90,-69,-79,-94,-79,-79,-52,-53,-70,-70,-88,-53,-81,-80,-82,-80,-81,-81,-80,-86,-90,-73,-74,-86,-91,-72,-82,-80,-82,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,631,1211982827245
-92,-42,-82,-42,-82,-42,-82,-75,-82,-76,-82,-75,-74,-29,-76,-75,-76,-68,-85,-68,-83,-84,-81,-69,-86,-67,-86,-81,-81,-45,-90,-72,-93,-93,-72,-71,-88,-91,-86,-88,-87,-74,-81,-75,-89,-88,-89,-79,-81,-81,-69,-89,-69,-88,-88,-92,-83,-83,-82,-91,-69,-78,-94,-78,-78,-53,-52,-69,-68,-86,-53,-82,-81,-82,-80,-81,-81,-80,-86,-90,-77,-76,-86,-92,-75,-82,-82,-82,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,631,1219299337294
-92,-43,-82,-43,-82,-42,-81,-76,-81,-77,-80,-76,-77,-29,-76,-77,-77,-66,-83,-68,-83,-85,-81,-66,-83,-65,-84,-83,-82,-55,-90,-72,-93,-93,-72,-71,-87,-89,-87,-87,-87,-71,-81,-72,-89,-92,-91,-78,-82,-78,-69,-89,-69,-88,-89,-92,-83,-84,-84,-91,-68,-79,-94,-78,-78,-53,-53,-68,-69,-87,-53,-81,-81,-82,-80,-81,-81,-80,-86,-90,-74,-74,-86,-92,-76,-82,-81,-81,-74,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,631,1226642409218
-92,-43,-81,-42,-83,-42,-81,-75,-81,-74,-80,-76,-75,-29,-77,-77,-77,-68,-85,-67,-82,-83,-83,-66,-85,-69,-85,-82,-81,-46,-90,-71,-93,-93,-72,-71,-87,-89,-88,-88,-88,-74,-81,-74,-89,-92,-91,-78,-82,-78,-68,-89,-73,-90,-88,-92,-85,-85,-86,-91,-71,-79,-93,-78,-78,-51,-52,-67,-67,-86,-52,-81,-81,-82,-80,-81,-81,-80,-89,-90,-76,-84,-87,-92,-76,-81,-81,-81,-74,-82,-93,-96,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,631,1233811517757
-92,-42,-81,-42,-83,-43,-82,-78,-83,-75,-82,-77,-75,-27,-76,-76,-77,-66,-84,-68,-84,-82,-83,-69,-86,-68,-85,-80,-82,-45,-90,-72,-93,-93,-72,-74,-88,-87,-87,-88,-89,-72,-81,-73,-89,-88,-91,-75,-78,-75,-85,-89,-71,-90,-88,-90,-84,-85,-84,-91,-69,-77,-91,-78,-78,-52,-52,-68,-68,-85,-52,-82,-81,-82,-80,-81,-81,-80,-89,-90,-74,-73,-87,-92,-76,-82,-80,-82,-70,-81,-93,-94,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,631,1240665892494
-92,-55,-91,-54,-83,-54,-69,-77,-70,-75,-68,-78,-77,-36,-67,-68,-67,-66,-84,-63,-84,-82,-82,-65,-85,-65,-84,-80,-80,-57,-88,-71,-88,-93,-71,-71,-88,-87,-85,-89,-85,-79,-80,-73,-88,-90,-87,-78,-78,-75,-85,-87,-68,-87,-87,-90,-84,-85,-86,-90,-69,-75,-89,-80,-73,-53,-53,-70,-71,-85,-53,-79,-80,-82,-80,-78,-81,-80,-89,-90,-77,-73,-87,-92,-76,-83,-84,-85,-70,-81,-93,-88,-88,-88,-87,-86,-91,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,612,1277012471647
-92,-53,-91,-56,-83,-54,-69,-72,-69,-73,-69,-73,-72,-32,-70,-69,-69,-64,-83,-64,-79,-80,-82,-62,-83,-64,-82,-85,-85,-58,-90,-71,-88,-93,-71,-72,-88,-87,-87,-87,-86,-79,-86,-73,-88,-90,-87,-75,-73,-73,-70,-88,-71,-88,-88,-90,-81,-81,-82,-92,-72,-71,-89,-70,-70,-53,-54,-71,-69,-85,-54,-79,-80,-82,-80,-78,-81,-80,-89,-91,-77,-78,-87,-92,-76,-85,-86,-85,-70,-81,-93,-88,-88,-88,-87,-86,-91,-86,-89,-90,-90,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,612,1284847530394
-92,-55,-91,-56,-83,-54,-71,-74,-70,-74,-70,-74,-73,-31,-68,-67,-67,-65,-83,-62,-80,-80,-80,-65,-84,-62,-81,-84,-84,-58,-91,-72,-88,-93,-72,-71,-88,-87,-86,-87,-86,-81,-84,-73,-88,-94,-87,-75,-73,-73,-70,-88,-74,-88,-88,-90,-79,-80,-80,-92,-72,-71,-89,-70,-72,-52,-52,-71,-71,-83,-53,-79,-77,-82,-80,-79,-81,-80,-85,-91,-77,-78,-86,-92,-76,-86,-86,-86,-70,-81,-93,-92,-85,-88,-87,-86,-91,-86,-89,-90,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,612,1292826363255
-92,-55,-88,-56,-87,-56,-71,-74,-70,-74,-70,-76,-73,-31,-69,-70,-69,-65,-83,-64,-80,-80,-83,-65,-82,-65,-81,-80,-80,-60,-89,-70,-88,-93,-70,-70,-88,-87,-87,-86,-86,-80,-81,-73,-88,-91,-87,-76,-76,-75,-72,-88,-74,-86,-88,-90,-79,-79,-79,-91,-72,-73,-89,-74,-71,-53,-53,-72,-72,-85,-54,-81,-78,-82,-80,-79,-81,-78,-85,-91,-78,-77,-86,-92,-76,-85,-86,-86,-70,-87,-93,-92,-87,-88,-87,-89,-91,-86,-89,-90,-90,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,612,1299933300336
