38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:71:90,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:19:55:41,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,44:48:c1:a5:82:30,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,b8:27:eb:9f:6b:77,38:17:c3:1e:ff:00,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,44:48:c1:a5:82:21,44:48:c1:a5:82:20,44:48:c1:a5:82:22,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:22:30,38:17:c3:1f:01:92,38:17:c3:1f:22:32,38:17:c3:1e:ff:02,60:32:b1:3e:1a:b7,38:17:c3:1e:ff:01,38:17:c3:1f:01:90,38:17:c3:1f:01:91,38:17:c3:1f:09:90,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:55:52,38:17:c3:19:45:b2,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:1e:ff:12,38:17:c3:1f:01:80,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,80:8d:b7:55:39:c2,00:4e:35:de:e1:00,00:4e:35:de:e1:01,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:d0,00:4e:35:df:06:40,b0:be:76:f8:30:5e,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:de:e1:11,00:4e:35:de:e1:12,00:4e:35:de:e1:10,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,00:4e:35:de:e1:02,66:2a:2f:53:7c:99,68:ff:7b:e4:af:38,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,a8:bd:27:4c:bd:32,80:8d:b7:55:3a:51,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,00:4e:35:de:d7:51,00:4e:35:de:d7:50,80:8d:b7:55:3a:40,00:4e:35:de:d7:53,00:4e:35:de:d7:52,60:32:b1:3e:1a:b8,b4:5d:50:e1:96:53,38:17:c3:19:45:b1,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,80:8d:b7:55:25:e0,38:17:c3:1f:22:31,38:17:c3:1f:09:83,20:a6:cd:50:24:a2,b4:5d:50:e1:92:23,38:17:c3:1f:09:93,20:a6:cd:42:0b:f3,38:17:c3:1f:09:92,20:a6:cd:50:24:a0,20:a6:cd:50:24:a1,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e3,72:32:b1:3e:1a:b8,68:ff:7b:e4:af:39,38:17:c3:19:55:40,38:17:c3:19:55:42,b4:5d:50:e1:92:22,44:48:c1:91:95:b0,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,72:32:b1:3e:1a:b7,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:50,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:08:40,00:4e:35:df:0e:12,a8:bd:27:4c:bd:31,38:17:c3:1f:22:20,00:4e:35:df:0e:11,00:4e:35:de:d7:42,00:4e:35:de:d7:41,00:4e:35:de:d7:43,38:17:c3:19:36:32,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,00:4e:35:df:0e:02,00:4e:35:df:0e:01,00:4e:35:df:0e:00,a8:bd:27:4c:bd:30,38:17:c3:1f:22:22,38:17:c3:19:36:30,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:20,38:17:c3:19:45:b0,00:4e:35:df:0e:10,64:e5:99:c3:13:3c,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,00:4e:35:df:27:00,00:4e:35:de:d7:40,x,y,timestamp
-86,-87,-93,-50,-82,-84,-51,-81,-47,-81,-77,-76,-74,-76,-73,-73,-73,-31,-83,-75,-76,-76,-63,-86,-61,-83,-82,-82,-64,-86,-63,-88,-82,-81,-48,-89,-70,-88,-83,-89,-83,-69,-68,-93,-93,-90,-66,-84,-68,-69,-79,-79,-82,-79,-85,-84,-83,-85,-81,-81,-80,-78,-80,-68,-84,-73,-84,-84,-90,-90,-90,-85,-85,-86,-81,-94,-87,-76,-76,-77,-77,-77,-85,-77,-75,-52,-53,-68,-69,-87,-52,-78,-78,-79,-79,-78,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,755,1897104949848
-86,-87,-93,-50,-82,-84,-48,-81,-48,-81,-75,-75,-72,-75,-72,-72,-72,-32,-83,-77,-77,-77,-64,-84,-60,-83,-84,-83,-64,-84,-67,-85,-83,-83,-47,-89,-91,-88,-85,-91,-83,-70,-71,-93,-93,-90,-66,-84,-68,-69,-79,-76,-85,-79,-85,-84,-83,-85,-77,-81,-80,-78,-78,-68,-86,-73,-84,-87,-90,-90,-90,-88,-87,-86,-81,-92,-87,-78,-75,-67,-77,-77,-85,-77,-73,-53,-54,-67,-68,-87,-53,-78,-80,-79,-79,-78,-79,-79,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,755,1904256542345
-86,-87,-93,-50,-84,-84,-47,-83,-47,-83,-73,-74,-74,-72,-73,-75,-73,-32,-84,-76,-75,-77,-67,-86,-68,-83,-85,-83,-69,-86,-69,-85,-85,-85,-48,-89,-66,-88,-85,-91,-84,-67,-66,-92,-93,-90,-66,-85,-68,-69,-79,-72,-84,-79,-85,-89,-83,-90,-80,-81,-80,-80,-80,-67,-88,-76,-87,-87,-90,-90,-90,-88,-87,-86,-81,-93,-94,-75,-75,-70,-79,-78,-85,-78,-74,-53,-54,-67,-68,-87,-53,-78,-80,-79,-79,-78,-79,-79,-87,-92,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,755,1911225224634
-86,-87,-93,-49,-82,-84,-47,-80,-47,-82,-75,-76,-73,-75,-72,-73,-73,-31,-84,-76,-76,-76,-66,-87,-66,-84,-83,-83,-64,-87,-66,-87,-83,-82,-47,-88,-67,-88,-85,-94,-84,-66,-66,-92,-93,-90,-66,-83,-68,-69,-76,-76,-83,-77,-85,-92,-83,-90,-78,-81,-80,-79,-79,-67,-88,-78,-84,-84,-90,-91,-90,-85,-84,-86,-81,-89,-94,-75,-77,-69,-74,-78,-85,-78,-77,-54,-54,-68,-66,-87,-54,-78,-81,-79,-79,-78,-79,-79,-90,-92,-84,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,755,1917688101246
-86,-87,-93,-47,-82,-84,-48,-83,-48,-82,-74,-74,-72,-74,-72,-72,-72,-32,-84,-75,-75,-75,-65,-86,-64,-83,-84,-83,-66,-86,-66,-87,-83,-83,-55,-88,-66,-88,-85,-94,-84,-66,-67,-92,-93,-90,-66,-82,-68,-69,-76,-76,-82,-77,-85,-92,-83,-90,-78,-81,-80,-79,-79,-64,-88,-78,-85,-83,-90,-92,-90,-87,-88,-88,-81,-89,-94,-76,-74,-68,-74,-78,-85,-79,-77,-53,-53,-66,-66,-87,-53,-78,-81,-79,-79,-78,-79,-79,-90,-93,-85,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,755,1924727803119
-86,-87,-93,-49,-82,-84,-49,-82,-49,-81,-73,-73,-73,-73,-73,-74,-73,-29,-84,-74,-74,-74,-66,-85,-65,-81,-82,-81,-66,-86,-65,-85,-82,-84,-53,-90,-66,-90,-85,-93,-84,-66,-65,-92,-93,-90,-82,-82,-68,-69,-78,-78,-82,-77,-85,-92,-83,-90,-78,-81,-80,-78,-81,-66,-82,-73,-84,-85,-90,-92,-90,-91,-88,-91,-81,-89,-94,-74,-74,-68,-80,-79,-85,-79,-77,-54,-53,-65,-65,-87,-53,-78,-81,-79,-79,-78,-79,-79,-85,-93,-83,-91,-92,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,755,1931727125564
-86,-87,-91,-53,-80,-84,-53,-80,-52,-85,-75,-73,-77,-73,-77,-76,-76,-33,-84,-72,-70,-70,-62,-82,-63,-81,-82,-81,-64,-81,-66,-80,-81,-80,-58,-87,-69,-87,-85,-87,-84,-70,-70,-92,-93,-90,-82,-84,-68,-69,-78,-78,-80,-77,-89,-88,-89,-90,-78,-81,-80,-78,-78,-68,-81,-76,-85,-85,-90,-92,-90,-91,-88,-92,-81,-89,-93,-75,-74,-70,-73,-79,-85,-73,-74,-59,-60,-67,-69,-84,-59,-78,-81,-79,-79,-78,-79,-79,-85,-88,-83,-89,-88,-81,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,733,1979746576900
-86,-90,-90,-52,-81,-84,-50,-82,-55,-80,-72,-73,-77,-72,-77,-77,-77,-35,-80,-72,-73,-72,-65,-82,-63,-87,-86,-86,-62,-81,-62,-80,-80,-80,-59,-88,-71,-88,-81,-88,-81,-69,-70,-91,-93,-90,-82,-84,-68,-69,-78,-78,-80,-77,-89,-89,-89,-89,-79,-81,-80,-77,-77,-66,-86,-76,-87,-86,-90,-93,-90,-90,-87,-88,-81,-89,-93,-74,-72,-72,-72,-74,-85,-73,-72,-59,-60,-66,-66,-84,-59,-78,-81,-79,-79,-78,-79,-79,-85,-89,-83,-89,-89,-80,-88,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,733,1986706442730
-89,-90,-90,-51,-81,-84,-52,-81,-52,-81,-73,-72,-76,-72,-76,-77,-75,-25,-80,-72,-72,-72,-61,-82,-62,-86,-85,-86,-61,-80,-62,-80,-79,-80,-59,-88,-70,-87,-81,-86,-80,-70,-71,-91,-93,-90,-82,-85,-68,-69,-78,-78,-80,-77,-89,-92,-89,-92,-78,-81,-80,-78,-76,-65,-86,-77,-87,-85,-90,-94,-90,-88,-87,-88,-81,-89,-93,-74,-74,-70,-74,-74,-85,-74,-71,-58,-59,-63,-67,-85,-59,-78,-81,-79,-79,-78,-79,-79,-85,-90,-83,-89,-89,-80,-88,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,733,1993667612936
-89,-90,-90,-52,-81,-84,-52,-81,-53,-81,-71,-72,-76,-72,-76,-76,-75,-26,-80,-72,-71,-71,-64,-82,-63,-86,-85,-87,-64,-80,-61,-80,-80,-79,-57,-87,-90,-88,-81,-86,-80,-72,-71,-91,-93,-90,-85,-85,-68,-69,-78,-78,-79,-77,-89,-91,-89,-90,-75,-81,-80,-74,-77,-67,-86,-78,-87,-86,-90,-94,-90,-87,-86,-85,-81,-89,-93,-76,-76,-71,-74,-74,-85,-73,-73,-58,-58,-68,-66,-85,-59,-78,-81,-79,-79,-78,-79,-79,-85,-88,-83,-89,-89,-80,-88,-93,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,733,2000730957048
-90,-90,-90,-52,-80,-84,-52,-81,-53,-81,-72,-71,-76,-71,-75,-75,-75,-28,-81,-74,-72,-73,-65,-80,-64,-86,-86,-87,-64,-81,-64,-80,-80,-80,-58,-87,-71,-89,-81,-85,-80,-71,-70,-91,-93,-90,-85,-85,-68,-69,-82,-79,-80,-80,-89,-89,-89,-90,-77,-81,-80,-77,-77,-66,-86,-79,-87,-86,-90,-94,-90,-88,-87,-88,-81,-93,-93,-74,-73,-73,-74,-72,-85,-69,-76,-57,-60,-66,-66,-85,-60,-75,-78,-79,-79,-79,-79,-79,-85,-89,-83,-89,-89,-80,-87,-93,-90,-89,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,733,2007913708295
-90,-90,-90,-51,-82,-84,-54,-94,-52,-93,-71,-73,-76,-72,-75,-75,-75,-26,-81,-72,-73,-73,-62,-80,-65,-87,-86,-86,-65,-81,-64,-80,-80,-79,-58,-88,-70,-88,-80,-86,-80,-71,-71,-91,-93,-90,-85,-86,-68,-69,-82,-79,-80,-80,-89,-90,-90,-89,-74,-81,-80,-76,-77,-67,-85,-79,-87,-85,-90,-94,-90,-87,-87,-87,-81,-92,-93,-76,-73,-70,-74,-72,-85,-69,-76,-60,-59,-65,-68,-85,-59,-78,-78,-79,-79,-78,-79,-79,-92,-88,-83,-89,-88,-80,-86,-93,-90,-88,-91,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,733,2012767737929
-90,-90,-90,-52,-82,-100,-53,-78,-54,-80,-71,-70,-72,-70,-73,-72,-71,-33,-81,-75,-72,-72,-68,-83,-65,-79,-78,-81,-69,-82,-67,-81,-74,-75,-58,-87,-70,-88,-85,-90,-80,-70,-70,-91,-100,-100,-85,-85,-100,-100,-82,-79,-75,-80,-89,-88,-90,-90,-76,-100,-100,-73,-73,-69,-85,-79,-90,-85,-90,-91,-90,-83,-83,-82,-100,-92,-93,-75,-78,-73,-76,-74,-100,-76,-74,-57,-57,-69,-70,-85,-58,-78,-80,-100,-100,-78,-100,-100,-92,-88,-84,-89,-88,-80,-86,-93,-90,-88,-91,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,710,2058064501922
