38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,32:f7:72:50:57:3b,38:17:c3:1f:0e:12,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:1f:0e:10,38:17:c3:1f:0e:11,38:17:c3:19:55:40,44:48:c1:a5:82:30,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,38:17:c3:1f:08:50,38:17:c3:1e:fc:b2,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,44:48:c1:a5:82:21,44:48:c1:a5:82:20,44:48:c1:a5:82:22,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:22:30,38:17:c3:1f:01:92,38:17:c3:1f:22:32,38:17:c3:1f:22:31,60:32:b1:3e:1a:b7,38:17:c3:1f:01:90,38:17:c3:1f:01:91,38:17:c3:19:55:52,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:1e:ff:12,38:17:c3:1f:01:80,b4:5d:50:e1:92:33,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,00:4e:35:df:06:40,80:8d:b7:55:39:d0,b0:be:76:f8:30:5e,00:4e:35:df:06:41,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,68:ff:7b:e4:af:38,68:ff:7b:e4:af:39,b4:5d:50:e1:96:53,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,38:17:c3:24:58:b0,72:32:b1:3e:1a:b7,38:17:c3:24:58:b1,38:17:c3:24:58:b2,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:00,64:e5:99:c3:13:3c,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:24:58:a0,38:17:c3:24:58:a1,80:8d:b7:55:3a:40,80:8d:b7:55:25:e3,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,20:a6:cd:50:24:a0,00:4e:35:df:06:42,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,b4:5d:50:e1:96:50,66:2a:2f:53:7c:99,38:17:c3:19:d7:60,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,20:a6:cd:50:24:a2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,b4:5d:50:e1:92:23,00:4e:35:de:e1:00,20:a6:cd:50:24:a1,38:17:c3:1f:00:b0,00:4e:35:de:e1:11,00:4e:35:de:e1:10,80:8d:b7:55:25:e2,38:17:c3:19:45:a0,20:a6:cd:42:0b:f3,38:17:c3:19:71:90,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:19:71:91,60:32:b1:3e:1a:b8,20:a6:cd:42:0b:f0,72:32:b1:3e:1a:b8,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:32,20:a6:cd:42:0b:e3,a8:bd:27:4c:bd:31,00:4e:35:de:e1:01,00:4e:35:de:e1:02,44:48:c1:91:95:b3,44:48:c1:91:95:b2,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,b4:5d:50:e1:92:20,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:19:71:92,00:4e:35:de:d7:43,00:4e:35:df:0e:12,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:19:36:30,38:17:c3:19:36:32,38:17:c3:19:36:31,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:22,00:4e:35:df:0e:01,00:4e:35:df:0e:00,00:4e:35:df:0e:02,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:a2,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:24:4f:02,00:4e:35:df:27:12,38:17:c3:1b:08:a2,00:4e:35:de:d7:42,00:4e:35:de:d7:40,x,y,timestamp
-71,-71,-71,-85,-43,-72,-72,-43,-43,-69,-72,-72,-80,-72,-80,-79,-79,-88,-60,-88,-87,-60,-60,-79,-77,-78,-67,-85,-65,-82,-82,-82,-65,-88,-67,-85,-83,-84,-47,-87,-88,-85,-84,-91,-71,-71,-84,-85,-83,-84,-84,-85,-75,-74,-85,-75,-88,-78,-77,-76,-88,-64,-70,-88,-84,-83,-84,-85,-77,-91,-74,-76,-72,-77,-83,-91,-83,-82,-77,-76,-76,-85,-55,-55,-66,-65,-81,-55,-82,-82,-86,-86,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,708,2592218932447
-71,-71,-71,-85,-43,-72,-72,-44,-43,-69,-72,-73,-75,-72,-75,-77,-75,-88,-60,-88,-87,-60,-60,-78,-79,-78,-64,-89,-64,-83,-83,-82,-67,-87,-65,-88,-83,-82,-46,-84,-71,-85,-83,-91,-73,-72,-83,-83,-85,-84,-84,-83,-75,-76,-83,-75,-87,-76,-78,-78,-88,-65,-80,-88,-81,-80,-81,-85,-77,-90,-77,-76,-72,-75,-83,-91,-83,-82,-75,-75,-76,-85,-56,-55,-65,-66,-86,-55,-87,-85,-86,-86,-82,-81,-83,-83,-84,-85,-90,-85,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,708,2597921323956
-100,-100,-100,-100,-46,-100,-100,-45,-44,-100,-73,-72,-79,-72,-79,-78,-77,-100,-100,-100,-100,-100,-100,-79,-79,-78,-67,-88,-64,-81,-83,-83,-67,-88,-67,-87,-82,-82,-46,-84,-73,-84,-85,-91,-88,-71,-84,-84,-86,-84,-86,-83,-77,-77,-83,-75,-88,-77,-78,-84,-87,-66,-78,-88,-82,-82,-82,-100,-100,-90,-76,-75,-73,-75,-100,-91,-100,-100,-75,-75,-76,-100,-55,-54,-65,-65,-90,-53,-87,-87,-100,-100,-82,-80,-82,-83,-84,-85,-90,-85,-89,-89,-88,-88,-89,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,708,2603732318120
-100,-100,-100,-100,-45,-100,-100,-45,-45,-100,-72,-72,-80,-72,-79,-79,-79,-100,-100,-100,-100,-100,-100,-81,-80,-81,-67,-88,-65,-83,-83,-83,-66,-88,-65,-87,-82,-82,-46,-84,-72,-85,-84,-91,-71,-72,-84,-85,-84,-84,-84,-84,-74,-76,-83,-75,-88,-78,-78,-84,-87,-65,-81,-88,-85,-84,-85,-100,-100,-90,-76,-75,-73,-77,-100,-91,-100,-100,-77,-76,-76,-100,-54,-54,-65,-67,-90,-54,-85,-87,-100,-100,-86,-80,-83,-83,-84,-85,-90,-85,-89,-89,-88,-88,-89,-90,-91,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,708,2609198621451
-100,-100,-100,-100,-44,-100,-100,-44,-44,-100,-74,-73,-79,-74,-78,-78,-78,-100,-100,-100,-100,-100,-100,-80,-80,-81,-67,-86,-67,-83,-83,-83,-66,-87,-65,-89,-83,-83,-47,-85,-72,-84,-84,-90,-72,-71,-82,-84,-84,-84,-84,-83,-78,-75,-83,-75,-87,-75,-87,-84,-87,-66,-81,-88,-84,-83,-84,-100,-100,-88,-76,-76,-73,-76,-100,-91,-100,-100,-75,-75,-76,-100,-54,-56,-65,-66,-90,-55,-85,-84,-100,-100,-86,-80,-85,-83,-85,-85,-89,-87,-89,-89,-89,-89,-90,-88,-91,-83,-86,-96,-89,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,708,2614655323012
-100,-100,-100,-100,-43,-100,-100,-44,-43,-100,-73,-74,-80,-74,-79,-80,-78,-100,-100,-100,-100,-100,-100,-80,-81,-80,-65,-89,-68,-83,-82,-83,-67,-89,-66,-87,-84,-83,-50,-87,-72,-85,-84,-92,-72,-72,-85,-84,-84,-84,-84,-84,-76,-84,-84,-74,-88,-78,-78,-78,-86,-90,-81,-86,-85,-84,-83,-100,-89,-88,-75,-76,-74,-75,-100,-92,-100,-100,-75,-77,-77,-100,-55,-54,-66,-67,-82,-54,-85,-84,-100,-100,-83,-80,-89,-84,-87,-85,-89,-86,-89,-87,-87,-89,-87,-89,-91,-84,-86,-92,-89,-84,-83,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,708,2618334769156
-100,-100,-100,-100,-59,-100,-100,-59,-61,-100,-73,-74,-78,-74,-77,-78,-77,-93,-100,-100,-100,-100,-100,-68,-68,-68,-65,-87,-67,-83,-82,-82,-66,-86,-67,-87,-84,-85,-57,-88,-68,-88,-87,-93,-67,-67,-83,-84,-84,-84,-83,-84,-76,-77,-86,-76,-87,-81,-80,-78,-86,-67,-74,-86,-81,-80,-80,-100,-89,-90,-74,-75,-76,-71,-100,-91,-100,-100,-72,-73,-74,-100,-60,-59,-65,-65,-82,-59,-83,-83,-100,-100,-82,-79,-81,-80,-87,-85,-88,-90,-89,-87,-87,-87,-88,-90,-86,-81,-86,-88,-90,-84,-83,-91,-88,-88,-92,-88,-89,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,691,2679460822779
-100,-100,-100,-100,-60,-100,-100,-58,-52,-100,-72,-71,-76,-70,-75,-75,-76,-93,-100,-100,-100,-100,-100,-65,-68,-67,-68,-88,-68,-82,-84,-82,-66,-86,-67,-87,-84,-83,-54,-88,-69,-87,-87,-93,-68,-68,-83,-83,-84,-84,-84,-84,-79,-77,-83,-76,-88,-82,-81,-78,-90,-66,-78,-91,-82,-82,-82,-92,-91,-88,-76,-76,-73,-72,-100,-91,-100,-100,-71,-71,-77,-100,-59,-60,-65,-65,-79,-59,-81,-83,-100,-100,-83,-79,-81,-80,-85,-85,-88,-85,-89,-87,-87,-87,-88,-90,-90,-81,-86,-87,-89,-84,-83,-91,-88,-88,-92,-88,-89,-82,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,691,2685163985381
-100,-100,-100,-100,-57,-100,-100,-57,-54,-100,-71,-70,-71,-70,-71,-74,-72,-93,-100,-100,-100,-100,-100,-76,-75,-76,-64,-82,-62,-83,-84,-84,-64,-81,-62,-83,-80,-82,-56,-88,-72,-87,-87,-91,-72,-71,-85,-84,-84,-83,-84,-85,-79,-77,-79,-76,-87,-82,-72,-78,-90,-64,-76,-91,-81,-83,-83,-92,-91,-93,-76,-77,-63,-72,-100,-90,-100,-100,-74,-72,-76,-100,-67,-67,-65,-65,-86,-67,-81,-83,-100,-100,-83,-79,-81,-82,-85,-85,-88,-85,-89,-87,-87,-86,-86,-96,-92,-82,-86,-93,-89,-81,-83,-91,-88,-88,-92,-88,-89,-79,-87,-91,-93,-89,-88,-90,-89,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,691,2690770808660
-100,-100,-100,-100,-54,-100,-100,-53,-54,-100,-70,-69,-71,-69,-71,-70,-71,-93,-100,-100,-100,-100,-100,-73,-72,-74,-67,-82,-66,-84,-83,-83,-67,-82,-66,-82,-78,-79,-52,-90,-71,-87,-87,-88,-71,-70,-85,-85,-85,-85,-86,-85,-75,-76,-79,-77,-87,-76,-72,-78,-86,-67,-79,-85,-77,-83,-81,-92,-91,-93,-77,-75,-72,-74,-100,-92,-100,-100,-72,-73,-77,-100,-66,-66,-65,-65,-86,-66,-79,-79,-100,-100,-81,-79,-81,-82,-85,-88,-88,-87,-89,-87,-87,-86,-86,-96,-90,-85,-86,-93,-89,-81,-83,-91,-88,-88,-92,-88,-89,-79,-87,-91,-92,-89,-88,-90,-89,-91,-90,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,691,2696652766730
