38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,44:48:c1:a5:82:30,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,44:48:c1:a5:82:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,38:17:c3:1e:ff:00,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,44:48:c1:a5:82:21,44:48:c1:a5:82:20,44:48:c1:a5:82:22,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:01:92,38:17:c3:1f:22:30,38:17:c3:1f:22:31,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:01:90,38:17:c3:1f:01:91,38:17:c3:19:55:52,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:1e:ff:12,38:17:c3:1f:01:80,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,b4:5d:50:e1:92:23,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:d0,00:4e:35:df:06:40,b0:be:76:f8:30:5e,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:de:e1:11,00:4e:35:de:e1:12,00:4e:35:de:e1:10,2a:16:ad:ec:da:ab,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,00:4e:35:de:e1:02,66:2a:2f:53:7c:99,68:ff:7b:e4:af:38,b4:5d:50:e1:96:53,68:ff:7b:e4:af:39,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,72:32:b1:3e:1a:b7,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,a8:bd:27:4c:bd:30,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:1f:22:32,20:a6:cd:50:24:a1,a8:bd:27:4c:bd:31,b4:5d:50:e1:96:52,72:32:b1:3e:1a:b8,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:1f:09:91,b4:5d:50:e1:96:51,38:17:c3:19:71:90,20:a6:cd:50:24:a2,b4:5d:50:e1:96:50,20:a6:cd:50:24:a0,38:17:c3:19:55:42,38:17:c3:19:55:40,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:45:a1,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:f3,38:17:c3:1f:00:b0,38:17:c3:19:45:a2,38:17:c3:1f:00:b1,a8:bd:27:4c:bd:32,20:a6:cd:42:0b:f0,38:17:c3:1f:08:50,38:17:c3:1f:09:83,38:17:c3:19:55:41,38:17:c3:1f:08:52,00:4e:35:de:e1:00,00:4e:35:df:0e:12,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b3,b4:5d:50:e1:92:22,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,00:4e:35:de:e1:01,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:51,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:20,00:4e:35:de:d7:40,00:4e:35:de:d7:43,00:4e:35:df:0e:11,38:17:c3:19:36:30,00:4e:35:df:0e:10,38:17:c3:19:71:80,38:17:c3:19:36:31,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1e:fc:b0,00:4e:35:de:d7:42,00:4e:35:de:d7:41,38:17:c3:19:36:32,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:1f:0f:90,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,38:17:c3:1b:08:a0,38:17:c3:1b:08:a2,38:17:c3:1b:08:a1,x,y,timestamp
-49,-84,-48,-85,-48,-86,-76,-76,-75,-75,-76,-76,-74,-86,-76,-76,-74,-70,-84,-69,-79,-82,-82,-70,-83,-70,-83,-81,-81,-45,-76,-88,-87,-90,-89,-76,-77,-84,-89,-91,-89,-82,-84,-78,-78,-81,-79,-86,-86,-85,-87,-88,-76,-73,-75,-67,-81,-74,-83,-81,-87,-89,-88,-84,-85,-85,-85,-91,-94,-94,-92,-93,-74,-75,-73,-73,-89,-83,-74,-74,-58,-58,-68,-67,-88,-59,-82,-79,-81,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,741,781912923086
-45,-84,-46,-86,-45,-86,-72,-71,-71,-71,-71,-71,-72,-87,-75,-74,-74,-73,-83,-73,-78,-79,-78,-73,-82,-73,-82,-81,-82,-45,-75,-89,-89,-91,-87,-75,-75,-83,-86,-91,-89,-82,-83,-76,-76,-81,-77,-87,-87,-87,-87,-88,-73,-78,-77,-71,-81,-77,-83,-89,-87,-92,-88,-84,-86,-84,-84,-91,-92,-94,-94,-93,-76,-75,-73,-73,-91,-72,-72,-77,-56,-60,-71,-71,-86,-59,-82,-79,-82,-82,-81,-86,-86,-93,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,741,785906669803
-48,-84,-48,-86,-47,-86,-74,-75,-72,-74,-72,-72,-72,-87,-77,-75,-76,-70,-81,-70,-79,-82,-79,-70,-82,-70,-81,-81,-82,-47,-72,-86,-87,-91,-87,-71,-71,-83,-88,-87,-87,-82,-83,-77,-78,-81,-78,-86,-86,-89,-86,-88,-73,-74,-74,-70,-81,-72,-89,-87,-87,-92,-88,-85,-82,-83,-82,-91,-92,-93,-93,-93,-78,-77,-74,-75,-91,-72,-73,-76,-56,-57,-70,-69,-86,-57,-80,-81,-80,-80,-79,-86,-86,-93,-77,-81,-86,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,741,789811905479
-51,-84,-56,-86,-51,-86,-75,-74,-72,-76,-72,-72,-73,-87,-76,-77,-76,-65,-86,-66,-80,-80,-79,-67,-84,-66,-85,-82,-82,-45,-72,-90,-87,-90,-87,-69,-70,-83,-86,-86,-87,-82,-84,-80,-78,-82,-78,-86,-88,-89,-86,-88,-76,-75,-75,-69,-81,-72,-88,-88,-87,-92,-88,-86,-84,-84,-86,-91,-88,-93,-91,-93,-75,-75,-70,-74,-91,-73,-74,-70,-58,-58,-68,-69,-87,-57,-81,-82,-80,-77,-77,-86,-82,-91,-77,-81,-86,-89,-92,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,741,793702110321
-47,-85,-47,-86,-48,-85,-76,-76,-72,-76,-72,-73,-73,-87,-74,-73,-74,-73,-84,-73,-81,-80,-82,-72,-83,-72,-85,-81,-82,-44,-77,-90,-87,-90,-89,-77,-77,-83,-89,-88,-88,-82,-84,-80,-78,-81,-81,-87,-90,-88,-89,-88,-75,-76,-75,-71,-81,-74,-88,-85,-87,-91,-88,-83,-87,-87,-87,-91,-93,-94,-91,-93,-76,-77,-70,-76,-91,-75,-74,-76,-59,-60,-71,-70,-87,-58,-80,-80,-80,-81,-78,-86,-82,-91,-74,-80,-86,-89,-92,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,741,797547531778
-46,-87,-47,-86,-47,-85,-75,-75,-72,-74,-73,-75,-73,-87,-74,-73,-73,-72,-83,-74,-80,-81,-81,-72,-83,-74,-83,-81,-82,-49,-78,-86,-86,-91,-89,-77,-76,-83,-87,-89,-87,-82,-84,-77,-78,-82,-77,-87,-87,-88,-87,-88,-75,-76,-75,-72,-81,-69,-88,-88,-87,-92,-88,-84,-82,-81,-81,-91,-90,-92,-92,-93,-76,-77,-72,-74,-92,-73,-74,-77,-57,-57,-71,-72,-87,-58,-83,-84,-80,-78,-78,-86,-87,-95,-78,-77,-86,-89,-92,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,741,801397775995
-52,-82,-51,-83,-51,-84,-73,-73,-71,-73,-72,-72,-71,-86,-73,-73,-70,-64,-82,-64,-79,-79,-79,-65,-81,-64,-81,-80,-80,-58,-68,-86,-86,-87,-89,-70,-68,-88,-85,-84,-84,-91,-89,-79,-75,-80,-77,-85,-86,-85,-85,-100,-73,-73,-72,-67,-100,-73,-88,-85,-100,-92,-100,-83,-79,-79,-78,-100,-93,-91,-88,-93,-73,-76,-72,-71,-86,-69,-69,-76,-54,-54,-69,-68,-87,-54,-79,-80,-79,-79,-75,-84,-84,-95,-79,-78,-86,-89,-92,-89,-90,-90,-89,-90,-91,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,724,907051860903
-51,-80,-49,-82,-52,-81,-72,-71,-73,-72,-73,-75,-73,-86,-74,-72,-72,-63,-82,-63,-79,-79,-79,-64,-83,-63,-82,-81,-81,-60,-70,-86,-86,-88,-89,-72,-71,-88,-85,-84,-84,-91,-89,-79,-76,-81,-76,-85,-85,-85,-85,-89,-70,-70,-72,-82,-86,-78,-88,-86,-100,-92,-100,-81,-83,-83,-84,-100,-93,-91,-89,-93,-75,-75,-71,-70,-87,-70,-71,-76,-57,-55,-67,-67,-89,-57,-81,-76,-78,-83,-81,-86,-84,-95,-80,-80,-86,-89,-92,-89,-90,-90,-91,-94,-91,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,724,910930264443
-48,-81,-52,-81,-49,-80,-72,-70,-71,-70,-71,-72,-71,-84,-72,-71,-71,-62,-82,-62,-82,-79,-80,-63,-82,-63,-82,-81,-80,-59,-73,-87,-86,-90,-90,-73,-73,-88,-83,-84,-85,-91,-89,-76,-74,-80,-76,-86,-86,-86,-85,-89,-69,-72,-69,-68,-86,-78,-88,-89,-100,-92,-100,-82,-80,-79,-79,-100,-91,-91,-89,-93,-77,-77,-70,-69,-87,-71,-69,-76,-54,-54,-67,-67,-87,-53,-77,-76,-78,-83,-79,-85,-84,-95,-80,-80,-86,-89,-92,-90,-90,-89,-90,-89,-89,-87,-94,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,724,914770501941
-50,-81,-49,-81,-49,-81,-71,-69,-72,-70,-71,-71,-72,-84,-70,-71,-72,-63,-83,-63,-80,-81,-81,-63,-82,-63,-82,-81,-82,-56,-71,-88,-86,-91,-90,-72,-71,-89,-85,-84,-85,-90,-89,-78,-79,-81,-78,-86,-86,-86,-85,-89,-74,-71,-73,-68,-86,-77,-87,-89,-100,-92,-100,-80,-82,-83,-83,-100,-91,-91,-90,-89,-76,-75,-70,-68,-89,-71,-70,-76,-53,-54,-68,-68,-87,-54,-86,-76,-78,-83,-83,-84,-84,-95,-81,-81,-86,-89,-92,-89,-90,-89,-89,-90,-90,-90,-94,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,724,918608130846
