44:48:c1:91:95:a0,44:48:c1:91:95:a1,44:48:c1:91:95:a2,44:48:c1:91:95:a3,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,80:8d:b7:55:25:f0,38:17:c3:19:d7:70,38:17:c3:22:61:91,38:17:c3:22:61:92,38:17:c3:22:61:90,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:19:36:30,38:17:c3:1a:cf:d0,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:81,38:17:c3:1f:09:82,38:17:c3:1f:09:83,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:1f:09:80,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d1,38:17:c3:1f:14:11,20:a6:cd:42:0a:d2,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:10,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,44:48:c1:91:d0:04,38:17:c3:24:47:50,38:17:c3:24:47:52,38:17:c3:24:47:51,66:2a:2f:53:7c:99,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,a8:bd:27:4c:aa:80,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:82,38:17:c3:22:5e:f1,a8:bd:27:4c:aa:81,20:a6:cd:42:13:f0,b4:5d:50:e1:96:40,20:a6:cd:42:13:f1,38:17:c3:24:56:51,72:32:b1:3e:1a:b7,38:17:c3:24:56:50,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,20:a6:cd:42:13:f2,38:17:c3:1f:1c:10,38:17:c3:1f:00:a2,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:90,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,44:48:c1:91:aa:21,86:0d:8e:aa:25:a4,38:17:c3:22:5e:f2,44:48:c1:91:aa:20,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,38:17:c3:1f:19:c0,38:17:c3:24:56:52,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,20:a6:cd:42:0b:e3,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:25:f3,38:17:c3:19:36:31,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,38:17:c3:19:36:32,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:50,80:8d:b7:55:35:10,80:8d:b7:55:35:13,b0:be:76:f8:30:5e,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:35:12,80:8d:b7:55:35:11,38:17:c3:1e:ff:10,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,80:8d:b7:55:29:d0,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:19:71:92,38:17:c3:19:71:90,68:ff:7b:e4:af:38,38:17:c3:19:71:91,80:8d:b7:55:39:d0,80:8d:b7:55:35:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:25:e0,68:ff:7b:e4:af:39,ea:9e:b4:53:24:54,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:39:c1,38:17:c3:1f:22:30,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,38:17:c3:1f:22:32,38:17:c3:1f:0e:10,80:8d:b7:55:29:d1,38:17:c3:1e:ff:02,80:8d:b7:55:29:d2,38:17:c3:1e:ff:00,20:a6:cd:50:24:b0,00:4e:35:df:06:52,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,38:17:c3:1e:ff:01,38:17:c3:1f:22:31,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:29:c0,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:51,00:4e:35:df:06:50,00:4e:35:de:e1:12,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:de:e1:11,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:4d:02,80:8d:b7:55:4d:01,80:8d:b7:55:4d:00,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,80:8d:b7:55:4d:10,x,y,timestamp
-88,-87,-88,-83,-81,-82,-82,-91,-88,-87,-86,-86,-85,-85,-91,-91,-62,-69,-82,-83,-84,-85,-81,-85,-84,-84,-85,-82,-82,-83,-84,-78,-78,-81,-81,-81,-81,-82,-82,-83,-82,-81,-71,-78,-70,-63,-90,-61,-72,-85,-88,-70,-87,-89,-72,-75,-74,-75,-74,-73,-78,-80,-81,-80,-92,-61,-73,-73,-83,-81,-80,-73,-80,-93,-78,-84,-91,-83,-83,-80,-82,-88,-65,-89,-64,-72,-76,-82,-95,-73,-79,-77,-82,-82,-89,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,110,802,312429468734
-87,-85,-86,-85,-81,-86,-82,-91,-88,-87,-87,-88,-81,-82,-91,-91,-63,-67,-82,-81,-86,-84,-85,-78,-78,-77,-78,-82,-81,-82,-85,-78,-78,-81,-81,-81,-81,-82,-84,-83,-85,-80,-69,-79,-70,-63,-78,-62,-70,-85,-86,-70,-85,-84,-68,-69,-69,-68,-74,-74,-78,-80,-80,-80,-92,-62,-73,-74,-83,-82,-82,-71,-83,-91,-78,-82,-91,-82,-83,-80,-82,-88,-62,-89,-64,-70,-80,-82,-95,-70,-83,-75,-82,-88,-91,-86,-83,-87,-92,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,110,802,316450921284
-87,-85,-86,-84,-81,-86,-82,-91,-88,-87,-87,-88,-84,-84,-91,-93,-57,-65,-85,-84,-84,-84,-82,-78,-80,-79,-80,-79,-80,-79,-83,-82,-82,-82,-80,-83,-85,-84,-85,-85,-85,-75,-73,-75,-72,-60,-75,-60,-73,-77,-87,-72,-87,-87,-71,-71,-70,-71,-72,-71,-78,-82,-81,-81,-93,-60,-72,-72,-83,-81,-82,-79,-81,-91,-82,-82,-91,-82,-83,-81,-82,-88,-60,-89,-63,-77,-77,-82,-95,-79,-77,-80,-84,-88,-91,-82,-83,-87,-92,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,110,802,320379161126
-87,-85,-86,-84,-81,-86,-82,-91,-88,-87,-88,-89,-84,-85,-91,-92,-58,-60,-84,-83,-84,-86,-84,-80,-78,-79,-79,-78,-79,-79,-85,-81,-77,-78,-78,-83,-82,-82,-86,-84,-85,-77,-70,-76,-70,-61,-77,-61,-71,-77,-86,-69,-85,-86,-73,-72,-73,-73,-75,-75,-81,-80,-80,-82,-93,-62,-74,-74,-85,-79,-78,-77,-79,-91,-82,-82,-91,-85,-83,-78,-82,-85,-57,-88,-60,-77,-77,-82,-95,-79,-77,-81,-84,-83,-92,-82,-83,-87,-92,-90,-91,-87,-87,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,110,802,324272984042
-87,-85,-86,-81,-86,-85,-82,-91,-88,-87,-88,-89,-84,-83,-91,-94,-57,-60,-84,-82,-84,-84,-83,-79,-79,-78,-80,-81,-80,-80,-85,-80,-80,-80,-82,-83,-80,-81,-83,-85,-83,-76,-68,-75,-69,-62,-75,-61,-69,-75,-86,-68,-85,-86,-72,-72,-72,-73,-73,-73,-81,-80,-79,-79,-91,-61,-74,-73,-85,-79,-78,-77,-79,-90,-82,-82,-90,-85,-83,-79,-89,-85,-57,-89,-61,-76,-78,-87,-95,-77,-79,-81,-82,-84,-92,-82,-82,-87,-92,-89,-91,-87,-87,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,110,802,328122129821
-87,-85,-86,-81,-86,-85,-86,-91,-88,-87,-88,-89,-83,-84,-91,-94,-58,-60,-83,-83,-85,-84,-82,-80,-78,-80,-79,-79,-78,-79,-84,-80,-80,-79,-80,-83,-81,-82,-83,-83,-84,-76,-70,-75,-69,-62,-76,-61,-69,-79,-88,-70,-86,-86,-73,-72,-73,-74,-73,-72,-80,-80,-82,-82,-93,-62,-73,-73,-87,-79,-78,-76,-80,-88,-80,-82,-89,-85,-83,-78,-89,-87,-57,-87,-61,-76,-77,-87,-95,-76,-80,-79,-83,-82,-92,-83,-83,-87,-93,-88,-91,-87,-87,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,110,802,331972091330
-88,-87,-87,-82,-86,-87,-87,-100,-100,-100,-100,-91,-84,-86,-100,-100,-61,-63,-85,-85,-87,-87,-85,-83,-82,-82,-82,-81,-81,-81,-85,-72,-77,-76,-76,-83,-81,-81,-81,-81,-81,-78,-70,-77,-71,-65,-77,-65,-70,-78,-85,-71,-85,-86,-69,-70,-70,-69,-79,-78,-84,-80,-77,-77,-95,-65,-78,-78,-83,-76,-100,-74,-77,-92,-80,-83,-88,-84,-90,-86,-89,-87,-63,-86,-64,-73,-87,-100,-100,-73,-83,-77,-81,-79,-100,-79,-80,-89,-94,-89,-92,-88,-88,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,110,785,529313183130
-88,-87,-87,-82,-86,-87,-87,-100,-100,-100,-100,-91,-87,-86,-100,-100,-62,-64,-86,-86,-87,-86,-85,-82,-80,-79,-79,-82,-81,-82,-87,-77,-77,-76,-75,-80,-80,-80,-82,-82,-81,-78,-72,-78,-71,-67,-78,-65,-73,-78,-86,-71,-86,-86,-71,-71,-71,-72,-81,-81,-84,-79,-79,-76,-95,-65,-81,-81,-83,-78,-77,-73,-78,-92,-81,-84,-88,-84,-90,-85,-89,-87,-61,-86,-65,-74,-85,-100,-100,-73,-83,-79,-81,-81,-100,-80,-81,-89,-94,-89,-92,-88,-88,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,110,785,533146688910
-88,-87,-88,-84,-100,-100,-100,-100,-100,-100,-100,-91,-87,-86,-92,-100,-59,-64,-89,-88,-87,-86,-85,-81,-82,-82,-81,-81,-81,-81,-87,-77,-78,-76,-75,-80,-82,-80,-81,-80,-80,-77,-69,-76,-70,-68,-77,-68,-70,-78,-88,-70,-86,-86,-70,-69,-70,-70,-81,-81,-84,-77,-78,-79,-95,-69,-81,-81,-82,-77,-78,-73,-75,-92,-80,-82,-88,-82,-91,-85,-89,-87,-60,-92,-65,-74,-83,-100,-100,-73,-83,-81,-80,-81,-100,-81,-81,-100,-100,-89,-92,-88,-87,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,110,785,536976877502
-88,-87,-88,-84,-100,-100,-100,-100,-100,-100,-100,-91,-86,-86,-93,-91,-60,-65,-89,-86,-88,-89,-85,-82,-81,-82,-81,-81,-81,-81,-89,-77,-74,-75,-74,-80,-82,-81,-81,-81,-81,-77,-70,-78,-70,-68,-77,-66,-70,-78,-88,-71,-86,-86,-72,-70,-71,-71,-81,-80,-77,-80,-78,-78,-95,-66,-81,-80,-82,-77,-75,-73,-75,-92,-80,-82,-100,-82,-89,-85,-89,-100,-61,-92,-64,-74,-83,-89,-100,-73,-81,-81,-80,-81,-100,-79,-80,-100,-100,-100,-92,-88,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,110,785,540790838751
