20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,44:48:c1:91:95:a0,44:48:c1:91:95:a1,44:48:c1:91:95:a2,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c3,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:19:45:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,20:a6:cd:42:0a:d1,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:00:b0,38:17:c3:1f:14:12,38:17:c3:1f:00:b1,20:a6:cd:42:0a:d0,9c:d6:43:60:92:e0,44:48:c1:91:aa:30,20:a6:cd:42:0a:d3,44:48:c1:91:aa:31,44:48:c1:91:aa:32,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,38:17:c3:19:d7:70,44:48:c1:91:d0:10,38:17:c3:19:d7:72,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,44:48:c1:91:d0:04,38:17:c3:24:47:50,38:17:c3:24:47:52,38:17:c3:24:47:51,66:2a:2f:53:7c:99,38:17:c3:1f:19:c1,38:17:c3:1f:19:c2,38:17:c3:22:61:90,38:17:c3:1f:19:c0,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,38:17:c3:1f:09:92,a8:bd:27:4c:aa:80,38:17:c3:1f:09:93,38:17:c3:1f:14:00,38:17:c3:1f:00:a0,38:17:c3:1f:14:02,a8:bd:27:4c:aa:83,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:82,38:17:c3:22:5e:f1,a8:bd:27:4c:aa:81,38:17:c3:22:5e:f2,20:a6:cd:42:13:f0,b4:5d:50:e1:96:40,20:a6:cd:42:13:f1,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,b4:5d:50:e1:96:41,38:17:c3:1f:19:f0,20:a6:cd:42:13:f2,b4:5d:50:e1:96:42,38:17:c3:1f:00:a2,b4:5d:50:e1:96:43,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:81,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:90,38:17:c3:1f:09:82,38:17:c3:1f:09:83,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:19:45:b2,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:93,38:17:c3:19:45:b0,38:17:c3:19:45:b1,a8:bd:27:4c:aa:92,38:17:c3:1f:09:80,44:48:c1:91:95:a3,38:17:c3:19:d7:71,38:17:c3:19:36:30,44:48:c1:91:aa:21,38:17:c3:1f:14:01,38:17:c3:1f:1c:10,72:32:b1:3e:1a:b8,38:17:c3:1f:1c:11,80:8d:b7:55:25:e3,38:17:c3:22:61:92,38:17:c3:22:61:91,38:17:c3:1f:19:f1,38:17:c3:1a:cf:d0,38:17:c3:1f:19:f2,20:a6:cd:42:0b:e3,38:17:c3:19:36:31,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:61,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:03,38:17:c3:19:36:32,80:8d:b7:55:3a:52,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,38:17:c3:1e:ff:10,38:17:c3:1e:ff:12,80:8d:b7:55:3a:40,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:1e:ff:11,38:17:c3:19:71:90,80:8d:b7:55:39:d0,80:8d:b7:55:29:d0,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:25:e0,68:ff:7b:e4:af:39,38:17:c3:19:71:92,80:8d:b7:55:39:d1,38:17:c3:19:71:91,ea:9e:b4:53:24:54,68:ff:7b:e4:af:38,38:17:c3:1f:22:30,20:a6:cd:50:24:b0,38:17:c3:19:71:80,80:8d:b7:55:39:c1,80:8d:b7:55:29:d1,38:17:c3:1e:ff:00,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,80:8d:b7:55:29:d2,80:8d:b7:55:39:d2,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:29:c0,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,38:17:c3:1f:22:32,38:17:c3:1f:22:31,20:a6:cd:50:24:a2,00:4e:35:df:06:52,00:4e:35:df:06:50,00:4e:35:df:06:51,38:17:c3:1f:0e:10,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:40,00:4e:35:de:e1:12,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:22:22,80:8d:b7:55:4d:02,80:8d:b7:55:4d:12,80:8d:b7:55:4d:10,38:17:c3:1f:22:21,x,y,timestamp
-65,-64,-89,-88,-89,-65,-61,-76,-76,-79,-84,-85,-86,-80,-82,-81,-73,-78,-73,-76,-65,-77,-64,-73,-83,-88,-73,-87,-87,-73,-72,-73,-87,-74,-88,-74,-74,-79,-82,-81,-80,-95,-87,-88,-90,-90,-64,-74,-74,-82,-86,-81,-85,-73,-85,-83,-91,-84,-90,-85,-89,-87,-77,-87,-65,-56,-61,-73,-78,-90,-86,-80,-73,-75,-81,-82,-87,-79,-79,-84,-84,-83,-83,-84,-83,-81,-94,-79,-81,-82,-80,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,762,415438276089
-78,-64,-89,-88,-89,-75,-74,-77,-76,-77,-85,-86,-84,-80,-81,-81,-74,-78,-74,-78,-63,-77,-57,-74,-83,-88,-75,-87,-87,-74,-72,-73,-87,-74,-88,-75,-74,-83,-81,-81,-83,-95,-87,-88,-90,-90,-64,-73,-72,-82,-84,-82,-83,-73,-81,-84,-91,-85,-90,-85,-89,-85,-81,-87,-63,-63,-60,-72,-81,-90,-86,-80,-71,-75,-84,-82,-84,-80,-79,-85,-84,-83,-84,-84,-83,-80,-87,-79,-80,-81,-79,-85,-80,-86,-92,-88,-81,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,762,419436037494
-78,-76,-88,-87,-88,-79,-74,-77,-76,-77,-86,-84,-85,-82,-81,-81,-74,-78,-74,-78,-64,-77,-64,-74,-83,-89,-73,-87,-87,-73,-73,-73,-87,-72,-88,-75,-73,-83,-81,-81,-80,-95,-87,-91,-90,-90,-64,-73,-73,-82,-85,-82,-82,-73,-81,-83,-89,-85,-90,-84,-89,-85,-81,-87,-64,-65,-65,-73,-81,-90,-86,-83,-74,-75,-82,-83,-84,-79,-79,-84,-83,-84,-84,-84,-84,-81,-87,-79,-80,-79,-80,-84,-80,-86,-92,-88,-81,-90,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,762,423344765305
-79,-79,-88,-87,-87,-76,-74,-79,-76,-79,-85,-87,-86,-82,-82,-81,-74,-77,-74,-77,-64,-76,-64,-74,-84,-87,-73,-88,-87,-73,-74,-73,-87,-73,-88,-73,-73,-83,-80,-81,-81,-95,-87,-91,-90,-90,-64,-73,-74,-82,-83,-81,-82,-74,-81,-82,-89,-85,-90,-85,-89,-85,-81,-87,-64,-64,-62,-72,-81,-90,-86,-81,-73,-75,-81,-82,-83,-79,-80,-84,-83,-84,-84,-84,-84,-81,-87,-80,-80,-81,-79,-84,-80,-86,-93,-88,-82,-93,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,762,427234282179
-77,-80,-88,-87,-87,-79,-74,-79,-77,-77,-85,-85,-86,-82,-81,-81,-73,-77,-72,-78,-64,-78,-63,-74,-84,-87,-73,-88,-87,-73,-74,-74,-86,-73,-86,-74,-73,-83,-80,-81,-80,-95,-87,-91,-91,-90,-62,-74,-74,-82,-89,-82,-82,-74,-81,-86,-91,-87,-90,-87,-89,-86,-81,-86,-65,-64,-60,-72,-81,-90,-86,-81,-74,-75,-82,-82,-83,-79,-80,-84,-85,-83,-84,-83,-83,-79,-89,-79,-80,-81,-79,-84,-80,-86,-93,-88,-82,-92,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,762,431087785198
-79,-79,-87,-88,-85,-79,-75,-76,-76,-77,-85,-85,-86,-81,-80,-80,-73,-77,-73,-77,-65,-77,-64,-74,-84,-88,-72,-86,-87,-73,-73,-75,-88,-73,-86,-74,-74,-75,-83,-81,-82,-95,-87,-88,-90,-90,-64,-74,-74,-81,-89,-83,-81,-73,-80,-84,-90,-85,-90,-87,-89,-86,-81,-86,-64,-63,-61,-74,-81,-90,-86,-81,-72,-75,-82,-81,-85,-79,-79,-84,-83,-85,-84,-84,-84,-81,-89,-80,-81,-81,-79,-86,-83,-89,-90,-88,-82,-94,-61,-91,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,762,434937881186
-81,-79,-85,-84,-84,-81,-75,-76,-76,-77,-89,-85,-86,-81,-82,-81,-73,-79,-73,-78,-57,-78,-57,-73,-81,-90,-74,-86,-89,-72,-72,-72,-88,-73,-86,-77,-78,-75,-85,-84,-86,-95,-87,-88,-90,-90,-56,-78,-78,-78,-84,-79,-80,-70,-80,-81,-90,-83,-90,-82,-89,-86,-84,-88,-63,-65,-61,-71,-85,-90,-87,-81,-70,-75,-78,-78,-85,-84,-84,-84,-83,-84,-84,-83,-83,-82,-90,-84,-83,-83,-84,-86,-81,-89,-92,-88,-80,-94,-64,-91,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,747,515102594697
-79,-78,-85,-84,-84,-79,-76,-76,-86,-86,-89,-85,-86,-83,-82,-81,-73,-79,-74,-77,-58,-79,-57,-74,-81,-89,-73,-88,-89,-72,-72,-72,-88,-72,-86,-78,-78,-80,-85,-85,-85,-95,-87,-88,-87,-90,-59,-77,-77,-79,-82,-80,-79,-70,-80,-81,-91,-83,-90,-83,-89,-88,-83,-86,-65,-66,-63,-71,-82,-90,-87,-83,-69,-77,-80,-79,-85,-84,-83,-89,-83,-84,-83,-84,-84,-83,-90,-85,-82,-83,-82,-86,-81,-89,-92,-88,-80,-94,-64,-91,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,747,518929162873
-79,-78,-85,-84,-84,-81,-76,-76,-86,-86,-87,-87,-88,-82,-83,-82,-74,-78,-74,-77,-60,-78,-59,-74,-81,-89,-74,-88,-89,-72,-72,-75,-88,-74,-86,-78,-77,-80,-83,-85,-84,-93,-87,-88,-87,-90,-59,-77,-77,-78,-82,-78,-78,-70,-79,-81,-91,-83,-90,-79,-89,-88,-84,-86,-63,-64,-63,-72,-81,-90,-87,-83,-76,-77,-78,-77,-85,-83,-83,-89,-83,-84,-84,-85,-85,-84,-86,-85,-84,-83,-84,-86,-81,-89,-91,-88,-77,-94,-64,-91,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,747,522757429590
-81,-79,-85,-84,-84,-78,-76,-76,-86,-86,-87,-87,-88,-80,-83,-82,-74,-78,-72,-79,-57,-78,-59,-73,-79,-88,-73,-89,-88,-74,-74,-74,-88,-75,-86,-79,-77,-80,-84,-84,-84,-93,-87,-88,-90,-90,-59,-79,-77,-78,-82,-78,-77,-71,-79,-81,-91,-83,-90,-79,-89,-88,-84,-88,-66,-64,-62,-70,-81,-90,-89,-83,-71,-77,-79,-77,-85,-83,-85,-89,-83,-85,-84,-84,-85,-81,-86,-84,-82,-82,-84,-89,-81,-89,-91,-88,-77,-94,-62,-91,-91,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,111,747,526604208912
