80:8d:b7:55:39:c0,b0:be:76:f8:30:5e,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,38:17:c3:1f:01:92,38:17:c3:1f:01:91,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:35:02,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,38:17:c3:1f:01:81,38:17:c3:19:d7:71,80:8d:b7:55:25:f2,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:19:d7:72,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,72:32:b1:3e:1a:b7,80:8d:b7:55:3a:52,38:17:c3:19:45:b1,38:17:c3:19:45:b2,20:a6:cd:50:24:b2,80:8d:b7:55:3a:51,80:8d:b7:55:25:e3,44:48:c1:a5:82:22,38:17:c3:19:d7:61,38:17:c3:19:55:52,38:17:c3:19:55:51,20:a6:cd:50:24:b1,68:ff:7b:e4:af:38,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:62,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,b4:5d:50:e1:92:33,00:4e:35:de:e1:10,38:17:c3:1e:ff:01,38:17:c3:1f:09:91,00:4e:35:de:e1:11,00:4e:35:df:06:40,38:17:c3:1e:ff:02,60:32:b1:3e:1a:b8,20:a6:cd:42:0b:e3,b4:5d:50:e1:92:23,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,38:17:c3:1f:01:90,38:17:c3:1f:0e:00,44:48:c1:a5:82:30,80:8d:b7:55:35:00,00:4e:35:df:06:52,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,80:8d:b7:55:3a:50,38:17:c3:19:d7:60,20:a6:cd:50:24:b0,38:17:c3:19:45:b0,38:17:c3:19:55:50,38:17:c3:1e:ff:10,20:a6:cd:50:24:a0,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,00:4e:35:df:06:42,38:17:c3:1f:09:90,38:17:c3:1f:22:30,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:35:01,60:32:b1:3e:1a:b7,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,44:48:c1:a5:82:21,a8:bd:27:4c:bd:32,00:4e:35:df:06:41,38:17:c3:1f:09:93,38:17:c3:1f:0e:10,38:17:c3:1f:01:80,44:48:c1:a5:82:20,66:2a:2f:53:7c:99,b4:5d:50:e1:92:30,b4:5d:50:e1:92:32,20:a6:cd:42:0b:f3,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:31,20:a6:cd:42:0b:f0,a8:bd:27:4c:bd:31,38:17:c3:19:71:90,80:8d:b7:55:25:e1,38:17:c3:1f:09:83,80:8d:b7:55:25:e0,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,a8:bd:27:4c:bd:30,b4:5d:50:e1:96:50,68:ff:7b:e4:af:39,38:17:c3:1f:22:31,38:17:c3:1f:22:32,b4:5d:50:e1:92:21,20:a6:cd:42:0b:f1,b4:5d:50:e1:92:22,80:8d:b7:55:25:e2,38:17:c3:1f:08:50,38:17:c3:19:55:42,80:8d:b7:55:3a:40,b4:5d:50:e1:96:52,38:17:c3:19:55:41,38:17:c3:19:71:92,38:17:c3:19:55:40,38:17:c3:19:71:91,38:17:c3:1f:01:82,38:17:c3:1f:09:92,38:17:c3:19:45:a2,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,20:a6:cd:42:0b:f2,b4:5d:50:e1:92:20,b4:5d:50:e1:96:43,00:4e:35:de:e1:01,00:4e:35:de:e1:02,38:17:c3:19:45:a1,00:4e:35:de:d7:53,38:17:c3:19:45:a0,00:4e:35:de:d7:52,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b3,44:48:c1:91:95:b2,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:08:41,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:de:d7:43,00:4e:35:df:0e:12,00:4e:35:de:e1:00,00:4e:35:df:0e:10,38:17:c3:19:71:82,00:4e:35:df:0e:11,00:4e:35:de:d7:42,38:17:c3:19:71:80,38:17:c3:19:71:81,00:4e:35:de:d7:40,38:17:c3:19:36:30,38:17:c3:19:36:32,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:19:36:31,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,a8:bd:27:4c:bd:22,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1f:08:42,00:4e:35:df:0e:01,00:4e:35:df:0e:00,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:1f:0f:92,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:91,38:17:c3:1f:0f:90,38:17:c3:24:4f:10,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:4f:01,38:17:c3:24:4f:02,32:f7:72:50:57:3b,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,00:4e:35:df:27:12,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,00:4e:35:df:27:00,00:4e:35:df:27:02,00:4e:35:df:27:10,38:17:c3:1b:08:a1,00:4e:35:de:d7:41,00:4e:35:df:27:11,9c:d6:43:60:92:e0,x,y,timestamp
-67,-69,-63,-63,-64,-65,-65,-66,-66,-20,-42,-46,-46,-60,-72,-72,-67,-67,-67,-68,-75,-75,-75,-75,-75,-75,-75,-83,-77,-77,-77,-77,-77,-71,-74,-74,-78,-78,-78,-86,-80,-80,-75,-75,-77,-77,-83,-84,-81,-85,-85,-82,-82,-83,-86,-86,-63,-65,-66,-46,-72,-67,-75,-75,-75,-77,-74,-78,-78,-79,-80,-77,-81,-85,-82,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,771,1883918299228
-62,-66,-62,-62,-62,-62,-62,-66,-66,-21,-43,-45,-45,-69,-72,-72,-65,-67,-68,-68,-76,-75,-75,-76,-76,-75,-75,-83,-77,-77,-77,-76,-77,-79,-72,-73,-80,-79,-76,-86,-79,-80,-75,-73,-77,-77,-81,-84,-81,-86,-85,-82,-82,-84,-86,-86,-62,-63,-66,-45,-72,-69,-76,-73,-75,-76,-73,-76,-78,-79,-80,-77,-81,-87,-82,-87,-88,-54,-54,-69,-82,-72,-72,-72,-83,-81,-86,-54,-68,-72,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,771,1890639999590
-67,-67,-65,-65,-64,-64,-64,-65,-65,-21,-43,-45,-45,-65,-72,-72,-65,-67,-67,-67,-76,-75,-75,-75,-75,-74,-75,-82,-77,-77,-77,-79,-77,-79,-74,-73,-80,-79,-79,-85,-79,-79,-81,-73,-77,-77,-83,-85,-81,-86,-84,-82,-82,-84,-86,-86,-65,-64,-66,-45,-72,-66,-75,-76,-74,-77,-73,-79,-78,-79,-80,-77,-81,-86,-82,-85,-88,-50,-50,-65,-82,-72,-72,-74,-83,-81,-86,-50,-68,-74,-83,-83,-84,-87,-86,-84,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,771,1897098947608
-67,-67,-65,-65,-64,-64,-64,-65,-65,-21,-43,-45,-45,-65,-72,-72,-65,-67,-67,-67,-76,-75,-75,-75,-75,-74,-75,-82,-77,-77,-77,-79,-77,-79,-74,-73,-80,-79,-79,-85,-79,-79,-81,-73,-77,-77,-83,-85,-81,-86,-84,-82,-82,-84,-86,-86,-65,-64,-66,-45,-72,-66,-75,-76,-74,-77,-73,-79,-78,-79,-80,-77,-81,-86,-82,-85,-88,-50,-50,-65,-82,-72,-72,-74,-83,-81,-86,-50,-68,-74,-83,-83,-84,-87,-86,-84,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,771,1903695019585
-68,-67,-64,-64,-65,-64,-65,-67,-67,-20,-40,-46,-46,-65,-73,-73,-67,-67,-67,-68,-75,-75,-74,-69,-76,-75,-75,-82,-76,-77,-77,-78,-76,-100,-73,-73,-80,-79,-78,-86,-79,-79,-77,-73,-77,-77,-84,-85,-81,-100,-85,-83,-81,-84,-100,-83,-64,-65,-67,-46,-73,-66,-74,-77,-75,-76,-73,-78,-77,-79,-80,-77,-81,-85,-81,-86,-87,-50,-50,-65,-82,-100,-100,-73,-83,-100,-87,-50,-68,-73,-87,-83,-84,-87,-86,-84,-87,-84,-88,-71,-88,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,771,1910219324322
-68,-67,-64,-64,-65,-64,-65,-67,-67,-20,-40,-46,-46,-65,-73,-73,-67,-67,-67,-68,-75,-75,-74,-69,-76,-75,-75,-82,-76,-77,-77,-78,-76,-100,-73,-73,-80,-79,-78,-86,-79,-79,-77,-73,-77,-77,-84,-85,-81,-100,-85,-83,-81,-84,-100,-83,-64,-65,-67,-46,-73,-66,-74,-77,-75,-76,-73,-78,-77,-79,-80,-77,-81,-85,-81,-86,-87,-50,-50,-65,-82,-100,-100,-73,-83,-100,-87,-50,-68,-73,-87,-83,-84,-87,-86,-84,-87,-84,-88,-71,-88,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,771,1916762477653
-64,-67,-64,-64,-59,-60,-60,-70,-70,-21,-48,-53,-53,-70,-72,-72,-65,-63,-63,-68,-69,-70,-74,-74,-69,-70,-70,-82,-75,-77,-77,-81,-75,-71,-72,-73,-80,-79,-81,-86,-75,-75,-77,-73,-77,-77,-83,-83,-81,-100,-84,-100,-81,-84,-100,-83,-65,-59,-71,-52,-72,-69,-74,-69,-70,-75,-73,-81,-77,-79,-75,-77,-81,-83,-74,-87,-86,-52,-52,-70,-82,-100,-100,-73,-83,-75,-87,-53,-100,-73,-86,-82,-83,-100,-84,-82,-100,-84,-86,-71,-88,-72,-88,-89,-83,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,746,1966389744405
-64,-67,-64,-65,-60,-60,-60,-70,-71,-22,-49,-52,-52,-100,-72,-72,-54,-64,-64,-100,-69,-70,-73,-73,-69,-70,-70,-82,-75,-75,-75,-80,-75,-66,-72,-73,-81,-80,-82,-86,-74,-75,-78,-100,-80,-80,-83,-83,-100,-100,-85,-100,-100,-83,-87,-100,-65,-59,-71,-52,-72,-67,-73,-75,-70,-75,-100,-81,-76,-80,-75,-80,-100,-84,-74,-100,-87,-52,-52,-100,-82,-100,-100,-72,-84,-75,-86,-52,-100,-71,-100,-100,-100,-100,-84,-100,-100,-84,-86,-67,-85,-68,-100,-100,-100,-100,-82,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,746,1973067957319
-64,-67,-64,-64,-60,-60,-60,-70,-71,-21,-64,-52,-52,-67,-72,-72,-67,-64,-64,-100,-69,-70,-75,-75,-69,-70,-70,-81,-74,-75,-75,-81,-74,-77,-71,-73,-81,-80,-81,-86,-75,-75,-78,-73,-81,-80,-83,-83,-100,-100,-85,-100,-100,-84,-87,-85,-64,-60,-71,-52,-73,-67,-75,-69,-70,-74,-73,-81,-76,-80,-75,-80,-100,-85,-75,-85,-87,-52,-52,-66,-83,-76,-76,-71,-84,-75,-86,-52,-100,-71,-100,-83,-84,-100,-84,-83,-100,-84,-86,-67,-85,-68,-89,-100,-100,-90,-82,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,746,1979166150493
-64,-63,-64,-64,-59,-59,-59,-71,-71,-21,-49,-50,-52,-66,-72,-73,-66,-64,-64,-100,-69,-71,-74,-74,-69,-70,-70,-81,-74,-75,-75,-81,-74,-69,-71,-74,-81,-80,-81,-86,-75,-75,-77,-73,-81,-80,-83,-83,-100,-100,-85,-75,-100,-83,-87,-85,-64,-60,-71,-52,-73,-67,-74,-69,-70,-74,-74,-81,-76,-80,-75,-81,-100,-84,-75,-85,-86,-52,-52,-66,-81,-76,-76,-71,-84,-75,-86,-52,-100,-71,-100,-85,-84,-100,-84,-84,-100,-84,-86,-67,-85,-68,-90,-100,-83,-89,-82,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,272,746,1985283312991
