80:8d:b7:55:39:d0,b0:be:76:f8:30:5e,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,38:17:c3:1f:01:92,38:17:c3:1f:01:91,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:31,44:48:c1:a5:82:32,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:35:03,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,00:4e:35:df:06:50,00:4e:35:df:06:51,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,44:48:c1:a5:82:22,44:48:c1:a5:82:21,38:17:c3:19:45:b2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,60:32:b1:3e:1a:b7,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:d7:62,80:8d:b7:55:3a:42,00:4e:35:df:06:41,00:4e:35:df:06:40,b4:5d:50:e1:92:33,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:11,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,60:32:b1:3e:1a:b8,68:ff:7b:e4:af:39,b4:5d:50:e1:96:53,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,38:17:c3:1f:01:90,44:48:c1:a5:82:30,38:17:c3:1f:0e:00,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,80:8d:b7:55:3a:50,00:4e:35:df:06:52,80:8d:b7:55:39:c0,20:a6:cd:50:24:b0,38:17:c3:1e:ff:10,38:17:c3:19:d7:60,00:4e:35:df:06:42,b4:5d:50:e1:92:31,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,b4:5d:50:e1:96:50,66:2a:2f:53:7c:99,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:3a:41,80:8d:b7:55:25:e3,38:17:c3:1e:ff:02,38:17:c3:19:d7:61,38:17:c3:1e:ff:01,80:8d:b7:55:35:00,44:48:c1:a5:82:20,80:8d:b7:55:3a:40,20:a6:cd:50:24:a0,38:17:c3:1f:22:30,38:17:c3:19:45:b1,38:17:c3:19:55:51,38:17:c3:19:55:52,68:ff:7b:e4:af:38,a8:bd:27:4c:bd:32,00:4e:35:de:e1:10,b4:5d:50:e1:92:23,38:17:c3:19:55:50,38:17:c3:1f:09:90,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,a8:bd:27:4c:bd:31,ac:e2:d3:c4:08:e6,b4:5d:50:e1:96:51,80:8d:b7:55:25:e0,38:17:c3:1f:01:82,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:20,38:17:c3:19:45:b0,b4:5d:50:e1:92:21,38:17:c3:1f:01:81,20:a6:cd:42:0b:e3,38:17:c3:1f:01:80,38:17:c3:19:71:90,72:32:b1:3e:1a:b7,38:17:c3:1f:09:91,38:17:c3:1f:09:93,00:4e:35:de:e1:01,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:30,00:4e:35:de:e1:02,38:17:c3:19:45:a2,b4:5d:50:e1:96:52,38:17:c3:1f:09:83,38:17:c3:1f:22:31,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,00:4e:35:de:e1:00,38:17:c3:1f:22:32,38:17:c3:1f:08:50,38:17:c3:19:45:a1,38:17:c3:1f:09:92,38:17:c3:19:45:a0,38:17:c3:19:55:40,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:19:55:41,38:17:c3:19:55:42,00:4e:35:df:0e:12,00:4e:35:de:d7:53,00:4e:35:de:d7:52,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:22:20,a8:bd:27:4c:bd:22,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b3,44:48:c1:91:95:b2,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1f:08:42,a8:bd:27:4c:bd:21,00:4e:35:de:d7:41,00:4e:35:de:d7:42,00:4e:35:df:0e:10,00:4e:35:df:0e:11,00:4e:35:de:d7:43,00:4e:35:df:0e:01,00:4e:35:de:d7:40,38:17:c3:1f:22:22,38:17:c3:19:36:30,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,00:4e:35:df:0e:02,38:17:c3:1e:fc:b0,38:17:c3:1f:22:21,a8:bd:27:4c:bd:20,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:19:36:32,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:1f:0f:90,38:17:c3:24:58:b1,38:17:c3:1f:0f:91,38:17:c3:24:4f:12,38:17:c3:1f:0f:92,38:17:c3:24:4f:11,38:17:c3:24:4f:10,38:17:c3:24:58:b2,38:17:c3:24:4f:00,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:4f:01,38:17:c3:24:4f:02,00:4e:35:df:27:01,00:4e:35:df:27:00,00:4e:35:df:27:02,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,38:17:c3:1b:08:a1,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,00:4e:35:df:27:11,x,y,timestamp
-64,-64,-47,-47,-63,-63,-63,-63,-64,-64,-64,-67,-67,-40,-41,-42,-66,-72,-72,-74,-74,-74,-75,-75,-76,-76,-71,-71,-74,-74,-78,-78,-78,-86,-81,-81,-75,-75,-79,-79,-83,-84,-84,-84,-80,-80,-83,-84,-89,-47,-63,-64,-67,-42,-72,-74,-75,-77,-71,-78,-81,-75,-79,-84,-80,-85,-89,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,696,2718256532191
-64,-64,-46,-46,-64,-64,-65,-64,-63,-64,-64,-68,-68,-41,-42,-42,-49,-72,-72,-73,-73,-73,-75,-75,-75,-76,-71,-70,-73,-72,-78,-78,-78,-86,-82,-82,-77,-74,-78,-78,-84,-84,-84,-85,-79,-79,-83,-84,-89,-46,-65,-64,-69,-43,-71,-73,-75,-76,-71,-78,-81,-75,-79,-84,-80,-85,-90,-85,-67,-71,-75,-75,-77,-77,-78,-67,-73,-75,-79,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,696,2724298484584
-64,-63,-46,-46,-64,-64,-64,-64,-64,-64,-64,-68,-68,-41,-42,-42,-64,-72,-72,-74,-74,-74,-75,-75,-78,-79,-71,-70,-73,-72,-79,-78,-78,-85,-82,-81,-77,-75,-78,-79,-83,-83,-85,-83,-79,-79,-83,-84,-88,-46,-65,-64,-69,-43,-71,-74,-75,-78,-71,-78,-82,-77,-79,-83,-80,-84,-90,-85,-67,-67,-75,-75,-77,-81,-78,-67,-73,-75,-79,-86,-78,-79,-79,-86,-84,-85,-84,-79,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,696,2730537654738
-64,-64,-46,-46,-65,-65,-64,-65,-65,-64,-64,-69,-68,-41,-42,-42,-64,-72,-73,-73,-73,-74,-75,-75,-78,-78,-70,-71,-73,-72,-79,-78,-78,-85,-81,-81,-76,-75,-79,-79,-83,-83,-85,-85,-79,-79,-85,-84,-89,-46,-65,-65,-64,-42,-73,-74,-75,-78,-71,-78,-81,-76,-79,-83,-100,-84,-90,-60,-69,-69,-75,-70,-77,-74,-78,-69,-74,-75,-79,-86,-78,-79,-78,-86,-84,-86,-84,-79,-85,-71,-71,-83,-81,-87,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,696,2737111079423
-64,-64,-46,-46,-64,-64,-64,-64,-64,-64,-64,-68,-68,-41,-42,-42,-65,-72,-73,-74,-73,-73,-75,-75,-75,-78,-71,-71,-100,-100,-79,-78,-78,-86,-81,-81,-76,-75,-79,-79,-84,-83,-84,-85,-100,-100,-85,-84,-89,-46,-64,-64,-68,-42,-71,-74,-75,-76,-71,-78,-81,-76,-79,-84,-100,-85,-90,-60,-67,-67,-100,-70,-100,-77,-100,-68,-74,-75,-100,-86,-79,-79,-78,-87,-84,-86,-87,-79,-85,-71,-71,-83,-81,-87,-71,-68,-85,-86,-79,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,696,2743407801608
-65,-64,-46,-46,-65,-65,-65,-64,-64,-65,-65,-68,-68,-41,-42,-42,-65,-71,-73,-74,-74,-74,-75,-75,-74,-74,-72,-71,-73,-74,-79,-78,-78,-86,-81,-81,-77,-75,-79,-79,-83,-83,-84,-85,-100,-100,-85,-84,-89,-46,-65,-64,-69,-42,-73,-74,-75,-74,-71,-78,-81,-77,-79,-84,-100,-84,-90,-86,-67,-67,-100,-70,-100,-77,-100,-68,-73,-75,-100,-86,-79,-78,-79,-88,-84,-85,-87,-79,-85,-71,-71,-83,-81,-87,-71,-70,-85,-86,-79,-87,-71,-88,-70,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,696,2749882581137
-63,-67,-50,-50,-62,-62,-62,-64,-64,-63,-63,-72,-72,-41,-50,-50,-63,-71,-72,-74,-74,-74,-74,-74,-74,-74,-63,-63,-69,-69,-79,-80,-80,-86,-79,-78,-77,-73,-78,-79,-84,-83,-84,-86,-100,-100,-81,-100,-100,-50,-62,-64,-72,-50,-72,-74,-73,-74,-71,-80,-78,-77,-79,-84,-77,-85,-100,-88,-63,-60,-100,-70,-77,-77,-77,-68,-73,-75,-100,-87,-79,-82,-82,-88,-84,-85,-84,-82,-87,-100,-100,-84,-100,-100,-100,-70,-85,-86,-79,-87,-71,-88,-70,-85,-83,-86,-87,-85,-85,-83,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,679,2805433766272
-63,-67,-51,-50,-59,-59,-59,-64,-64,-64,-63,-73,-72,-45,-51,-50,-63,-72,-72,-71,-71,-72,-73,-73,-74,-73,-64,-64,-69,-69,-77,-79,-80,-83,-76,-76,-76,-73,-78,-100,-85,-85,-85,-84,-100,-100,-81,-100,-100,-51,-59,-64,-73,-51,-72,-72,-73,-73,-64,-80,-77,-76,-78,-86,-77,-85,-100,-87,-63,-64,-72,-64,-77,-77,-77,-100,-100,-100,-100,-87,-76,-82,-81,-85,-84,-84,-84,-82,-87,-100,-100,-84,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-85,-83,-86,-87,-86,-85,-83,-86,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,679,2811987802728
-63,-67,-51,-50,-59,-59,-59,-64,-64,-64,-63,-73,-72,-45,-51,-50,-63,-72,-72,-71,-71,-72,-73,-73,-74,-73,-64,-64,-69,-69,-77,-79,-80,-83,-76,-76,-76,-73,-78,-100,-85,-85,-85,-84,-100,-100,-81,-100,-100,-51,-59,-64,-73,-51,-72,-72,-73,-73,-64,-80,-77,-76,-78,-86,-77,-85,-100,-87,-63,-64,-72,-64,-77,-77,-77,-100,-100,-100,-100,-87,-76,-82,-81,-85,-84,-84,-84,-82,-87,-100,-100,-84,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-85,-83,-86,-87,-86,-85,-83,-86,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,679,2818407543715
-63,-65,-48,-48,-59,-59,-59,-68,-67,-66,-66,-68,-68,-46,-52,-52,-63,-72,-72,-71,-71,-71,-73,-73,-74,-72,-66,-69,-69,-69,-77,-77,-77,-83,-76,-76,-74,-71,-78,-78,-84,-85,-85,-85,-100,-100,-80,-83,-88,-48,-59,-68,-68,-52,-72,-72,-73,-74,-69,-77,-76,-74,-78,-85,-100,-84,-88,-86,-64,-63,-71,-71,-100,-74,-100,-65,-69,-71,-100,-86,-77,-82,-81,-85,-100,-85,-83,-82,-88,-69,-69,-100,-72,-89,-69,-71,-100,-100,-77,-100,-100,-87,-100,-87,-100,-100,-100,-86,-100,-100,-100,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,252,679,2824695448296
