38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:19:55:42,68:ff:7b:e4:af:38,b0:be:76:f8:30:5e,38:17:c3:24:58:b2,38:17:c3:24:58:b1,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:19:55:50,38:17:c3:1e:fc:b0,38:17:c3:24:58:b0,00:4e:35:df:06:52,80:8d:b7:55:3a:50,32:f7:72:50:57:3b,70:56:81:c9:91:ab,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,68:ff:7b:e4:af:39,38:17:c3:1e:fc:a0,66:2a:2f:53:7c:99,64:e5:99:c3:13:3c,38:17:c3:24:58:a0,38:17:c3:24:58:a1,56:13:79:14:54:6d,20:4e:7f:c2:ff:e8,80:8d:b7:55:3a:51,00:4e:35:df:06:40,80:8d:b7:55:3a:52,00:4e:35:df:06:42,00:4e:35:de:e1:12,38:17:c3:19:55:41,44:48:c1:a5:82:32,44:48:c1:a5:82:31,38:17:c3:1f:08:52,38:17:c3:1f:08:51,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:21,38:17:c3:19:55:40,44:48:c1:a5:82:30,38:17:c3:1f:08:50,80:8d:b7:55:39:d0,44:48:c1:a5:82:22,38:17:c3:24:58:a2,44:48:c1:a5:82:20,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,38:17:c3:1f:01:92,38:17:c3:1f:01:91,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:35:03,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:e3,80:8d:b7:55:39:c2,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1e:ff:11,b4:5d:50:e1:92:33,38:17:c3:1e:ff:12,38:17:c3:19:45:b1,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:45:b2,20:a6:cd:50:24:a2,38:17:c3:19:45:a1,38:17:c3:19:45:a2,20:a6:cd:50:24:a1,60:32:b1:3e:1a:b8,20:a6:cd:42:0b:f3,b4:5d:50:e1:92:23,38:17:c3:1f:09:83,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,38:17:c3:1f:01:90,80:8d:b7:55:35:00,80:8d:b7:55:25:f0,38:17:c3:19:d7:70,80:8d:b7:55:25:e0,20:a6:cd:50:24:b0,38:17:c3:1e:ff:10,38:17:c3:19:45:b0,38:17:c3:19:d7:60,38:17:c3:1f:09:90,38:17:c3:19:45:a0,20:a6:cd:42:0b:f0,38:17:c3:1f:01:81,38:17:c3:1f:01:82,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,38:17:c3:1f:01:80,38:17:c3:1f:22:30,b4:5d:50:e1:92:30,b4:5d:50:e1:92:32,38:17:c3:1f:09:91,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,b4:5d:50:e1:92:31,00:4e:35:de:e1:11,00:4e:35:de:e1:10,a8:bd:27:4c:bd:31,b4:5d:50:e1:96:50,38:17:c3:19:71:90,a8:bd:27:4c:bd:30,38:17:c3:1f:09:93,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:43,80:8d:b7:55:39:c1,a8:bd:27:4c:bd:32,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:20,80:8d:b7:55:39:c0,20:a6:cd:50:24:a0,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,38:17:c3:1f:22:31,38:17:c3:1f:09:92,38:17:c3:1f:22:32,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,00:4e:35:df:06:41,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:19:71:91,80:8d:b7:55:3a:40,00:4e:35:de:e1:01,44:48:c1:91:95:b3,44:48:c1:91:95:b2,38:17:c3:1e:ff:00,38:17:c3:19:71:92,00:4e:35:de:e1:00,00:4e:35:de:e1:02,38:17:c3:1f:08:42,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:08:40,a8:bd:27:4c:bd:22,38:17:c3:1f:22:21,00:4e:35:df:0e:12,44:48:c1:91:95:b1,44:48:c1:91:95:b0,00:4e:35:de:d7:53,38:17:c3:1f:08:41,00:4e:35:de:d7:52,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:1f:22:22,00:4e:35:df:0e:10,00:4e:35:df:0e:11,00:4e:35:de:d7:43,38:17:c3:1f:22:20,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,00:4e:35:de:d7:42,38:17:c3:19:36:30,9c:d6:43:60:92:e0,00:4e:35:de:d7:41,00:4e:35:de:d7:40,38:17:c3:19:36:22,38:17:c3:19:36:21,38:17:c3:19:36:20,00:4e:35:df:0e:02,00:4e:35:df:0e:00,00:4e:35:df:0e:01,38:17:c3:24:4f:12,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:24:4f:11,38:17:c3:1f:0f:90,38:17:c3:24:4f:10,38:17:c3:24:4f:00,38:17:c3:24:4f:01,38:17:c3:1b:08:b0,38:17:c3:1b:08:a0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,38:17:c3:1b:08:a1,38:17:c3:24:4f:02,38:17:c3:1b:08:a2,00:4e:35:df:27:11,00:4e:35:df:27:10,00:4e:35:df:27:00,00:4e:35:df:27:02,x,y,timestamp
-62,-62,-68,-68,-59,-81,-75,-77,-77,-82,-82,-62,-68,-76,-85,-86,-82,-81,-64,-64,-69,-64,-86,-72,-76,-76,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,724,398037436670
-61,-61,-68,-68,-59,-100,-73,-77,-76,-100,-85,-60,-68,-77,-87,-100,-81,-100,-66,-66,-69,-66,-86,-72,-76,-77,-85,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,724,403490120938
-59,-59,-67,-67,-59,-80,-73,-81,-81,-78,-79,-56,-67,-80,-79,-85,-80,-100,-64,-64,-66,-64,-86,-72,-76,-77,-85,-83,-84,-80,-85,-83,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,724,408699605832
-59,-59,-67,-67,-59,-80,-73,-81,-81,-79,-78,-51,-66,-79,-79,-85,-83,-76,-59,-59,-66,-59,-87,-72,-79,-79,-100,-83,-84,-82,-83,-82,-87,-56,-82,-82,-84,-85,-87,-87,-84,-56,-82,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,724,414211395934
-53,-53,-68,-68,-56,-79,-74,-80,-81,-80,-80,-53,-69,-80,-80,-82,-82,-76,-59,-60,-66,-60,-88,-80,-79,-79,-100,-100,-82,-82,-83,-82,-87,-56,-82,-84,-85,-85,-87,-87,-84,-58,-82,-85,-88,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,724,419687161922
-59,-58,-68,-68,-59,-79,-74,-82,-83,-79,-78,-58,-68,-83,-79,-84,-85,-82,-64,-64,-66,-65,-87,-81,-79,-79,-84,-100,-83,-82,-83,-82,-87,-59,-82,-81,-85,-85,-89,-87,-83,-59,-82,-85,-88,-81,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,724,425453489836
-59,-58,-68,-68,-86,-79,-62,-82,-83,-78,-78,-58,-68,-83,-78,-77,-85,-82,-64,-64,-66,-65,-86,-81,-100,-100,-84,-100,-77,-100,-77,-100,-86,-59,-72,-72,-85,-85,-63,-63,-72,-59,-72,-85,-63,-73,-81,-73,-45,-47,-47,-61,-61,-61,-66,-66,-40,-45,-45,-65,-66,-66,-71,-71,-71,-70,-70,-75,-75,-72,-72,-73,-79,-79,-80,-80,-80,-81,-76,-76,-82,-81,-82,-82,-83,-84,-88,-85,-87,-48,-61,-66,-66,-71,-75,-71,-79,-79,-81,-76,-85,-83,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,724,602244468519
-100,-100,-100,-100,-86,-100,-65,-100,-100,-79,-79,-100,-100,-100,-78,-77,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-76,-100,-76,-100,-86,-100,-74,-74,-100,-100,-61,-61,-72,-100,-74,-100,-62,-72,-100,-72,-44,-46,-46,-62,-62,-62,-66,-66,-42,-44,-44,-66,-66,-69,-72,-71,-71,-72,-70,-75,-74,-72,-72,-75,-79,-80,-79,-81,-80,-81,-74,-73,-81,-81,-82,-82,-83,-81,-88,-85,-87,-46,-62,-66,-69,-71,-74,-71,-79,-80,-81,-73,-85,-83,-88,-68,-68,-84,-85,-69,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,724,608724891641
-100,-100,-100,-100,-86,-100,-40,-100,-100,-75,-76,-100,-100,-100,-75,-77,-100,-100,-100,-100,-85,-100,-84,-100,-100,-100,-100,-100,-77,-100,-76,-100,-87,-100,-74,-74,-100,-100,-61,-61,-72,-100,-74,-100,-62,-72,-100,-72,-44,-48,-48,-61,-61,-61,-65,-64,-41,-44,-44,-66,-66,-69,-71,-71,-71,-72,-70,-74,-75,-74,-73,-75,-80,-80,-79,-80,-80,-81,-74,-75,-81,-81,-82,-82,-83,-81,-88,-83,-87,-48,-61,-64,-69,-71,-74,-74,-80,-79,-81,-75,-84,-83,-88,-68,-68,-84,-85,-69,-88,-80,-80,-85,-86,-86,-87,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,724,614836602056
-80,-81,-100,-100,-100,-88,-62,-100,-100,-75,-76,-81,-100,-100,-75,-76,-100,-100,-100,-100,-85,-100,-84,-100,-100,-100,-100,-100,-76,-100,-76,-100,-85,-100,-74,-74,-100,-100,-62,-62,-72,-100,-74,-100,-62,-72,-100,-72,-44,-47,-47,-62,-62,-61,-65,-65,-44,-43,-43,-66,-100,-69,-71,-71,-71,-70,-100,-74,-74,-74,-73,-74,-80,-81,-80,-81,-80,-81,-74,-75,-81,-100,-100,-100,-100,-81,-88,-83,-100,-47,-62,-66,-69,-71,-73,-74,-81,-79,-81,-75,-84,-100,-88,-70,-68,-85,-85,-69,-88,-80,-80,-85,-85,-86,-87,-80,-84,-85,-87,-86,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,724,621461996897
