72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,b4:5d:50:e1:96:51,38:17:c3:1f:14:12,38:17:c3:1f:14:11,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,44:48:c1:91:d0:14,44:48:c1:91:d0:12,44:48:c1:91:d0:10,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:c3,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d3,b4:5d:50:e1:96:43,44:48:c1:91:d0:04,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,38:17:c3:24:47:51,38:17:c3:24:47:52,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b3,a8:bd:27:4c:aa:83,44:48:c1:91:95:a3,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:92,20:a6:cd:42:13:f1,38:17:c3:1f:00:b0,38:17:c3:1f:00:a0,38:17:c3:1f:14:10,b4:5d:50:e1:96:50,44:48:c1:91:d0:11,9c:d6:43:60:92:e0,20:a6:cd:42:0a:d2,38:17:c3:19:45:b0,38:17:c3:1f:19:d0,44:48:c1:91:95:b2,38:17:c3:24:47:50,a8:bd:27:4c:aa:90,38:17:c3:19:d7:70,38:17:c3:1a:cf:d0,44:48:c1:91:aa:30,20:a6:cd:42:0a:c1,ac:e2:d3:c4:08:e6,44:48:c1:91:aa:21,44:48:c1:91:aa:31,38:17:c3:1f:09:91,38:17:c3:1f:09:92,38:17:c3:19:45:a1,38:17:c3:1f:09:93,44:48:c1:91:aa:32,38:17:c3:22:5e:f2,38:17:c3:22:5e:f1,38:17:c3:1f:09:90,20:a6:cd:42:13:f0,38:17:c3:19:45:a0,38:17:c3:1f:19:f0,38:17:c3:22:5e:f0,b4:5d:50:e1:96:41,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,b4:5d:50:e1:96:42,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,38:17:c3:1f:09:83,44:48:c1:91:95:a0,44:48:c1:91:95:a1,44:48:c1:91:95:a2,a8:bd:27:4c:aa:80,44:48:c1:91:d0:02,38:17:c3:19:45:a2,38:17:c3:24:56:41,38:17:c3:24:56:42,b4:5d:50:e1:96:40,44:48:c1:91:d0:01,38:17:c3:1f:09:82,20:a6:cd:42:13:e2,38:17:c3:1f:09:80,86:0d:8e:aa:25:a4,38:17:c3:1f:14:02,38:17:c3:1f:14:01,38:17:c3:1f:09:81,38:17:c3:1f:19:c2,38:17:c3:1f:19:c1,20:a6:cd:42:13:e1,20:a6:cd:42:0a:c2,38:17:c3:1f:14:00,44:48:c1:91:aa:20,38:17:c3:1f:19:c0,20:a6:cd:42:13:e0,66:2a:2f:53:7c:99,20:a6:cd:42:0a:c0,44:48:c1:91:aa:22,b0:b8:67:3d:c2:f2,44:48:c1:91:d0:00,20:a6:cd:42:0b:e3,b6:e6:2d:69:d5:58,38:17:c3:19:36:30,38:17:c3:1a:cf:d1,20:a6:cd:42:0b:f0,44:48:c1:91:9d:50,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:f3,38:17:c3:1f:19:f2,38:17:c3:19:36:31,38:17:c3:19:36:32,38:17:c3:1f:19:f1,92:32:4b:b2:cc:47,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,80:8d:b7:55:25:e3,38:17:c3:19:d7:60,38:17:c3:19:d7:61,38:17:c3:19:d7:62,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:35:10,80:8d:b7:55:29:d0,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,80:8d:b7:55:35:13,80:8d:b7:55:3a:50,80:8d:b7:55:39:d0,80:8d:b7:55:3a:52,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,ea:9e:b4:53:24:54,80:8d:b7:55:3a:40,80:8d:b7:55:3a:51,20:a6:cd:50:24:a0,20:a6:cd:50:24:a2,68:ff:7b:e4:af:39,b0:be:76:f8:30:5e,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:1f:22:30,20:a6:cd:50:24:b0,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,38:17:c3:19:71:90,68:ff:7b:e4:af:38,80:8d:b7:55:39:d1,80:8d:b7:55:29:d1,80:8d:b7:55:39:d2,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:36:22,38:17:c3:19:36:21,20:a6:cd:50:24:a1,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,38:17:c3:19:36:20,80:8d:b7:55:39:c0,38:17:c3:1f:0e:10,80:8d:b7:55:29:d2,00:4e:35:df:06:52,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1f:22:32,38:17:c3:1e:ff:00,38:17:c3:1f:22:31,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,00:4e:35:df:06:51,00:4e:35:df:06:42,00:4e:35:df:06:50,00:4e:35:df:06:41,00:4e:35:de:e1:12,00:4e:35:df:06:40,38:17:c3:1f:0e:01,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:e1:10,38:17:c3:1f:0e:00,b4:5d:50:e1:92:23,38:17:c3:1f:0e:02,80:8d:b7:55:4d:01,80:8d:b7:55:4d:02,80:8d:b7:55:4d:00,80:8d:b7:55:4d:10,80:8d:b7:55:4d:12,80:8d:b7:55:4d:11,x,y,timestamp
-63,-63,-61,-61,-67,-66,-70,-71,-71,-70,-70,-72,-73,-73,-73,-66,-73,-73,-71,-71,-78,-78,-77,-77,-80,-79,-84,-83,-82,-75,-82,-85,-85,-85,-83,-60,-66,-71,-70,-73,-72,-73,-78,-78,-82,-80,-84,-85,-88,-86,-73,-85,-82,-87,-83,-82,-78,-83,-86,-86,-87,-83,-83,-79,-87,-87,-70,-60,-55,-70,-77,-77,-75,-76,-76,-75,-77,-73,-78,-85,-86,-71,-72,-73,-84,-72,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,195,771,316541100763
-60,-60,-63,-63,-62,-62,-69,-67,-67,-69,-69,-73,-73,-74,-69,-68,-70,-69,-68,-72,-78,-78,-76,-75,-78,-77,-82,-80,-82,-75,-100,-82,-82,-82,-100,-63,-62,-68,-69,-73,-72,-70,-78,-76,-82,-78,-83,-100,-89,-86,-66,-83,-100,-85,-82,-83,-74,-82,-87,-87,-88,-82,-100,-74,-100,-87,-100,-51,-52,-100,-75,-100,-46,-100,-77,-78,-100,-69,-74,-100,-100,-100,-100,-73,-83,-73,-100,-69,-69,-72,-80,-81,-83,-66,-69,-79,-80,-82,-87,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,195,771,322538266646
-60,-60,-64,-64,-62,-62,-69,-67,-67,-69,-69,-73,-73,-74,-69,-69,-70,-69,-68,-85,-77,-77,-75,-75,-78,-78,-83,-82,-82,-75,-100,-82,-82,-82,-100,-63,-62,-67,-69,-73,-72,-70,-77,-75,-82,-77,-83,-100,-89,-86,-66,-83,-80,-85,-82,-83,-74,-82,-87,-87,-88,-83,-100,-74,-100,-87,-100,-56,-51,-100,-75,-75,-71,-100,-77,-78,-76,-68,-74,-100,-100,-100,-100,-72,-83,-72,-100,-69,-69,-72,-80,-81,-83,-67,-69,-80,-80,-82,-87,-67,-81,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,195,771,328838534925
-60,-60,-63,-63,-62,-62,-68,-67,-67,-68,-68,-73,-73,-73,-70,-68,-70,-70,-68,-73,-77,-77,-76,-76,-78,-78,-82,-82,-82,-76,-100,-82,-82,-82,-100,-63,-62,-67,-68,-73,-71,-70,-78,-76,-83,-77,-83,-100,-89,-100,-67,-83,-80,-85,-82,-82,-74,-81,-87,-87,-88,-82,-100,-74,-100,-87,-100,-51,-53,-100,-75,-75,-72,-100,-77,-78,-75,-70,-74,-100,-100,-69,-100,-72,-83,-72,-87,-69,-70,-72,-100,-100,-83,-67,-69,-80,-100,-82,-85,-67,-80,-89,-70,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,195,771,335035762110
-60,-60,-63,-64,-63,-62,-69,-68,-67,-68,-68,-73,-73,-73,-70,-70,-70,-69,-68,-71,-77,-78,-76,-76,-77,-77,-82,-81,-81,-76,-75,-82,-82,-82,-100,-63,-62,-68,-69,-73,-69,-69,-78,-76,-81,-77,-83,-100,-100,-100,-67,-100,-81,-100,-81,-81,-100,-83,-100,-100,-100,-82,-100,-100,-100,-100,-68,-51,-52,-100,-75,-76,-72,-78,-76,-76,-75,-70,-100,-100,-100,-68,-69,-72,-83,-72,-87,-69,-70,-73,-100,-100,-100,-67,-69,-80,-100,-100,-85,-67,-81,-90,-70,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,195,771,341293938826
-60,-60,-63,-63,-63,-52,-68,-67,-67,-69,-69,-73,-73,-73,-70,-70,-70,-69,-68,-71,-77,-77,-76,-76,-77,-78,-82,-82,-82,-76,-76,-83,-83,-82,-100,-61,-62,-68,-69,-73,-72,-69,-77,-76,-82,-78,-82,-100,-100,-100,-67,-100,-80,-100,-82,-83,-100,-82,-100,-100,-100,-82,-100,-74,-100,-100,-68,-56,-51,-68,-75,-76,-72,-78,-76,-76,-75,-69,-100,-100,-100,-68,-69,-73,-83,-72,-87,-69,-70,-73,-81,-80,-82,-67,-70,-82,-80,-83,-85,-67,-82,-90,-70,-88,-90,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,195,771,347424401324
-62,-62,-57,-57,-66,-66,-72,-66,-66,-72,-72,-72,-72,-72,-72,-69,-73,-72,-68,-69,-78,-78,-81,-82,-79,-79,-82,-82,-82,-75,-69,-83,-82,-82,-100,-57,-66,-66,-71,-72,-66,-72,-79,-81,-82,-79,-82,-87,-89,-100,-70,-100,-80,-100,-80,-81,-100,-81,-100,-100,-100,-80,-100,-74,-100,-88,-68,-52,-52,-68,-80,-78,-79,-78,-82,-82,-81,-71,-100,-100,-100,-68,-70,-80,-83,-100,-100,-66,-100,-80,-81,-80,-83,-70,-65,-82,-80,-82,-100,-70,-82,-90,-70,-100,-90,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,195,756,416147050256
-62,-62,-57,-57,-66,-65,-72,-66,-66,-72,-72,-72,-72,-72,-73,-68,-73,-73,-70,-72,-78,-78,-82,-83,-79,-79,-100,-100,-100,-75,-76,-82,-83,-82,-100,-56,-65,-66,-72,-72,-67,-72,-79,-82,-100,-78,-83,-87,-89,-100,-70,-100,-84,-100,-80,-80,-77,-80,-100,-100,-100,-80,-100,-76,-100,-88,-73,-51,-51,-100,-80,-78,-72,-100,-82,-82,-81,-71,-76,-100,-100,-100,-70,-74,-83,-82,-100,-66,-66,-81,-100,-100,-83,-70,-66,-100,-100,-82,-100,-70,-84,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,195,756,422161503066
-62,-62,-57,-57,-66,-65,-71,-66,-66,-72,-71,-72,-72,-73,-72,-57,-73,-73,-70,-70,-78,-78,-82,-83,-79,-79,-100,-83,-83,-75,-77,-81,-82,-82,-100,-57,-65,-66,-72,-72,-86,-73,-78,-83,-82,-79,-83,-87,-89,-86,-57,-100,-84,-100,-80,-80,-77,-81,-100,-100,-100,-80,-100,-76,-100,-88,-71,-52,-52,-72,-79,-80,-81,-100,-82,-82,-81,-71,-76,-100,-100,-72,-70,-74,-83,-80,-100,-66,-66,-81,-100,-100,-83,-57,-66,-100,-100,-82,-100,-58,-84,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,195,756,428232481033
-62,-62,-57,-57,-64,-64,-72,-66,-66,-72,-72,-73,-73,-73,-72,-69,-72,-72,-71,-70,-78,-78,-81,-82,-79,-79,-100,-83,-83,-75,-77,-82,-82,-81,-100,-56,-65,-66,-72,-73,-66,-72,-78,-83,-82,-79,-83,-86,-89,-86,-70,-100,-84,-100,-80,-79,-77,-80,-100,-100,-88,-80,-100,-76,-100,-88,-72,-52,-53,-71,-80,-80,-81,-100,-100,-100,-81,-100,-76,-100,-100,-64,-100,-74,-100,-80,-100,-66,-66,-81,-100,-100,-83,-70,-66,-100,-100,-100,-100,-58,-84,-100,-72,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,195,756,434450743062
