72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,b4:5d:50:e1:96:43,38:17:c3:19:45:b1,38:17:c3:19:45:b2,44:48:c1:91:d0:10,44:48:c1:91:d0:14,44:48:c1:91:d0:12,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c3,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,38:17:c3:24:47:51,38:17:c3:1f:14:12,20:a6:cd:42:0a:d1,38:17:c3:24:47:52,38:17:c3:1f:14:11,38:17:c3:1f:19:d1,38:17:c3:1f:09:91,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1f:19:d2,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b3,38:17:c3:19:d7:71,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:93,38:17:c3:1f:00:b0,b4:5d:50:e1:96:50,38:17:c3:1f:00:a0,38:17:c3:19:45:b0,44:48:c1:91:d0:11,20:a6:cd:42:0a:c2,9c:d6:43:60:92:e0,20:a6:cd:42:0a:d2,38:17:c3:1f:14:10,38:17:c3:24:47:50,38:17:c3:1f:09:90,38:17:c3:1f:19:d0,44:48:c1:91:95:b2,a8:bd:27:4c:aa:90,38:17:c3:19:d7:70,44:48:c1:91:aa:30,38:17:c3:19:d7:72,20:a6:cd:42:13:f2,44:48:c1:91:aa:31,20:a6:cd:42:13:f1,20:a6:cd:42:13:f0,38:17:c3:22:61:90,38:17:c3:1f:09:83,20:a6:cd:42:13:e2,38:17:c3:1f:09:80,38:17:c3:1f:14:00,38:17:c3:1a:cf:d2,38:17:c3:1a:cf:d1,38:17:c3:22:61:91,38:17:c3:1a:cf:d0,38:17:c3:19:36:30,38:17:c3:22:5e:f0,b0:b8:67:3d:c2:f2,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:d7:60,20:a6:cd:42:0a:c1,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,38:17:c3:1f:14:01,38:17:c3:1f:14:02,38:17:c3:1f:09:82,44:48:c1:91:d0:04,38:17:c3:1f:09:81,44:48:c1:91:95:a1,44:48:c1:91:95:a3,a8:bd:27:4c:aa:83,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:91,38:17:c3:19:36:32,38:17:c3:22:5e:f2,38:17:c3:22:5e:f1,80:8d:b7:55:25:f3,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:40,38:17:c3:24:56:50,66:2a:2f:53:7c:99,72:32:b1:3e:1a:b8,38:17:c3:1f:19:f2,a8:bd:27:4c:aa:81,38:17:c3:24:56:51,92:32:4b:b2:cc:47,a8:bd:27:4c:aa:80,44:48:c1:91:aa:22,44:48:c1:91:aa:21,38:17:c3:1f:19:f0,44:48:c1:91:aa:20,38:17:c3:1f:1c:10,38:17:c3:1f:19:c2,20:a6:cd:42:13:e1,44:48:c1:91:d0:01,38:17:c3:19:45:a0,20:a6:cd:42:13:e0,86:0d:8e:aa:25:a4,44:48:c1:91:d0:02,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:1f:19:c0,38:17:c3:1f:19:f1,44:48:c1:91:95:a0,44:48:c1:91:95:a2,44:48:c1:91:9d:50,44:48:c1:91:d0:00,b6:e6:2d:69:d5:58,80:8d:b7:55:25:e3,38:17:c3:1f:19:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,80:8d:b7:55:25:f0,38:17:c3:19:36:31,80:8d:b7:55:25:f1,80:8d:b7:55:35:03,80:8d:b7:55:29:d0,80:8d:b7:55:25:f2,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,80:8d:b7:55:35:13,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:35:10,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,80:8d:b7:55:35:11,80:8d:b7:55:35:12,b0:be:76:f8:30:5e,20:a6:cd:50:24:b0,80:8d:b7:55:39:d0,80:8d:b7:55:35:02,80:8d:b7:55:3a:51,ea:9e:b4:53:24:54,68:ff:7b:e4:af:39,80:8d:b7:55:3a:40,80:8d:b7:55:3a:52,02:54:af:fe:54:11,20:a6:cd:50:24:a1,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:71:90,38:17:c3:1e:ff:10,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,68:ff:7b:e4:af:38,38:17:c3:19:71:82,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,38:17:c3:19:71:81,80:8d:b7:55:39:c0,38:17:c3:19:71:80,20:a6:cd:50:24:a0,20:a6:cd:50:24:a2,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:19:36:21,38:17:c3:19:36:22,00:4e:35:df:06:52,38:17:c3:1f:0e:10,38:17:c3:1f:22:31,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,38:17:c3:1f:22:30,38:17:c3:1f:22:32,80:8d:b7:55:29:c0,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,00:4e:35:de:e1:11,00:4e:35:de:e1:12,00:4e:35:df:06:42,00:4e:35:df:06:41,00:4e:35:df:06:40,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,00:4e:35:df:06:50,00:4e:35:df:06:51,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:0e:00,38:17:c3:1f:22:21,00:4e:35:de:e1:10,80:8d:b7:55:4d:10,80:8d:b7:55:4d:01,80:8d:b7:55:4d:11,80:8d:b7:55:4d:12,80:8d:b7:55:4d:02,x,y,timestamp
-62,-61,-63,-63,-69,-69,-69,-55,-63,-63,-84,-76,-76,-74,-73,-73,-70,-72,-72,-72,-77,-70,-72,-77,-70,-78,-77,-77,-77,-78,-78,-79,-79,-83,-80,-83,-59,-69,-63,-77,-73,-70,-75,-71,-71,-77,-74,-78,-79,-83,-83,-86,-85,-85,-87,-85,-85,-86,-75,-82,-75,-72,-83,-84,-86,-84,-86,-88,-90,-83,-84,-84,-70,-70,-71,-72,-73,-74,-74,-74,-75,-76,-79,-83,-83,-86,-86,-86,-87,-85,-86,-71,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,114,805,730606517063
-57,-57,-62,-62,-74,-74,-74,-52,-65,-64,-70,-76,-77,-71,-71,-72,-71,-69,-73,-74,-78,-73,-74,-78,-72,-81,-77,-77,-77,-81,-80,-81,-79,-100,-79,-79,-60,-74,-64,-77,-72,-72,-75,-74,-73,-78,-74,-81,-80,-79,-100,-84,-100,-100,-85,-100,-100,-100,-74,-100,-75,-72,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-71,-70,-71,-76,-73,-74,-68,-74,-75,-76,-76,-79,-80,-86,-86,-86,-87,-85,-86,-71,-86,-88,-52,-83,-81,-86,-87,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,114,805,737351455238
-58,-58,-61,-61,-74,-74,-74,-56,-65,-64,-70,-80,-79,-72,-72,-72,-70,-71,-72,-72,-78,-70,-72,-79,-70,-78,-78,-79,-79,-78,-81,-80,-81,-100,-79,-81,-59,-73,-69,-80,-72,-70,-75,-72,-70,-79,-74,-78,-80,-81,-87,-84,-100,-100,-85,-100,-100,-100,-74,-100,-75,-72,-100,-100,-100,-100,-86,-88,-100,-100,-100,-100,-70,-70,-71,-76,-73,-74,-68,-74,-75,-76,-75,-81,-81,-86,-86,-86,-87,-85,-88,-71,-87,-88,-52,-83,-81,-86,-87,-81,-82,-82,-86,-83,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,114,805,743671321485
-58,-58,-60,-60,-73,-73,-73,-52,-62,-64,-70,-79,-79,-74,-74,-74,-70,-70,-71,-71,-79,-69,-71,-79,-69,-78,-79,-78,-79,-78,-79,-80,-80,-100,-79,-80,-59,-73,-64,-79,-74,-70,-82,-71,-69,-79,-100,-78,-80,-81,-87,-86,-100,-100,-85,-100,-100,-100,-74,-83,-100,-68,-89,-100,-100,-100,-100,-88,-100,-100,-100,-100,-70,-100,-100,-68,-68,-100,-69,-100,-100,-100,-74,-80,-81,-100,-100,-100,-100,-85,-88,-70,-86,-100,-52,-87,-81,-86,-87,-81,-82,-82,-86,-83,-88,-81,-82,-72,-76,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,114,805,750238067056
-59,-58,-60,-61,-74,-75,-75,-51,-64,-64,-69,-77,-77,-74,-74,-74,-70,-70,-72,-72,-79,-70,-72,-79,-70,-78,-78,-78,-78,-78,-78,-78,-78,-100,-100,-81,-59,-75,-64,-78,-74,-70,-77,-72,-70,-79,-78,-78,-78,-81,-87,-86,-100,-100,-100,-100,-100,-100,-73,-83,-100,-68,-89,-100,-100,-100,-100,-88,-100,-100,-100,-100,-73,-100,-70,-68,-68,-100,-69,-100,-100,-76,-74,-80,-82,-100,-87,-87,-100,-86,-88,-70,-87,-100,-51,-87,-100,-100,-100,-100,-82,-82,-86,-83,-88,-81,-82,-74,-75,-80,-89,-73,-74,-74,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,114,805,756462349293
-58,-59,-60,-60,-74,-75,-75,-52,-63,-63,-67,-77,-77,-74,-73,-73,-100,-73,-71,-71,-80,-70,-71,-79,-70,-78,-79,-79,-78,-78,-78,-78,-80,-100,-80,-80,-59,-75,-64,-78,-73,-72,-76,-71,-71,-79,-78,-78,-79,-80,-100,-86,-100,-100,-100,-100,-100,-100,-74,-84,-73,-69,-89,-100,-100,-86,-100,-86,-100,-100,-100,-100,-73,-100,-70,-69,-68,-73,-70,-73,-100,-76,-75,-80,-80,-100,-88,-86,-100,-86,-100,-70,-85,-100,-51,-87,-100,-86,-100,-100,-100,-100,-100,-100,-90,-81,-84,-74,-75,-84,-89,-73,-74,-74,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,114,805,762699543093
-59,-59,-65,-65,-72,-72,-72,-50,-65,-65,-75,-76,-76,-74,-74,-74,-100,-71,-71,-71,-79,-69,-71,-80,-69,-84,-79,-79,-78,-84,-82,-83,-81,-100,-76,-87,-63,-73,-65,-76,-74,-72,-72,-71,-69,-79,-78,-85,-81,-85,-100,-100,-100,-100,-100,-100,-100,-100,-74,-85,-73,-69,-100,-100,-100,-89,-100,-86,-100,-100,-100,-100,-74,-100,-70,-69,-68,-73,-61,-73,-100,-76,-77,-86,-85,-100,-88,-86,-100,-82,-100,-100,-85,-85,-50,-85,-76,-86,-100,-76,-100,-100,-85,-100,-90,-81,-84,-74,-75,-84,-100,-73,-74,-74,-82,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,114,790,905570079861
-57,-57,-63,-64,-74,-74,-74,-57,-67,-68,-71,-76,-76,-74,-74,-74,-100,-72,-74,-74,-78,-70,-73,-79,-70,-85,-80,-80,-79,-86,-80,-81,-82,-100,-74,-84,-63,-73,-68,-76,-74,-72,-72,-74,-70,-79,-80,-86,-81,-84,-100,-88,-100,-100,-100,-100,-100,-100,-74,-85,-74,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-73,-100,-72,-100,-100,-100,-68,-74,-76,-88,-79,-85,-84,-100,-100,-100,-100,-82,-100,-100,-100,-86,-50,-85,-74,-100,-100,-74,-100,-100,-85,-100,-100,-100,-100,-72,-100,-84,-100,-100,-100,-100,-100,-85,-77,-76,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,114,790,912014855275
-57,-57,-65,-65,-74,-73,-73,-50,-66,-66,-68,-76,-77,-74,-74,-74,-73,-73,-75,-75,-79,-70,-74,-79,-70,-84,-80,-80,-80,-84,-81,-82,-80,-100,-74,-85,-62,-73,-66,-76,-74,-73,-71,-74,-70,-78,-79,-85,-81,-85,-100,-88,-100,-100,-100,-100,-100,-100,-75,-83,-75,-66,-100,-100,-100,-89,-100,-87,-100,-100,-100,-100,-72,-73,-72,-67,-67,-75,-68,-76,-76,-88,-79,-86,-84,-100,-89,-90,-100,-82,-100,-73,-100,-86,-57,-85,-74,-100,-100,-74,-100,-100,-85,-100,-100,-100,-84,-72,-100,-83,-100,-100,-100,-100,-100,-85,-77,-76,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,114,790,917960511836
-59,-59,-67,-66,-74,-74,-74,-53,-66,-66,-71,-76,-76,-75,-75,-74,-73,-73,-76,-76,-80,-70,-75,-81,-70,-84,-80,-81,-80,-83,-82,-80,-82,-100,-74,-81,-62,-74,-66,-76,-75,-73,-74,-75,-70,-81,-80,-83,-82,-83,-87,-88,-100,-100,-100,-100,-100,-100,-77,-83,-77,-68,-100,-100,-100,-89,-100,-88,-100,-100,-100,-100,-72,-72,-73,-67,-68,-75,-70,-76,-76,-76,-80,-82,-85,-100,-88,-87,-100,-82,-100,-72,-100,-86,-50,-100,-74,-100,-100,-74,-100,-100,-100,-100,-100,-100,-84,-72,-74,-83,-100,-100,-74,-100,-100,-100,-77,-76,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,114,790,924317745114
