b8:27:eb:9f:6b:77,38:17:c3:1f:0e:10,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,80:8d:b7:55:35:10,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:03,38:17:c3:1f:01:92,80:8d:b7:55:39:d2,38:17:c3:19:d7:70,38:17:c3:19:d7:71,80:8d:b7:55:39:d0,38:17:c3:1f:01:90,80:8d:b7:55:39:d1,38:17:c3:19:d7:72,80:8d:b7:55:35:01,80:8d:b7:55:35:02,b0:be:76:f8:30:5e,38:17:c3:1f:01:91,80:8d:b7:55:35:00,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:25:f0,80:8d:b7:55:25:e3,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,38:17:c3:1f:01:81,38:17:c3:1f:01:80,44:48:c1:a5:82:30,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:3a:50,20:a6:cd:50:24:b0,20:a6:cd:50:24:b2,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,20:a6:cd:50:24:b1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,80:8d:b7:55:25:e1,20:a6:cd:50:24:a0,ac:e2:d3:c4:08:e6,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:1e:ff:10,38:17:c3:19:d7:61,38:17:c3:19:d7:62,80:8d:b7:55:3a:40,38:17:c3:19:55:50,38:17:c3:19:55:52,38:17:c3:1e:ff:11,38:17:c3:19:55:51,60:32:b1:3e:1a:b7,38:17:c3:19:d7:60,b4:5d:50:e1:92:33,00:4e:35:df:06:52,38:17:c3:1e:ff:12,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:1f:22:30,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,44:48:c1:a5:82:20,44:48:c1:a5:82:21,44:48:c1:a5:82:22,66:2a:2f:53:7c:99,38:17:c3:19:71:90,38:17:c3:1f:01:82,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,b4:5d:50:e1:96:53,38:17:c3:19:45:b0,38:17:c3:19:45:b2,38:17:c3:19:45:b1,00:4e:35:df:06:42,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,68:ff:7b:e4:af:38,60:32:b1:3e:1a:b8,00:4e:35:df:06:41,a8:bd:27:4c:bd:30,68:ff:7b:e4:af:39,00:4e:35:df:06:40,00:4e:35:de:e1:12,b4:5d:50:e1:92:23,b4:5d:50:e1:92:32,72:32:b1:3e:1a:b8,38:17:c3:1e:ff:02,38:17:c3:1f:09:83,38:17:c3:1f:22:31,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f3,b4:5d:50:e1:96:50,38:17:c3:1f:22:32,00:4e:35:de:e1:00,38:17:c3:1f:09:90,00:4e:35:de:e1:11,38:17:c3:1e:ff:01,38:17:c3:19:45:a2,20:a6:cd:42:0b:e3,b4:5d:50:e1:96:52,00:4e:35:de:e1:10,b4:5d:50:e1:96:51,38:17:c3:1e:ff:00,38:17:c3:19:45:a1,38:17:c3:19:45:a0,b4:5d:50:e1:92:20,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,00:4e:35:de:e1:02,00:4e:35:de:e1:01,38:17:c3:1f:08:50,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1f:08:51,38:17:c3:1f:08:52,72:32:b1:3e:1a:b7,00:4e:35:de:d7:53,00:4e:35:de:d7:52,00:4e:35:de:d7:50,38:17:c3:19:55:40,00:4e:35:de:d7:51,38:17:c3:19:71:92,00:4e:35:df:0e:12,38:17:c3:19:71:91,00:4e:35:de:d7:43,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:19:55:41,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:21,38:17:c3:19:55:42,00:4e:35:df:0e:10,38:17:c3:19:36:30,00:4e:35:df:0e:11,00:4e:35:df:0e:00,38:17:c3:1f:22:21,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,00:4e:35:df:0e:01,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:4f:10,38:17:c3:24:4f:12,38:17:c3:1f:0f:90,38:17:c3:24:4f:11,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:19:71:81,00:4e:35:df:0e:02,00:4e:35:df:27:12,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,00:4e:35:de:d7:42,00:4e:35:de:d7:41,00:4e:35:de:d7:40,x,y,timestamp
-44,-50,-50,-57,-58,-58,-65,-65,-65,-65,-69,-71,-71,-71,-71,-72,-72,-72,-72,-73,-73,-74,-74,-74,-75,-75,-75,-76,-76,-76,-77,-77,-77,-77,-78,-78,-79,-82,-82,-82,-83,-83,-83,-84,-84,-84,-84,-85,-86,-86,-87,-87,-87,-87,-87,-87,-88,-88,-88,-88,-89,-89,-89,-89,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,246,728,12798024048306
-100,-45,-52,-100,-100,-100,-66,-67,-67,-67,-100,-74,-72,-73,-74,-72,-75,-71,-73,-100,-100,-76,-74,-100,-100,-100,-100,-76,-100,-76,-75,-76,-100,-100,-81,-81,-81,-80,-84,-83,-81,-81,-83,-85,-85,-85,-100,-84,-100,-100,-88,-89,-87,-100,-100,-100,-87,-100,-100,-87,-89,-90,-87,-100,-100,-93,-49,-49,-88,-88,-88,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,246,728,12801164751015
-34,-45,-52,-52,-52,-52,-67,-66,-65,-66,-75,-69,-73,-74,-72,-72,-69,-72,-72,-78,-77,-67,-69,-77,-100,-100,-100,-77,-77,-77,-77,-77,-73,-73,-79,-84,-78,-82,-85,-86,-82,-82,-85,-100,-85,-100,-100,-80,-100,-100,-88,-87,-87,-100,-100,-100,-86,-100,-89,-87,-90,-100,-87,-100,-100,-100,-47,-46,-83,-83,-83,-100,-94,-74,-82,-83,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,246,728,12804399492847
-33,-45,-53,-53,-53,-53,-66,-66,-67,-66,-71,-100,-70,-72,-72,-72,-100,-72,-72,-75,-74,-75,-100,-74,-78,-78,-100,-76,-100,-75,-76,-76,-76,-75,-82,-81,-81,-80,-83,-82,-79,-80,-82,-100,-85,-100,-100,-83,-87,-87,-86,-86,-86,-100,-91,-100,-86,-90,-88,-86,-90,-100,-86,-100,-100,-92,-48,-48,-83,-83,-85,-100,-100,-76,-82,-83,-100,-86,-88,-88,-90,-91,-91,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,246,728,12807843706784
-35,-45,-49,-53,-54,-53,-66,-66,-66,-66,-100,-100,-71,-73,-100,-71,-100,-71,-74,-77,-78,-74,-100,-77,-80,-79,-100,-77,-100,-77,-77,-77,-77,-76,-80,-80,-80,-100,-84,-83,-81,-100,-83,-84,-100,-100,-100,-83,-100,-100,-87,-88,-89,-100,-100,-100,-87,-100,-100,-89,-89,-93,-88,-100,-100,-100,-48,-48,-100,-86,-85,-100,-92,-100,-100,-100,-100,-88,-87,-87,-100,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,246,728,12811214302120
-34,-46,-100,-53,-53,-52,-66,-65,-65,-65,-100,-71,-71,-72,-79,-71,-70,-72,-70,-75,-76,-76,-70,-76,-100,-79,-100,-77,-100,-76,-76,-77,-100,-100,-100,-80,-81,-82,-83,-82,-82,-83,-83,-84,-84,-100,-85,-87,-86,-87,-88,-87,-88,-87,-88,-88,-87,-88,-100,-87,-89,-89,-88,-88,-89,-100,-47,-47,-86,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-88,-92,-100,-100,-100,-85,-91,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,246,728,12814704132520
-35,-47,-51,-55,-55,-55,-65,-64,-65,-65,-100,-72,-67,-76,-75,-68,-72,-68,-76,-71,-72,-81,-72,-71,-79,-79,-100,-72,-73,-71,-72,-71,-77,-100,-75,-75,-76,-79,-81,-81,-79,-79,-81,-87,-100,-74,-100,-83,-100,-100,-81,-83,-82,-100,-92,-100,-81,-91,-89,-83,-88,-85,-81,-84,-84,-89,-48,-48,-82,-82,-81,-100,-100,-100,-75,-75,-100,-100,-81,-100,-100,-100,-100,-94,-100,-90,-100,-86,-92,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,246,711,12869711106020
-100,-47,-51,-56,-56,-56,-65,-64,-65,-64,-71,-71,-68,-75,-75,-69,-70,-70,-75,-71,-71,-76,-70,-71,-100,-79,-79,-72,-78,-72,-72,-72,-78,-77,-76,-76,-75,-80,-80,-81,-80,-80,-81,-89,-100,-100,-100,-84,-100,-100,-81,-82,-82,-100,-100,-100,-81,-100,-88,-82,-89,-85,-81,-84,-85,-100,-49,-50,-83,-83,-82,-100,-100,-78,-100,-75,-100,-100,-100,-100,-100,-100,-88,-94,-87,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,246,711,12872351605763
-35,-47,-52,-56,-56,-57,-65,-64,-64,-64,-100,-71,-68,-75,-75,-68,-70,-68,-76,-100,-100,-76,-70,-70,-100,-79,-100,-72,-73,-71,-72,-72,-78,-100,-75,-76,-76,-80,-81,-80,-80,-79,-81,-88,-100,-75,-89,-83,-82,-100,-81,-100,-82,-100,-100,-100,-80,-100,-89,-100,-88,-84,-81,-84,-84,-91,-48,-49,-84,-84,-84,-88,-100,-100,-75,-100,-100,-80,-81,-80,-100,-91,-90,-92,-100,-90,-100,-100,-92,-92,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,246,711,12875026628581
-34,-47,-100,-56,-56,-56,-65,-65,-65,-66,-100,-71,-69,-100,-100,-68,-71,-69,-100,-72,-72,-76,-71,-72,-100,-100,-100,-72,-100,-72,-72,-72,-77,-100,-76,-76,-76,-81,-80,-81,-80,-81,-81,-100,-100,-100,-100,-100,-81,-100,-82,-82,-82,-100,-91,-90,-80,-90,-89,-82,-87,-86,-80,-86,-86,-91,-49,-49,-83,-84,-83,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,246,711,12877782750939
