b8:27:eb:9f:6b:77,38:17:c3:1f:0e:12,ea:9e:b4:53:24:54,38:17:c3:1f:0e:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d0,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:35:03,38:17:c3:1f:01:90,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:35:10,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:13,38:17:c3:1f:01:81,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:35:02,b0:be:76:f8:30:5e,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:25:f0,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,38:17:c3:19:d7:70,44:48:c1:a5:82:30,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:39:c0,80:8d:b7:55:25:f1,80:8d:b7:55:39:c2,80:8d:b7:55:3a:51,80:8d:b7:55:39:c1,80:8d:b7:55:3a:52,ac:e2:d3:c4:08:e6,80:8d:b7:55:3a:50,44:48:c1:a5:82:21,20:a6:cd:50:24:a2,44:48:c1:a5:82:22,20:a6:cd:50:24:a1,44:48:c1:a5:82:20,20:a6:cd:50:24:a0,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,38:17:c3:19:45:b2,38:17:c3:19:45:b1,00:4e:35:df:06:50,38:17:c3:1e:ff:12,38:17:c3:19:45:b0,00:4e:35:df:06:51,60:32:b1:3e:1a:b8,00:4e:35:df:06:52,80:8d:b7:55:3a:40,66:2a:2f:53:7c:99,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:1f:01:82,20:a6:cd:50:24:b0,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:62,b4:5d:50:e1:92:33,a8:bd:27:4c:bd:30,38:17:c3:1f:01:80,38:17:c3:1e:ff:01,72:32:b1:3e:1a:b8,00:4e:35:df:06:42,38:17:c3:1e:ff:00,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:22:30,00:4e:35:de:e1:12,80:8d:b7:55:25:e2,80:8d:b7:55:25:e3,68:ff:7b:e4:af:38,80:8d:b7:55:25:e1,68:ff:7b:e4:af:39,b4:5d:50:e1:92:23,00:4e:35:df:06:40,00:4e:35:df:06:41,38:17:c3:1e:ff:02,80:8d:b7:55:25:e0,38:17:c3:19:55:52,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:19:71:92,b4:5d:50:e1:96:53,38:17:c3:19:71:90,38:17:c3:19:45:a0,38:17:c3:19:45:a1,38:17:c3:19:71:91,b4:5d:50:e1:96:52,38:17:c3:1f:09:90,38:17:c3:1f:09:83,20:a6:cd:42:0b:e3,38:17:c3:1f:09:93,b4:5d:50:e1:92:31,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:00,b4:5d:50:e1:96:51,38:17:c3:1f:09:92,38:17:c3:1f:09:91,b4:5d:50:e1:96:50,38:17:c3:19:45:a2,00:4e:35:de:e1:11,00:4e:35:de:e1:10,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:31,b4:5d:50:e1:92:20,a8:bd:27:4c:bd:32,38:17:c3:1f:08:50,00:4e:35:de:e1:01,00:4e:35:de:e1:02,38:17:c3:19:55:42,38:17:c3:19:55:41,00:4e:35:de:d7:52,00:4e:35:de:d7:53,38:17:c3:19:55:40,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:1f:08:51,00:4e:35:df:0e:12,38:17:c3:1f:22:21,44:48:c1:91:95:b2,44:48:c1:91:95:b1,38:17:c3:1f:08:52,00:4e:35:de:d7:43,38:17:c3:1f:22:22,00:4e:35:de:d7:42,38:17:c3:1f:22:20,44:48:c1:91:95:b3,38:17:c3:19:36:30,38:17:c3:1f:08:42,38:17:c3:1f:08:40,38:17:c3:1f:08:41,38:17:c3:1e:fc:b0,a8:bd:27:4c:bd:22,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:19:71:81,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:df:0e:11,00:4e:35:df:0e:00,00:4e:35:df:0e:02,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,00:4e:35:df:0e:01,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,00:4e:35:df:0e:10,38:17:c3:1e:fc:a2,38:17:c3:24:58:b0,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:90,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:1b:08:b0,00:4e:35:de:d7:40,00:4e:35:de:d7:41,x,y,timestamp
-33,-46,-46,-47,-47,-53,-53,-53,-69,-70,-71,-71,-72,-72,-72,-73,-73,-73,-74,-75,-76,-76,-76,-77,-78,-78,-78,-78,-78,-79,-79,-79,-79,-79,-79,-80,-80,-80,-81,-82,-82,-83,-83,-84,-84,-84,-84,-85,-85,-85,-85,-86,-86,-86,-87,-87,-88,-88,-89,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,629,1142485097456
-34,-46,-47,-47,-47,-54,-54,-54,-69,-70,-70,-100,-73,-73,-73,-75,-75,-74,-75,-74,-100,-100,-77,-78,-78,-78,-79,-79,-78,-81,-78,-81,-82,-83,-79,-83,-80,-83,-80,-84,-80,-85,-84,-84,-83,-84,-84,-84,-85,-85,-86,-87,-84,-85,-87,-85,-87,-90,-100,-100,-91,-84,-84,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,629,1145235746584
-32,-46,-48,-47,-46,-54,-54,-54,-70,-71,-71,-73,-72,-73,-73,-74,-73,-72,-74,-75,-76,-75,-76,-77,-79,-79,-80,-80,-79,-81,-79,-81,-81,-100,-79,-100,-80,-82,-80,-85,-80,-84,-100,-85,-83,-85,-83,-84,-84,-100,-100,-90,-84,-100,-90,-86,-91,-100,-100,-100,-100,-85,-85,-100,-100,-75,-86,-87,-88,-88,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,629,1147675377139
-35,-46,-58,-46,-47,-54,-54,-54,-70,-70,-70,-74,-72,-72,-72,-73,-73,-73,-73,-75,-88,-88,-87,-79,-100,-100,-79,-79,-79,-81,-100,-82,-80,-100,-80,-83,-81,-83,-81,-85,-81,-100,-100,-100,-100,-100,-100,-85,-85,-86,-100,-100,-84,-86,-100,-100,-92,-90,-91,-100,-91,-84,-84,-89,-90,-75,-84,-100,-100,-100,-89,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,629,1150328760268
-33,-46,-47,-47,-47,-54,-54,-54,-69,-70,-71,-72,-91,-74,-73,-73,-74,-74,-74,-75,-76,-75,-76,-76,-79,-80,-80,-80,-80,-82,-80,-83,-83,-83,-81,-83,-81,-83,-81,-84,-81,-100,-84,-100,-83,-84,-84,-85,-84,-87,-86,-100,-85,-86,-92,-100,-90,-100,-88,-100,-91,-85,-85,-100,-100,-76,-85,-89,-89,-88,-90,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,629,1153011460067
-35,-47,-47,-47,-47,-54,-54,-100,-70,-70,-70,-100,-74,-72,-72,-73,-72,-72,-73,-75,-77,-77,-76,-100,-80,-80,-81,-80,-81,-82,-80,-82,-82,-100,-81,-100,-81,-83,-81,-100,-81,-100,-84,-100,-100,-82,-85,-84,-84,-100,-100,-91,-84,-100,-100,-100,-90,-100,-89,-100,-100,-86,-86,-100,-100,-76,-87,-86,-100,-85,-92,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,629,1155660910852
-33,-48,-48,-48,-48,-53,-53,-53,-67,-69,-68,-73,-76,-76,-78,-66,-67,-65,-67,-76,-73,-73,-73,-83,-78,-78,-72,-72,-72,-75,-78,-75,-75,-79,-72,-79,-81,-79,-81,-100,-81,-100,-85,-100,-100,-100,-100,-81,-81,-85,-100,-100,-82,-100,-100,-86,-90,-100,-88,-100,-89,-86,-85,-85,-85,-76,-86,-87,-89,-89,-91,-100,-77,-88,-88,-89,-89,-89,-90,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,609,1211798829933
-34,-48,-47,-49,-48,-53,-53,-53,-67,-68,-68,-72,-77,-76,-77,-67,-67,-67,-67,-75,-72,-72,-73,-80,-100,-100,-73,-74,-73,-76,-100,-75,-76,-79,-73,-78,-81,-79,-81,-89,-81,-81,-86,-81,-100,-81,-100,-82,-82,-86,-100,-100,-82,-100,-90,-100,-89,-86,-90,-100,-90,-84,-85,-85,-85,-74,-85,-100,-88,-100,-88,-100,-75,-100,-100,-100,-100,-89,-88,-89,-92,-77,-77,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,609,1214551177551
-100,-49,-48,-47,-49,-53,-100,-100,-67,-68,-68,-67,-78,-77,-78,-68,-69,-68,-68,-75,-100,-100,-100,-83,-78,-78,-73,-73,-73,-75,-78,-75,-75,-79,-74,-78,-79,-100,-80,-100,-79,-81,-100,-81,-100,-81,-86,-81,-81,-85,-100,-100,-82,-100,-100,-100,-91,-100,-88,-100,-100,-85,-85,-100,-100,-75,-85,-100,-100,-100,-90,-100,-76,-100,-100,-100,-100,-91,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,609,1217194881773
-33,-48,-48,-49,-48,-53,-53,-54,-67,-68,-68,-73,-80,-80,-80,-69,-69,-68,-69,-74,-73,-73,-73,-83,-79,-78,-73,-73,-74,-76,-78,-76,-75,-79,-74,-78,-79,-79,-80,-81,-79,-81,-85,-81,-87,-81,-86,-81,-81,-84,-100,-100,-81,-85,-100,-100,-100,-100,-89,-100,-91,-85,-85,-100,-85,-75,-86,-89,-89,-88,-90,-100,-74,-100,-100,-89,-100,-89,-89,-90,-93,-100,-77,-100,-77,-85,-88,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,260,609,1219863623549
