38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,ea:9e:b4:53:24:54,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:35:10,80:8d:b7:55:35:12,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:39:d0,80:8d:b7:55:35:11,80:8d:b7:55:35:13,38:17:c3:1f:01:90,38:17:c3:1f:01:92,38:17:c3:1f:01:91,80:8d:b7:55:35:02,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:35:00,80:8d:b7:55:35:01,38:17:c3:1f:01:82,80:8d:b7:55:25:f0,44:48:c1:a5:82:31,44:48:c1:a5:82:32,44:48:c1:a5:82:30,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,20:a6:cd:50:24:a1,80:8d:b7:55:25:e2,44:48:c1:a5:82:20,44:48:c1:a5:82:21,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:e1,80:8d:b7:55:3a:52,44:48:c1:a5:82:22,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,00:4e:35:df:06:52,00:4e:35:df:06:51,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,00:4e:35:df:06:50,20:a6:cd:50:24:b0,20:a6:cd:50:24:b1,38:17:c3:19:d7:60,38:17:c3:19:d7:61,20:a6:cd:50:24:b2,38:17:c3:19:d7:62,b4:5d:50:e1:92:23,b4:5d:50:e1:96:53,38:17:c3:1f:22:30,38:17:c3:1f:0e:11,38:17:c3:1f:01:80,38:17:c3:1f:01:81,b0:be:76:f8:30:5e,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:25:e0,38:17:c3:19:45:b2,38:17:c3:19:45:b1,72:32:b1:3e:1a:b8,38:17:c3:19:45:b0,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,00:4e:35:df:06:41,00:4e:35:df:06:42,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,38:17:c3:1e:ff:01,72:32:b1:3e:1a:b7,38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:19:55:50,20:a6:cd:50:24:a2,20:a6:cd:50:24:a0,68:ff:7b:e4:af:39,60:32:b1:3e:1a:b8,b4:5d:50:e1:96:50,60:32:b1:3e:1a:b7,66:2a:2f:53:7c:99,b4:5d:50:e1:92:33,38:17:c3:19:45:a2,38:17:c3:1f:09:90,00:4e:35:de:e1:12,00:4e:35:df:06:40,00:4e:35:de:e1:11,b4:5d:50:e1:92:31,b4:5d:50:e1:92:32,68:ff:7b:e4:af:38,38:17:c3:19:71:90,00:4e:35:de:e1:00,38:17:c3:19:45:a0,38:17:c3:19:45:a1,38:17:c3:1f:09:83,00:4e:35:de:e1:10,b4:5d:50:e1:96:52,b4:5d:50:e1:92:30,00:4e:35:de:e1:02,b4:5d:50:e1:96:51,20:a6:cd:42:0b:f3,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:22,b4:5d:50:e1:92:21,a8:bd:27:4c:bd:30,b4:5d:50:e1:92:22,20:a6:cd:42:0b:e3,b4:5d:50:e1:92:20,a8:bd:27:4c:bd:31,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:1f:08:51,38:17:c3:1f:08:50,38:17:c3:1f:08:52,00:4e:35:de:e1:01,38:17:c3:19:55:40,44:48:c1:91:95:b0,00:4e:35:de:d7:51,00:4e:35:de:d7:52,00:4e:35:de:d7:53,38:17:c3:1f:22:20,38:17:c3:1f:22:21,00:4e:35:de:d7:50,38:17:c3:19:71:92,00:4e:35:df:0e:12,44:48:c1:91:95:b3,38:17:c3:19:71:91,38:17:c3:1f:22:22,38:17:c3:1f:22:31,38:17:c3:1f:22:32,00:4e:35:de:d7:43,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a1,38:17:c3:24:58:b0,64:e5:99:c3:13:3c,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:90,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:de:d7:41,00:4e:35:de:d7:42,00:4e:35:de:d7:40,x,y,timestamp
-48,-49,-51,-61,-61,-61,-68,-69,-70,-70,-70,-70,-70,-73,-73,-74,-75,-75,-75,-76,-76,-77,-80,-80,-80,-80,-80,-80,-80,-82,-82,-83,-83,-83,-83,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-86,-87,-87,-88,-88,-88,-88,-91,-92,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,727,774189724673
-46,-46,-46,-59,-59,-59,-66,-69,-70,-72,-71,-69,-69,-69,-70,-70,-76,-77,-75,-77,-77,-75,-78,-79,-79,-80,-78,-78,-79,-100,-81,-85,-84,-100,-81,-86,-85,-85,-86,-85,-87,-87,-86,-86,-88,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-46,-74,-74,-76,-77,-78,-78,-82,-85,-85,-85,-86,-87,-87,-87,-89,-90,-91,-91,-91,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,727,776925471665
-47,-47,-100,-61,-61,-61,-68,-100,-68,-68,-68,-100,-100,-68,-68,-68,-100,-100,-100,-100,-100,-100,-100,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-86,-100,-100,-87,-100,-100,-94,-100,-47,-100,-100,-80,-78,-78,-79,-100,-83,-100,-100,-100,-100,-87,-100,-90,-100,-100,-100,-100,-91,-87,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,727,777669052155
-46,-47,-49,-60,-60,-60,-66,-69,-70,-69,-69,-69,-69,-71,-71,-70,-76,-78,-100,-75,-76,-74,-82,-100,-100,-100,-81,-81,-81,-83,-81,-82,-82,-85,-81,-84,-100,-84,-85,-84,-85,-85,-84,-86,-86,-87,-87,-87,-87,-87,-90,-90,-87,-100,-100,-93,-100,-47,-74,-73,-77,-100,-79,-79,-80,-85,-84,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-83,-84,-86,-86,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,727,780314729763
-50,-50,-46,-59,-59,-58,-68,-70,-69,-68,-69,-70,-71,-70,-70,-69,-75,-100,-100,-75,-75,-73,-79,-79,-79,-79,-79,-79,-80,-100,-80,-85,-85,-82,-100,-86,-86,-83,-83,-83,-84,-86,-83,-84,-87,-86,-86,-85,-100,-100,-90,-89,-100,-100,-100,-100,-91,-50,-74,-74,-81,-100,-100,-100,-100,-84,-85,-86,-85,-100,-100,-100,-100,-90,-100,-100,-100,-91,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,727,783073169725
-49,-49,-46,-60,-61,-62,-67,-70,-70,-70,-69,-69,-68,-70,-70,-71,-73,-80,-73,-74,-73,-74,-78,-79,-79,-80,-78,-78,-77,-83,-81,-84,-83,-100,-81,-85,-83,-100,-82,-83,-100,-86,-83,-83,-86,-86,-88,-83,-87,-86,-100,-90,-87,-90,-100,-100,-90,-49,-74,-74,-100,-100,-100,-81,-100,-84,-85,-100,-85,-91,-89,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,727,785823088384
-60,-58,-51,-54,-55,-55,-64,-68,-67,-66,-67,-67,-68,-76,-77,-76,-77,-79,-73,-77,-77,-77,-74,-84,-83,-84,-73,-73,-73,-85,-81,-87,-87,-84,-80,-80,-87,-73,-73,-73,-80,-80,-84,-100,-81,-81,-82,-76,-100,-100,-82,-81,-100,-81,-88,-100,-100,-58,-77,-76,-79,-79,-80,-79,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-85,-100,-82,-100,-100,-88,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,703,835074745478
-57,-57,-51,-54,-54,-54,-64,-68,-68,-68,-67,-100,-67,-75,-75,-75,-78,-78,-73,-78,-78,-100,-74,-85,-86,-85,-74,-74,-74,-100,-82,-87,-87,-90,-81,-80,-86,-100,-100,-100,-81,-80,-90,-100,-82,-82,-82,-100,-100,-100,-81,-81,-100,-81,-100,-100,-100,-57,-77,-78,-76,-79,-80,-79,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-84,-100,-90,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,703,837728656784
-56,-57,-52,-54,-54,-53,-65,-67,-68,-67,-68,-67,-69,-76,-75,-74,-77,-79,-74,-78,-78,-78,-74,-84,-84,-84,-74,-74,-74,-100,-82,-88,-88,-100,-100,-81,-88,-74,-74,-75,-81,-82,-100,-86,-82,-82,-82,-100,-100,-100,-100,-80,-100,-81,-100,-94,-90,-56,-78,-77,-78,-100,-79,-80,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-86,-92,-90,-90,-89,-100,-100,-100,-100,-100,-100,-92,-89,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,703,840398416738
-56,-56,-52,-54,-54,-53,-65,-68,-67,-67,-68,-67,-67,-87,-75,-75,-77,-80,-74,-78,-77,-79,-74,-83,-83,-83,-74,-74,-75,-100,-81,-87,-87,-100,-81,-81,-88,-75,-74,-75,-81,-81,-100,-100,-81,-80,-81,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-56,-77,-76,-78,-100,-100,-80,-82,-100,-100,-86,-100,-85,-86,-86,-100,-100,-86,-86,-87,-100,-89,-89,-90,-86,-100,-85,-100,-100,-88,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,703,843043907210
-56,-56,-52,-54,-54,-54,-64,-68,-67,-67,-68,-67,-68,-75,-75,-75,-77,-79,-100,-78,-77,-77,-74,-84,-83,-84,-74,-74,-74,-100,-100,-88,-88,-74,-100,-100,-87,-74,-100,-74,-100,-100,-86,-100,-81,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-77,-77,-78,-100,-100,-100,-81,-100,-100,-85,-100,-86,-86,-86,-100,-100,-86,-100,-100,-89,-100,-100,-91,-100,-100,-85,-100,-100,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,703,845715711382
-55,-56,-52,-54,-54,-54,-64,-67,-68,-68,-68,-67,-67,-75,-74,-75,-77,-81,-100,-78,-78,-77,-74,-84,-84,-84,-75,-74,-74,-100,-81,-87,-87,-100,-81,-81,-88,-74,-74,-74,-81,-81,-88,-88,-81,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-78,-78,-78,-100,-79,-79,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-90,-90,-85,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,269,703,848281752159
