38:17:c3:1f:0e:10,ea:9e:b4:53:24:54,80:8d:b7:55:35:03,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:39:d0,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:11,80:8d:b7:55:35:12,38:17:c3:1f:01:90,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:39:c2,44:48:c1:a5:82:31,80:8d:b7:55:39:c0,ac:e2:d3:c4:08:e6,44:48:c1:a5:82:30,80:8d:b7:55:39:c1,44:48:c1:a5:82:32,b0:be:76:f8:30:5e,44:48:c1:a5:82:22,44:48:c1:a5:82:20,44:48:c1:a5:82:21,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:3a:50,80:8d:b7:55:25:f0,80:8d:b7:55:3a:40,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:25:f2,00:4e:35:df:06:52,00:4e:35:df:06:50,00:4e:35:df:06:51,38:17:c3:1e:ff:12,38:17:c3:19:d7:60,38:17:c3:19:45:b2,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,38:17:c3:19:d7:62,66:2a:2f:53:7c:99,38:17:c3:19:55:52,38:17:c3:19:55:50,38:17:c3:19:55:51,20:a6:cd:50:24:b1,38:17:c3:1e:ff:01,20:a6:cd:50:24:b2,38:17:c3:1e:ff:02,b4:5d:50:e1:96:53,38:17:c3:1e:ff:00,b4:5d:50:e1:96:51,60:32:b1:3e:1a:b7,80:8d:b7:55:25:e3,38:17:c3:19:d7:71,38:17:c3:19:d7:72,38:17:c3:19:d7:70,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:19:d7:61,20:a6:cd:50:24:b0,b4:5d:50:e1:92:23,00:4e:35:de:e1:12,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:00,20:a6:cd:50:24:a0,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:19:45:b1,38:17:c3:1f:01:80,00:4e:35:df:06:42,00:4e:35:df:06:40,b4:5d:50:e1:92:33,00:4e:35:df:06:41,20:a6:cd:42:0b:e3,68:ff:7b:e4:af:38,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,68:ff:7b:e4:af:39,38:17:c3:1f:22:30,38:17:c3:1f:09:90,72:32:b1:3e:1a:b8,38:17:c3:1f:09:83,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:19:71:90,60:32:b1:3e:1a:b8,38:17:c3:1f:09:93,b4:5d:50:e1:92:31,b4:5d:50:e1:92:30,38:17:c3:19:45:b0,38:17:c3:19:71:92,b4:5d:50:e1:92:32,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:30,38:17:c3:1f:08:50,38:17:c3:1f:08:51,38:17:c3:1f:08:52,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,38:17:c3:19:55:41,38:17:c3:19:55:42,00:4e:35:de:d7:52,00:4e:35:de:d7:53,38:17:c3:19:55:40,00:4e:35:de:e1:02,00:4e:35:de:e1:01,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:1f:22:22,00:4e:35:de:d7:43,38:17:c3:1f:22:31,72:32:b1:3e:1a:b7,00:4e:35:df:0e:12,38:17:c3:19:71:91,a8:bd:27:4c:bd:22,00:4e:35:de:e1:00,38:17:c3:19:36:31,38:17:c3:1f:22:32,00:4e:35:de:d7:41,00:4e:35:de:d7:40,00:4e:35:de:d7:42,38:17:c3:1f:08:42,a8:bd:27:4c:bd:21,38:17:c3:19:36:30,38:17:c3:19:36:32,38:17:c3:1f:22:21,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:1f:22:20,00:4e:35:df:0e:00,a8:bd:27:4c:bd:20,00:4e:35:df:0e:02,00:4e:35:df:0e:01,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:4f:10,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:58:b1,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:1f:0f:90,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:1b:08:b0,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,x,y,timestamp
-46,-46,-47,-48,-48,-61,-61,-62,-69,-69,-70,-70,-71,-71,-71,-73,-73,-73,-77,-77,-78,-78,-78,-78,-78,-78,-82,-83,-83,-83,-83,-83,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-86,-86,-86,-86,-86,-87,-87,-88,-88,-88,-89,-89,-90,-91,-91,-93,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,724,874424977575
-46,-51,-100,-49,-49,-61,-61,-61,-70,-70,-70,-71,-71,-71,-71,-71,-72,-71,-78,-78,-77,-81,-78,-77,-78,-77,-81,-83,-82,-84,-84,-82,-82,-86,-84,-100,-100,-100,-83,-85,-85,-85,-86,-85,-85,-85,-86,-86,-87,-100,-100,-100,-88,-100,-88,-100,-100,-100,-100,-100,-77,-81,-81,-82,-83,-83,-85,-87,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,724,877215909936
-46,-50,-73,-49,-48,-58,-58,-58,-69,-70,-69,-70,-70,-70,-70,-70,-70,-70,-100,-77,-100,-73,-78,-77,-77,-76,-82,-82,-81,-83,-83,-80,-82,-83,-81,-100,-100,-100,-81,-85,-86,-85,-85,-86,-100,-86,-86,-85,-88,-100,-100,-100,-86,-100,-87,-100,-100,-92,-100,-100,-100,-82,-81,-82,-100,-82,-85,-87,-100,-93,-74,-74,-75,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,724,879869741086
-46,-48,-100,-48,-48,-58,-58,-58,-69,-69,-69,-70,-70,-70,-70,-72,-72,-72,-78,-76,-77,-100,-76,-77,-76,-100,-82,-100,-100,-83,-83,-100,-100,-83,-100,-100,-100,-100,-100,-86,-85,-85,-85,-85,-85,-85,-86,-85,-100,-100,-90,-100,-86,-90,-87,-89,-92,-100,-100,-100,-100,-82,-82,-82,-100,-100,-85,-87,-100,-92,-74,-74,-74,-100,-74,-75,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,724,882517671714
-47,-49,-100,-48,-49,-58,-58,-58,-70,-71,-69,-71,-70,-70,-70,-71,-71,-71,-100,-75,-100,-100,-76,-77,-76,-79,-82,-82,-82,-81,-81,-81,-81,-81,-81,-100,-87,-88,-80,-87,-88,-87,-85,-85,-85,-85,-85,-100,-87,-100,-90,-100,-87,-91,-86,-100,-100,-90,-100,-93,-76,-81,-81,-81,-100,-100,-85,-86,-100,-92,-74,-74,-75,-100,-75,-74,-85,-74,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,724,885196204013
-47,-47,-100,-48,-49,-58,-57,-57,-68,-69,-69,-71,-71,-71,-71,-71,-67,-70,-77,-76,-77,-100,-76,-77,-76,-78,-100,-100,-100,-83,-83,-81,-79,-83,-81,-87,-88,-88,-80,-86,-87,-86,-85,-85,-86,-85,-85,-85,-87,-100,-89,-100,-88,-91,-87,-90,-91,-90,-100,-100,-100,-83,-83,-83,-83,-100,-84,-87,-100,-92,-73,-74,-74,-100,-74,-100,-100,-76,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,724,887857280892
-51,-55,-100,-55,-55,-55,-55,-55,-74,-74,-73,-62,-63,-62,-62,-73,-71,-72,-76,-78,-76,-81,-79,-76,-79,-79,-100,-100,-100,-81,-82,-81,-80,-100,-81,-86,-85,-86,-81,-85,-86,-85,-84,-80,-82,-84,-84,-80,-94,-100,-100,-100,-83,-100,-100,-100,-94,-100,-100,-91,-100,-76,-76,-76,-100,-100,-80,-100,-100,-92,-74,-74,-74,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,707,995972305360
-52,-56,-74,-53,-53,-56,-56,-56,-73,-72,-73,-62,-61,-62,-61,-74,-73,-73,-76,-82,-76,-79,-82,-75,-82,-82,-86,-86,-86,-83,-82,-82,-83,-81,-82,-100,-100,-100,-82,-87,-100,-86,-84,-80,-100,-84,-83,-80,-88,-100,-100,-89,-83,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-75,-100,-100,-80,-83,-100,-91,-73,-73,-100,-100,-100,-100,-100,-100,-88,-89,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,707,998669535577
-52,-62,-74,-52,-52,-56,-56,-56,-73,-72,-74,-62,-62,-63,-63,-74,-73,-74,-76,-77,-76,-82,-78,-76,-78,-80,-100,-100,-100,-80,-80,-83,-83,-81,-83,-100,-84,-85,-83,-87,-87,-87,-84,-80,-82,-84,-84,-80,-89,-87,-87,-88,-100,-91,-100,-100,-100,-92,-100,-88,-100,-75,-76,-75,-100,-100,-80,-100,-100,-91,-73,-73,-72,-88,-100,-100,-100,-100,-87,-100,-87,-100,-90,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,707,1001311822299
-53,-57,-100,-53,-53,-55,-55,-55,-73,-72,-72,-62,-62,-62,-62,-73,-73,-74,-75,-77,-76,-82,-78,-100,-77,-79,-84,-100,-85,-80,-80,-80,-81,-79,-82,-100,-100,-100,-81,-84,-85,-85,-84,-80,-100,-84,-84,-80,-87,-100,-100,-100,-100,-100,-81,-92,-100,-100,-100,-89,-73,-75,-75,-75,-100,-100,-79,-100,-100,-92,-73,-74,-73,-100,-76,-100,-100,-76,-100,-100,-88,-100,-90,-92,-83,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,707,1003988786732
