60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,38:17:c3:1f:00:b0,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a0,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d2,b4:5d:50:e1:96:43,44:48:c1:91:d0:10,44:48:c1:91:d0:12,44:48:c1:91:d0:14,44:48:c1:91:d0:11,20:a6:cd:42:0a:c3,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,9c:d6:43:60:92:e0,b4:5d:50:e1:96:42,20:a6:cd:42:0a:c2,38:17:c3:19:45:b0,38:17:c3:19:45:b2,38:17:c3:1f:14:01,a8:bd:27:4c:aa:83,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:14:00,38:17:c3:19:45:b1,38:17:c3:1f:14:10,38:17:c3:1f:14:11,38:17:c3:1f:14:12,38:17:c3:1f:19:d0,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:93,38:17:c3:1f:09:81,38:17:c3:1f:14:02,38:17:c3:1f:09:92,44:48:c1:91:95:b2,38:17:c3:1f:09:80,44:48:c1:91:95:b1,44:48:c1:91:95:b3,44:48:c1:91:95:b0,38:17:c3:24:47:50,38:17:c3:24:47:51,38:17:c3:1f:09:82,38:17:c3:24:47:52,a8:bd:27:4c:aa:93,38:17:c3:19:45:a0,66:2a:2f:53:7c:99,44:48:c1:91:aa:32,a8:bd:27:4c:aa:90,44:48:c1:91:aa:30,44:48:c1:91:d0:04,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,20:a6:cd:42:0a:c1,ac:e2:d3:c4:08:e6,a8:bd:27:4c:aa:82,20:a6:cd:42:13:f2,44:48:c1:91:aa:31,38:17:c3:1f:19:f0,20:a6:cd:42:0a:c0,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:81,80:8d:b7:55:25:f3,44:48:c1:91:95:a0,38:17:c3:24:56:50,38:17:c3:1f:09:83,44:48:c1:91:95:a1,44:48:c1:91:95:a2,38:17:c3:19:45:a1,b4:5d:50:e1:96:40,44:48:c1:91:95:a3,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,b4:5d:50:e1:96:41,38:17:c3:19:d7:70,b6:e6:2d:69:d5:58,38:17:c3:19:45:a2,38:17:c3:22:61:90,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f3,38:17:c3:19:d7:61,38:17:c3:19:d7:62,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:e0,38:17:c3:19:d7:60,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:e3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,80:8d:b7:55:35:03,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,80:8d:b7:55:25:e2,80:8d:b7:55:3a:50,38:17:c3:19:36:30,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:25:f2,b0:be:76:f8:30:5e,68:ff:7b:e4:af:39,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,ea:9e:b4:53:24:54,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:02,80:8d:b7:55:39:d0,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:3a:41,38:17:c3:19:71:90,38:17:c3:1e:ff:10,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,38:17:c3:1e:ff:11,38:17:c3:19:71:91,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:92,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:29:d0,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,38:17:c3:1e:ff:12,80:8d:b7:55:29:c1,38:17:c3:1e:ff:02,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,20:a6:cd:50:24:b0,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:1e:ff:01,20:a6:cd:50:24:a0,80:8d:b7:55:29:c0,80:8d:b7:55:29:c2,00:4e:35:df:06:52,68:ff:7b:e4:af:38,38:17:c3:1f:22:30,80:8d:b7:55:39:c2,38:17:c3:1e:ff:00,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,38:17:c3:1f:22:32,00:4e:35:de:e1:12,38:17:c3:1f:0e:10,00:4e:35:df:06:40,00:4e:35:df:06:50,38:17:c3:1f:22:31,00:4e:35:df:06:41,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:22:22,x,y,timestamp
-62,-62,-64,-64,-64,-68,-68,-73,-74,-74,-74,-74,-75,-75,-75,-76,-76,-76,-77,-77,-78,-78,-78,-79,-79,-80,-81,-81,-81,-81,-82,-82,-82,-82,-82,-83,-83,-83,-83,-83,-83,-83,-83,-83,-84,-84,-84,-84,-84,-84,-84,-84,-84,-85,-87,-87,-88,-89,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,92,782,210468276016
-62,-100,-64,-64,-64,-65,-100,-74,-74,-74,-74,-74,-74,-74,-100,-77,-77,-77,-77,-77,-100,-100,-100,-100,-79,-100,-82,-80,-81,-100,-83,-81,-81,-81,-80,-84,-84,-83,-81,-83,-83,-83,-83,-100,-84,-84,-83,-83,-85,-85,-83,-84,-82,-84,-89,-100,-100,-89,-88,-91,-76,-80,-80,-81,-82,-88,-89,-90,-92,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,92,782,213238684990
-62,-100,-64,-64,-65,-66,-100,-74,-72,-100,-75,-74,-74,-74,-76,-77,-77,-76,-77,-100,-100,-100,-78,-100,-79,-100,-81,-100,-100,-80,-100,-81,-81,-81,-100,-84,-83,-84,-80,-84,-84,-85,-83,-81,-84,-84,-83,-84,-85,-85,-85,-84,-83,-83,-100,-100,-100,-91,-89,-91,-75,-81,-81,-81,-100,-100,-89,-100,-100,-100,-82,-90,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,92,782,215876189263
-63,-100,-65,-65,-65,-64,-63,-73,-73,-85,-75,-74,-75,-74,-100,-100,-100,-100,-100,-100,-78,-78,-78,-78,-79,-100,-100,-81,-81,-81,-84,-82,-81,-81,-81,-83,-84,-84,-81,-83,-84,-84,-83,-100,-84,-85,-84,-84,-85,-84,-83,-84,-83,-83,-88,-100,-100,-89,-100,-92,-76,-81,-81,-81,-100,-100,-88,-100,-90,-100,-100,-100,-89,-93,-83,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,92,782,218551580675
-63,-100,-65,-65,-63,-66,-62,-73,-73,-73,-75,-74,-75,-74,-80,-76,-76,-76,-77,-100,-79,-100,-78,-80,-79,-100,-100,-100,-82,-82,-100,-81,-81,-82,-100,-84,-84,-83,-82,-84,-85,-84,-81,-82,-84,-84,-82,-85,-85,-85,-83,-83,-82,-84,-89,-88,-89,-90,-89,-90,-100,-100,-100,-81,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-81,-84,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,92,782,221221424222
-64,-100,-64,-64,-63,-59,-61,-100,-74,-72,-74,-73,-73,-75,-78,-79,-79,-80,-79,-100,-78,-77,-77,-77,-77,-100,-100,-82,-81,-80,-84,-80,-80,-81,-81,-82,-82,-82,-79,-83,-83,-83,-83,-80,-83,-85,-83,-85,-85,-85,-83,-84,-83,-83,-87,-100,-89,-100,-88,-92,-77,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-81,-100,-87,-100,-77,-82,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,92,782,223893704697
-69,-100,-62,-63,-62,-69,-65,-74,-100,-100,-73,-74,-74,-73,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-81,-83,-81,-82,-100,-84,-84,-82,-82,-100,-100,-100,-84,-86,-86,-86,-87,-82,-87,-88,-87,-88,-88,-88,-87,-100,-87,-86,-89,-100,-88,-100,-91,-100,-78,-79,-77,-77,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,92,765,331806532114
-68,-100,-61,-62,-62,-65,-64,-73,-75,-74,-75,-73,-75,-74,-100,-77,-76,-77,-76,-100,-77,-77,-77,-77,-100,-100,-100,-83,-82,-81,-84,-84,-85,-100,-81,-80,-80,-80,-85,-86,-85,-85,-85,-100,-86,-88,-86,-88,-88,-88,-88,-87,-86,-88,-89,-100,-89,-100,-89,-100,-80,-80,-77,-78,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-89,-100,-100,-100,-89,-90,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,92,765,334483167068
-68,-100,-63,-63,-62,-64,-66,-75,-74,-74,-75,-74,-75,-76,-100,-75,-75,-75,-75,-100,-74,-75,-75,-76,-100,-100,-82,-82,-83,-80,-82,-84,-83,-81,-82,-80,-80,-80,-84,-88,-87,-86,-87,-80,-86,-87,-87,-87,-86,-89,-91,-88,-87,-100,-90,-100,-100,-100,-90,-100,-100,-77,-78,-78,-81,-100,-86,-100,-100,-100,-83,-88,-87,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,92,765,336931448406
-68,-100,-62,-62,-62,-66,-67,-72,-72,-72,-75,-75,-75,-74,-100,-77,-77,-77,-77,-100,-100,-77,-76,-77,-100,-82,-100,-100,-81,-80,-100,-87,-86,-80,-80,-78,-78,-78,-86,-87,-87,-87,-88,-80,-87,-89,-88,-89,-89,-89,-87,-88,-88,-88,-89,-100,-88,-100,-88,-100,-79,-80,-80,-81,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-90,-89,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,92,765,339569246168
