72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,b4:5d:50:e1:96:43,38:17:c3:1f:00:a2,38:17:c3:1f:00:a0,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,20:a6:cd:42:0a:d2,20:a6:cd:42:0a:d3,b4:5d:50:e1:96:42,44:48:c1:91:d0:12,44:48:c1:91:d0:14,b4:5d:50:e1:96:40,44:48:c1:91:d0:04,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,44:48:c1:91:d0:10,44:48:c1:91:d0:11,44:48:c1:91:d0:00,44:48:c1:91:d0:01,44:48:c1:91:d0:02,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:14:02,9c:d6:43:60:92:e0,38:17:c3:24:47:50,38:17:c3:24:47:51,38:17:c3:24:47:52,38:17:c3:1f:19:d0,44:48:c1:91:95:a3,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:1f:09:91,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1f:09:83,38:17:c3:1f:09:80,38:17:c3:1f:09:82,38:17:c3:1f:14:10,38:17:c3:1f:09:81,38:17:c3:1f:14:11,44:48:c1:91:95:a1,38:17:c3:19:45:b1,38:17:c3:19:45:b2,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,44:48:c1:91:aa:22,44:48:c1:91:aa:21,38:17:c3:19:45:b0,00:4e:35:de:d7:43,66:2a:2f:53:7c:99,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:91,38:17:c3:22:5e:f0,38:17:c3:1f:00:a1,38:17:c3:1f:14:12,20:a6:cd:42:0a:c3,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,b4:5d:50:e1:96:41,a8:bd:27:4c:aa:83,38:17:c3:1f:09:90,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:92,b6:e6:2d:69:d5:58,38:17:c3:19:36:30,44:48:c1:91:95:a2,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,ac:e2:d3:c4:08:e6,44:48:c1:91:95:a0,38:17:c3:19:45:a2,38:17:c3:19:d7:70,38:17:c3:19:45:a1,38:17:c3:19:45:a0,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,38:17:c3:19:d7:72,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:19:d7:61,38:17:c3:19:d7:60,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,38:17:c3:19:d7:71,38:17:c3:19:d7:62,80:8d:b7:55:25:e3,38:17:c3:19:36:32,38:17:c3:19:36:31,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:35:13,80:8d:b7:55:3a:41,80:8d:b7:55:35:10,80:8d:b7:55:3a:42,80:8d:b7:55:35:11,80:8d:b7:55:3a:40,80:8d:b7:55:3a:50,80:8d:b7:55:25:e2,80:8d:b7:55:35:12,80:8d:b7:55:25:e1,b0:be:76:f8:30:5e,68:ff:7b:e4:af:39,80:8d:b7:55:39:d0,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,ea:9e:b4:53:24:54,80:8d:b7:55:35:00,80:8d:b7:55:35:01,38:17:c3:19:71:90,80:8d:b7:55:35:02,80:8d:b7:55:25:e0,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:b0,38:17:c3:1e:ff:02,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,68:ff:7b:e4:af:38,38:17:c3:1e:ff:00,38:17:c3:1e:ff:01,38:17:c3:1f:22:30,20:a6:cd:50:24:a0,80:8d:b7:55:29:c2,38:17:c3:1f:0e:10,20:a6:cd:50:24:b2,80:8d:b7:55:29:d2,80:8d:b7:55:29:d0,38:17:c3:1f:0e:11,20:a6:cd:50:24:b1,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,38:17:c3:1f:22:31,80:8d:b7:55:29:d1,00:4e:35:df:06:52,38:17:c3:1f:22:32,00:4e:35:df:06:50,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:12,x,y,timestamp
-52,-62,-64,-72,-72,-73,-74,-75,-75,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-77,-77,-77,-77,-78,-78,-78,-78,-78,-78,-78,-80,-81,-81,-82,-82,-83,-83,-83,-83,-83,-83,-84,-84,-85,-85,-86,-86,-87,-87,-87,-87,-87,-87,-88,-88,-89,-89,-90,-91,-91,-91,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,151,783,356505780929
-61,-64,-100,-71,-76,-76,-74,-73,-73,-79,-78,-78,-79,-76,-77,-78,-75,-75,-79,-74,-76,-76,-75,-75,-76,-76,-76,-81,-80,-80,-78,-81,-80,-81,-82,-78,-81,-81,-84,-84,-86,-80,-84,-83,-78,-84,-78,-100,-84,-84,-86,-85,-86,-87,-100,-100,-84,-100,-92,-88,-88,-88,-93,-73,-78,-79,-80,-80,-80,-80,-83,-84,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,151,783,359378005330
-100,-67,-64,-69,-70,-69,-100,-73,-100,-100,-100,-100,-77,-74,-73,-76,-73,-73,-77,-75,-74,-74,-74,-73,-77,-76,-77,-80,-79,-80,-100,-86,-86,-86,-82,-100,-82,-82,-87,-86,-86,-82,-83,-84,-79,-83,-79,-100,-100,-100,-87,-86,-87,-87,-100,-100,-100,-100,-88,-89,-90,-100,-100,-72,-79,-100,-100,-100,-100,-77,-100,-86,-100,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,151,783,362049848981
-60,-65,-63,-72,-71,-70,-76,-71,-70,-82,-81,-81,-82,-75,-75,-76,-73,-74,-100,-100,-75,-75,-74,-73,-77,-76,-78,-80,-80,-79,-100,-82,-81,-82,-81,-100,-81,-81,-83,-83,-83,-81,-100,-84,-79,-100,-79,-100,-84,-84,-87,-86,-86,-86,-100,-100,-84,-100,-90,-91,-100,-100,-100,-71,-79,-79,-80,-81,-81,-76,-80,-83,-100,-100,-100,-100,-83,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,151,783,364805976912
-60,-66,-100,-72,-74,-73,-77,-100,-100,-76,-76,-76,-76,-74,-74,-77,-74,-74,-100,-74,-74,-75,-73,-73,-76,-76,-75,-100,-79,-81,-77,-82,-82,-83,-81,-83,-81,-80,-83,-83,-83,-81,-84,-83,-80,-83,-79,-100,-85,-84,-85,-85,-85,-85,-88,-100,-85,-100,-90,-90,-90,-88,-100,-73,-80,-75,-80,-100,-100,-77,-79,-83,-100,-100,-100,-100,-86,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,151,783,367556178749
-100,-66,-59,-72,-74,-74,-100,-100,-100,-77,-78,-77,-77,-74,-74,-78,-73,-74,-100,-75,-73,-74,-73,-74,-76,-75,-75,-100,-100,-80,-75,-86,-82,-82,-81,-84,-81,-80,-82,-82,-84,-81,-82,-82,-80,-83,-79,-100,-85,-100,-85,-84,-85,-85,-100,-100,-86,-100,-90,-89,-100,-100,-100,-73,-79,-100,-100,-100,-100,-77,-100,-83,-100,-100,-100,-100,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,151,783,370117768639
-100,-65,-68,-68,-68,-69,-76,-73,-73,-77,-77,-78,-77,-77,-76,-83,-78,-78,-100,-100,-77,-76,-78,-78,-83,-100,-100,-79,-79,-79,-100,-90,-88,-86,-86,-100,-87,-86,-85,-84,-85,-83,-100,-84,-100,-84,-100,-100,-86,-86,-90,-89,-89,-90,-100,-100,-85,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-82,-100,-84,-100,-88,-100,-100,-100,-100,-88,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,151,766,573279792628
-100,-64,-100,-68,-70,-70,-77,-73,-74,-76,-76,-76,-76,-75,-75,-100,-77,-76,-83,-100,-75,-74,-77,-76,-80,-81,-80,-79,-80,-80,-77,-90,-100,-100,-88,-100,-87,-87,-85,-86,-86,-100,-100,-100,-79,-100,-79,-100,-100,-84,-90,-88,-89,-88,-100,-100,-84,-100,-90,-100,-89,-100,-100,-73,-79,-100,-83,-84,-83,-100,-100,-85,-100,-100,-100,-100,-100,-100,-87,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,151,766,575948790654
-70,-65,-69,-69,-69,-70,-100,-76,-76,-78,-76,-77,-76,-100,-100,-82,-100,-100,-82,-100,-100,-100,-100,-100,-82,-82,-83,-79,-79,-79,-100,-89,-90,-100,-90,-86,-88,-87,-86,-86,-87,-84,-84,-85,-78,-84,-78,-89,-100,-87,-87,-87,-88,-88,-100,-100,-87,-100,-100,-91,-92,-100,-100,-83,-78,-82,-84,-100,-84,-81,-85,-86,-85,-100,-100,-100,-92,-85,-85,-100,-100,-84,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,151,766,578614673420
-69,-66,-70,-68,-69,-69,-100,-75,-76,-76,-76,-76,-76,-74,-74,-82,-77,-77,-82,-80,-74,-75,-77,-77,-82,-82,-82,-79,-79,-100,-78,-91,-100,-90,-88,-100,-88,-87,-86,-86,-86,-100,-85,-84,-79,-85,-79,-100,-100,-87,-87,-88,-88,-87,-100,-100,-88,-100,-100,-92,-91,-100,-100,-75,-78,-81,-100,-83,-83,-82,-87,-86,-100,-100,-100,-100,-100,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,151,766,581271662643
