60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b0,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,9c:d6:43:60:92:e0,38:17:c3:1f:00:a0,38:17:c3:1f:00:a1,b4:5d:50:e1:96:43,20:a6:cd:42:0a:d1,44:48:c1:91:d0:11,44:48:c1:91:d0:14,44:48:c1:91:d0:00,20:a6:cd:42:0a:d2,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,38:17:c3:1f:09:83,b4:5d:50:e1:96:41,38:17:c3:1f:09:82,b4:5d:50:e1:96:40,b4:5d:50:e1:96:42,38:17:c3:1f:14:11,38:17:c3:1f:09:91,38:17:c3:1f:09:92,20:a6:cd:42:0a:c1,38:17:c3:1f:09:90,38:17:c3:1f:09:93,38:17:c3:1f:14:12,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:19:45:b0,38:17:c3:1f:14:10,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:1f:19:d2,a8:bd:27:4c:aa:92,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,a8:bd:27:4c:aa:90,38:17:c3:24:47:51,38:17:c3:24:47:52,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,38:17:c3:24:47:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,44:48:c1:91:d0:04,44:48:c1:91:d0:01,44:48:c1:91:d0:02,44:48:c1:91:d0:10,44:48:c1:91:d0:12,38:17:c3:19:45:a1,38:17:c3:19:45:a0,38:17:c3:19:45:a2,38:17:c3:1f:09:81,38:17:c3:1f:09:80,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:14:02,38:17:c3:19:45:b1,38:17:c3:19:45:b2,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:81,44:48:c1:91:aa:32,a8:bd:27:4c:aa:82,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a2,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c0,72:32:b1:3e:1a:b7,20:a6:cd:42:0a:c3,44:48:c1:91:95:a1,44:48:c1:91:95:a2,44:48:c1:91:95:a0,a8:bd:27:4c:aa:83,44:48:c1:91:95:a3,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,38:17:c3:1f:19:f0,38:17:c3:1f:19:e2,38:17:c3:1f:19:e0,38:17:c3:1f:19:e1,20:a6:cd:42:0b:f0,38:17:c3:19:d7:72,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,38:17:c3:19:d7:70,38:17:c3:19:d7:71,80:8d:b7:55:25:e3,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,38:17:c3:19:d7:60,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:36:30,38:17:c3:19:36:32,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,66:2a:2f:53:7c:99,80:8d:b7:55:3a:50,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:03,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,80:8d:b7:55:35:02,80:8d:b7:55:35:11,80:8d:b7:55:35:12,38:17:c3:1e:ff:10,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,38:17:c3:19:71:81,ea:9e:b4:53:24:54,38:17:c3:19:71:90,80:8d:b7:55:39:d0,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,38:17:c3:19:71:91,80:8d:b7:55:3a:40,38:17:c3:19:71:92,68:ff:7b:e4:af:39,38:17:c3:19:71:80,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:29:d0,38:17:c3:1e:ff:11,80:8d:b7:55:35:01,38:17:c3:1e:ff:12,b0:be:76:f8:30:5e,80:8d:b7:55:35:00,38:17:c3:1e:ff:00,20:a6:cd:50:24:b0,38:17:c3:19:36:31,38:17:c3:1e:ff:01,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:29:c0,80:8d:b7:55:39:c2,80:8d:b7:55:29:c1,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,20:a6:cd:50:24:b1,38:17:c3:1f:22:30,20:a6:cd:50:24:b2,38:17:c3:1e:ff:02,38:17:c3:1f:22:32,00:4e:35:df:06:52,80:8d:b7:55:29:c2,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,00:4e:35:df:06:50,38:17:c3:1f:22:31,38:17:c3:1f:0e:12,38:17:c3:1f:0e:00,x,y,timestamp
-60,-61,-67,-68,-68,-73,-75,-75,-75,-78,-79,-79,-79,-79,-79,-80,-81,-82,-82,-82,-82,-83,-83,-83,-83,-83,-83,-84,-84,-84,-85,-85,-85,-85,-87,-87,-88,-88,-88,-88,-88,-88,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,795,766893766187
-60,-61,-71,-100,-100,-75,-100,-78,-100,-79,-80,-80,-81,-79,-77,-79,-80,-100,-82,-100,-100,-100,-80,-81,-100,-81,-82,-100,-85,-84,-86,-100,-84,-85,-85,-86,-84,-86,-86,-87,-88,-85,-86,-90,-76,-76,-77,-77,-77,-80,-80,-80,-81,-83,-83,-83,-83,-83,-84,-84,-84,-85,-86,-88,-88,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,795,768391993471
-61,-61,-67,-66,-66,-74,-75,-76,-77,-76,-82,-82,-81,-76,-77,-76,-81,-84,-100,-83,-83,-84,-81,-82,-83,-82,-82,-83,-84,-84,-85,-84,-85,-84,-89,-87,-88,-87,-87,-87,-87,-86,-86,-89,-79,-79,-80,-80,-78,-82,-81,-82,-80,-100,-100,-100,-83,-82,-81,-83,-100,-85,-85,-87,-87,-90,-88,-63,-75,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,795,769986179984
-62,-60,-69,-68,-69,-75,-75,-75,-100,-77,-79,-79,-80,-77,-78,-78,-79,-100,-100,-100,-100,-82,-82,-81,-100,-82,-81,-83,-84,-85,-84,-83,-85,-85,-88,-87,-89,-90,-88,-86,-86,-89,-87,-87,-78,-78,-78,-79,-100,-80,-79,-79,-79,-84,-100,-84,-100,-100,-83,-83,-82,-84,-84,-89,-88,-100,-89,-100,-75,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,795,771592201603
-61,-60,-100,-69,-68,-73,-76,-75,-79,-77,-79,-79,-100,-78,-77,-77,-80,-100,-83,-83,-100,-83,-82,-82,-100,-81,-82,-83,-84,-83,-84,-83,-83,-84,-100,-86,-91,-100,-86,-87,-87,-87,-88,-89,-77,-77,-77,-77,-100,-100,-100,-79,-78,-83,-83,-83,-100,-100,-100,-100,-83,-83,-85,-100,-100,-100,-87,-100,-74,-82,-100,-100,-79,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,795,773176227385
-62,-60,-68,-67,-68,-74,-76,-77,-78,-77,-100,-100,-100,-77,-77,-77,-82,-82,-82,-82,-82,-83,-82,-81,-100,-82,-82,-84,-84,-84,-100,-83,-85,-84,-85,-87,-85,-86,-86,-87,-86,-87,-87,-87,-77,-77,-77,-77,-100,-100,-100,-100,-100,-83,-83,-83,-82,-83,-84,-83,-84,-100,-100,-87,-87,-100,-86,-100,-75,-100,-100,-100,-79,-100,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,795,774607692320
-64,-68,-68,-68,-68,-100,-70,-70,-100,-74,-79,-80,-87,-75,-75,-74,-100,-81,-100,-80,-80,-100,-87,-87,-80,-86,-87,-100,-86,-86,-100,-100,-87,-86,-86,-100,-85,-84,-90,-100,-100,-91,-100,-92,-79,-80,-79,-79,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-81,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-80,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,780,831078089404
-67,-66,-66,-67,-67,-82,-70,-70,-74,-76,-81,-81,-87,-75,-74,-76,-85,-80,-87,-80,-80,-100,-86,-87,-80,-88,-100,-100,-100,-100,-84,-100,-100,-100,-85,-100,-85,-86,-89,-87,-89,-90,-100,-89,-78,-78,-78,-79,-81,-85,-100,-81,-81,-100,-100,-100,-88,-100,-81,-81,-80,-84,-84,-74,-74,-100,-74,-100,-70,-80,-100,-100,-79,-100,-89,-100,-70,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,780,832565102833
-100,-68,-68,-67,-66,-83,-71,-71,-76,-75,-78,-79,-100,-75,-74,-75,-100,-79,-100,-79,-79,-79,-87,-86,-100,-87,-87,-78,-86,-86,-100,-79,-87,-87,-88,-89,-87,-86,-91,-88,-89,-91,-89,-88,-100,-78,-78,-78,-100,-100,-100,-78,-78,-90,-89,-90,-100,-86,-79,-100,-100,-100,-85,-100,-100,-100,-100,-100,-71,-100,-79,-68,-100,-88,-88,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,780,834065560118
-68,-68,-67,-67,-67,-83,-71,-71,-100,-75,-79,-79,-100,-76,-76,-75,-85,-79,-86,-79,-80,-80,-86,-86,-81,-86,-86,-80,-100,-100,-85,-80,-100,-100,-100,-100,-100,-100,-91,-87,-87,-91,-100,-87,-79,-80,-79,-80,-100,-100,-83,-79,-80,-100,-100,-100,-86,-86,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-71,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,221,780,835591747041
