b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:39:d2,80:8d:b7:55:35:10,80:8d:b7:55:39:d1,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:d0,38:17:c3:1f:01:91,38:17:c3:1f:01:90,80:8d:b7:55:25:e3,38:17:c3:1f:01:92,38:17:c3:1f:01:81,80:8d:b7:55:25:e1,00:4e:35:df:06:40,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,44:48:c1:a5:82:21,80:8d:b7:55:25:f1,00:4e:35:df:06:42,00:4e:35:df:06:41,44:48:c1:a5:82:22,80:8d:b7:55:3a:51,38:17:c3:19:d7:72,44:48:c1:a5:82:20,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,44:48:c1:a5:82:31,38:17:c3:19:d7:71,38:17:c3:19:d7:70,20:a6:cd:50:24:a2,38:17:c3:19:d7:61,44:48:c1:a5:82:30,38:17:c3:19:d7:60,44:48:c1:a5:82:32,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,00:4e:35:df:06:52,00:4e:35:df:06:51,38:17:c3:1e:ff:12,20:a6:cd:50:24:b0,ac:e2:d3:c4:08:e6,80:8d:b7:55:35:13,b0:be:76:f8:30:5e,38:17:c3:1f:01:82,80:8d:b7:55:39:c0,80:8d:b7:55:25:e0,80:8d:b7:55:25:e2,20:a6:cd:50:24:b2,00:4e:35:df:06:50,38:17:c3:19:45:b0,80:8d:b7:55:3a:41,38:17:c3:19:d7:62,80:8d:b7:55:3a:40,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,66:2a:2f:53:7c:99,38:17:c3:1f:01:80,80:8d:b7:55:3a:42,20:a6:cd:50:24:b1,38:17:c3:19:45:b2,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,38:17:c3:19:55:50,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,38:17:c3:19:45:a1,38:17:c3:19:55:51,b4:5d:50:e1:92:31,b4:5d:50:e1:92:33,68:ff:7b:e4:af:39,38:17:c3:1f:09:83,38:17:c3:19:45:b1,38:17:c3:19:45:a0,00:4e:35:de:e1:12,b4:5d:50:e1:92:23,38:17:c3:1f:22:31,38:17:c3:1f:22:30,38:17:c3:19:45:a2,60:32:b1:3e:1a:b7,38:17:c3:19:55:52,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,38:17:c3:1f:08:50,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:11,00:4e:35:de:e1:01,00:4e:35:de:e1:00,00:4e:35:de:e1:10,00:4e:35:de:e1:02,b4:5d:50:e1:92:20,44:48:c1:91:95:b3,44:48:c1:91:95:b2,38:17:c3:1f:08:51,38:17:c3:1f:08:52,00:4e:35:de:d7:52,38:17:c3:1f:22:20,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,68:ff:7b:e4:af:38,00:4e:35:df:0e:12,38:17:c3:19:71:91,38:17:c3:19:71:90,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,00:4e:35:de:d7:41,38:17:c3:19:71:92,38:17:c3:1f:22:32,38:17:c3:1f:08:41,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:22:21,38:17:c3:1f:08:40,38:17:c3:1f:08:42,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:10,38:17:c3:24:4f:01,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1b:08:b0,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:19:71:81,00:4e:35:df:0e:00,00:4e:35:de:d7:43,00:4e:35:de:d7:42,00:4e:35:de:d7:40,x,y,timestamp
-31,-45,-50,-50,-51,-54,-54,-54,-71,-72,-73,-74,-74,-75,-75,-75,-75,-75,-75,-76,-76,-77,-77,-78,-78,-78,-79,-81,-81,-81,-81,-82,-82,-82,-82,-83,-83,-83,-84,-84,-84,-84,-84,-84,-84,-85,-85,-86,-86,-86,-87,-87,-87,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,626,5699644354022
-33,-43,-53,-52,-53,-54,-54,-54,-71,-71,-72,-70,-70,-79,-69,-78,-75,-75,-75,-78,-75,-75,-77,-76,-78,-78,-79,-77,-77,-77,-81,-78,-82,-81,-82,-83,-81,-83,-84,-82,-82,-81,-82,-84,-83,-82,-82,-82,-86,-86,-88,-87,-87,-90,-100,-69,-73,-75,-76,-78,-79,-88,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,626,5702951015114
-29,-43,-55,-55,-56,-55,-54,-55,-71,-71,-71,-71,-71,-77,-71,-76,-71,-75,-75,-76,-77,-77,-77,-77,-77,-78,-84,-78,-79,-78,-81,-79,-82,-82,-82,-79,-84,-81,-78,-78,-83,-84,-84,-100,-84,-83,-83,-84,-85,-86,-90,-100,-85,-90,-78,-71,-74,-75,-72,-78,-79,-88,-88,-89,-80,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,626,5706384887978
-30,-43,-52,-53,-53,-55,-54,-55,-71,-71,-73,-76,-76,-78,-77,-77,-74,-77,-77,-77,-77,-78,-77,-77,-76,-100,-84,-78,-79,-78,-81,-78,-82,-82,-82,-81,-81,-81,-78,-82,-82,-81,-84,-100,-84,-82,-84,-82,-87,-87,-90,-88,-86,-91,-76,-76,-76,-100,-76,-100,-100,-100,-100,-100,-80,-85,-81,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,626,5709836807456
-33,-42,-54,-54,-55,-55,-55,-55,-72,-73,-73,-76,-76,-78,-77,-77,-73,-76,-76,-78,-77,-78,-80,-79,-76,-78,-100,-78,-79,-78,-79,-79,-82,-82,-100,-80,-81,-79,-100,-80,-85,-81,-81,-100,-100,-86,-84,-85,-86,-87,-90,-88,-86,-91,-76,-76,-76,-100,-76,-77,-77,-100,-89,-92,-80,-100,-81,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,626,5713202311360
-29,-45,-54,-54,-54,-54,-55,-54,-73,-74,-74,-73,-74,-78,-73,-78,-73,-75,-75,-79,-79,-78,-80,-79,-100,-78,-100,-79,-79,-79,-79,-79,-82,-100,-100,-80,-81,-79,-82,-80,-85,-81,-81,-100,-100,-90,-100,-85,-86,-86,-89,-88,-85,-91,-85,-72,-72,-79,-76,-77,-77,-100,-88,-92,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,626,5716630702036
-35,-48,-53,-56,-55,-59,-59,-59,-74,-73,-73,-69,-69,-77,-69,-76,-73,-70,-70,-77,-83,-85,-100,-83,-73,-100,-100,-81,-82,-82,-77,-81,-100,-100,-77,-84,-79,-100,-84,-83,-81,-79,-79,-100,-78,-80,-78,-80,-81,-81,-84,-84,-82,-90,-100,-69,-67,-72,-70,-100,-100,-100,-100,-90,-76,-100,-77,-100,-100,-100,-72,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,613,5776789590242
-35,-42,-56,-56,-56,-59,-59,-59,-74,-73,-73,-69,-69,-75,-68,-76,-71,-70,-70,-76,-81,-81,-100,-80,-73,-100,-100,-79,-78,-80,-77,-79,-100,-100,-75,-82,-79,-100,-80,-81,-81,-79,-79,-100,-75,-80,-78,-80,-82,-83,-86,-85,-82,-87,-82,-69,-67,-72,-70,-100,-100,-87,-87,-90,-76,-76,-77,-100,-100,-100,-72,-77,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,613,5779530457012
-35,-52,-55,-56,-56,-60,-60,-59,-74,-73,-73,-68,-68,-75,-68,-76,-74,-70,-70,-76,-81,-82,-100,-81,-72,-100,-100,-81,-82,-82,-100,-83,-100,-100,-75,-82,-80,-100,-80,-81,-81,-79,-79,-80,-75,-82,-100,-81,-82,-83,-86,-84,-82,-88,-80,-68,-71,-72,-69,-100,-100,-87,-84,-100,-79,-76,-77,-81,-81,-100,-72,-78,-87,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,613,5782812291386
-43,-48,-52,-52,-53,-60,-60,-59,-72,-72,-72,-69,-68,-75,-69,-76,-71,-70,-70,-76,-81,-82,-78,-81,-72,-100,-90,-82,-83,-82,-76,-85,-100,-100,-76,-81,-79,-76,-80,-81,-82,-77,-79,-80,-75,-82,-76,-82,-82,-83,-86,-85,-83,-88,-80,-69,-73,-70,-69,-100,-100,-100,-85,-100,-79,-76,-77,-81,-81,-100,-69,-78,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,262,613,5786081957947
