ea:9e:b4:53:24:54,b8:27:eb:9f:6b:77,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,38:17:c3:1f:0e:12,80:8d:b7:55:39:c2,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:10,80:8d:b7:55:35:01,80:8d:b7:55:39:c1,80:8d:b7:55:35:00,b0:be:76:f8:30:5e,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,38:17:c3:1f:01:81,80:8d:b7:55:39:d0,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f2,38:17:c3:19:d7:61,80:8d:b7:55:25:f0,44:48:c1:a5:82:32,38:17:c3:1f:01:92,38:17:c3:1f:01:91,38:17:c3:19:d7:60,38:17:c3:1f:01:90,44:48:c1:a5:82:31,44:48:c1:a5:82:30,00:4e:35:df:06:50,38:17:c3:1e:ff:01,00:4e:35:df:06:52,38:17:c3:1e:ff:10,80:8d:b7:55:39:c0,80:8d:b7:55:25:e3,38:17:c3:19:d7:62,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:3a:50,38:17:c3:1e:ff:02,44:48:c1:a5:82:21,38:17:c3:1e:ff:00,20:a6:cd:50:24:a1,38:17:c3:1e:ff:11,00:4e:35:df:06:51,38:17:c3:1e:ff:12,80:8d:b7:55:3a:42,80:8d:b7:55:25:e1,44:48:c1:a5:82:22,20:a6:cd:50:24:b1,20:a6:cd:50:24:b0,20:a6:cd:50:24:a2,b4:5d:50:e1:92:23,80:8d:b7:55:25:e2,38:17:c3:1f:01:80,80:8d:b7:55:3a:41,66:2a:2f:53:7c:99,44:48:c1:a5:82:20,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,60:32:b1:3e:1a:b8,38:17:c3:19:45:b0,38:17:c3:19:45:b1,20:a6:cd:50:24:a0,72:32:b1:3e:1a:b7,38:17:c3:1f:01:82,00:4e:35:df:06:41,00:4e:35:df:06:42,20:a6:cd:50:24:b2,00:4e:35:df:06:40,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:19:45:a0,b4:5d:50:e1:92:21,68:ff:7b:e4:af:38,60:32:b1:3e:1a:b7,38:17:c3:19:55:50,38:17:c3:19:45:b2,38:17:c3:1f:22:30,38:17:c3:1f:22:32,00:4e:35:de:e1:12,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:de:e1:00,b4:5d:50:e1:92:20,b4:5d:50:e1:92:33,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:22,b4:5d:50:e1:92:31,b4:5d:50:e1:92:30,b4:5d:50:e1:92:32,00:4e:35:de:e1:01,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:19:55:42,00:4e:35:de:e1:02,68:ff:7b:e4:af:39,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:51,38:17:c3:19:71:90,38:17:c3:19:71:82,00:4e:35:de:d7:50,38:17:c3:1f:22:31,38:17:c3:19:55:40,38:17:c3:19:55:41,38:17:c3:1f:08:50,38:17:c3:19:71:92,38:17:c3:19:71:91,00:4e:35:de:d7:42,00:4e:35:de:d7:41,00:4e:35:de:d7:43,38:17:c3:1f:08:52,38:17:c3:1f:08:51,00:4e:35:df:0e:12,38:17:c3:1f:22:21,a8:bd:27:4c:bd:22,38:17:c3:19:71:80,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,00:4e:35:df:0e:11,38:17:c3:1e:fc:b0,00:4e:35:df:0e:10,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:a2,38:17:c3:24:4f:12,38:17:c3:1b:08:b0,00:4e:35:de:d7:40,x,y,timestamp
-45,-50,-53,-53,-54,-57,-58,-58,-69,-70,-70,-71,-71,-71,-71,-71,-71,-72,-74,-76,-76,-76,-77,-80,-80,-80,-81,-81,-81,-81,-81,-81,-81,-82,-82,-82,-82,-82,-83,-85,-85,-87,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,254,694,11294911530846
-42,-43,-53,-53,-54,-61,-62,-61,-69,-71,-69,-71,-71,-71,-71,-71,-70,-72,-82,-75,-75,-76,-75,-86,-80,-81,-79,-79,-80,-80,-81,-81,-80,-82,-81,-82,-81,-80,-80,-85,-84,-89,-89,-70,-77,-80,-82,-82,-83,-83,-84,-85,-86,-88,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,254,694,11298137502511
-46,-33,-52,-51,-52,-57,-57,-57,-69,-71,-69,-74,-75,-74,-75,-70,-70,-68,-80,-76,-76,-78,-75,-81,-76,-77,-77,-79,-80,-77,-79,-79,-82,-82,-81,-100,-81,-81,-82,-100,-84,-89,-90,-70,-77,-78,-84,-84,-83,-83,-80,-85,-86,-90,-89,-90,-77,-80,-81,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,254,694,11301499283656
-42,-45,-55,-55,-55,-55,-56,-56,-69,-74,-73,-73,-73,-73,-73,-74,-70,-68,-73,-76,-77,-78,-77,-79,-80,-81,-78,-79,-79,-81,-80,-81,-82,-81,-81,-81,-80,-81,-81,-87,-100,-88,-90,-69,-77,-79,-84,-85,-84,-100,-81,-100,-100,-88,-88,-89,-77,-80,-81,-89,-91,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,254,694,11304811280530
-42,-35,-55,-55,-55,-56,-57,-57,-69,-71,-69,-73,-73,-73,-73,-74,-70,-74,-73,-75,-75,-77,-76,-80,-80,-81,-79,-79,-79,-78,-80,-80,-82,-79,-78,-81,-78,-82,-83,-87,-100,-87,-89,-69,-74,-79,-83,-82,-83,-100,-81,-100,-100,-88,-88,-89,-100,-77,-100,-100,-91,-87,-90,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,254,694,11308247227091
-47,-32,-53,-53,-54,-57,-57,-57,-100,-73,-73,-73,-73,-73,-73,-74,-72,-74,-77,-78,-77,-77,-79,-80,-80,-81,-78,-79,-78,-78,-82,-80,-82,-80,-80,-82,-81,-81,-83,-87,-100,-88,-90,-100,-74,-79,-83,-82,-83,-100,-100,-100,-100,-100,-88,-100,-100,-77,-100,-100,-91,-100,-100,-78,-75,-78,-95,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,254,694,11311587391725
-54,-51,-54,-53,-54,-58,-57,-57,-100,-72,-74,-71,-71,-71,-71,-72,-100,-73,-74,-76,-76,-78,-76,-83,-74,-75,-79,-79,-78,-74,-100,-77,-82,-78,-78,-100,-78,-83,-84,-86,-100,-85,-82,-70,-100,-100,-86,-84,-84,-100,-78,-100,-87,-81,-100,-82,-80,-80,-79,-100,-100,-85,-100,-100,-100,-100,-93,-80,-81,-82,-87,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,254,680,11366579707537
-54,-34,-54,-54,-54,-58,-57,-57,-70,-72,-72,-69,-70,-70,-70,-72,-100,-73,-77,-76,-76,-78,-77,-85,-74,-75,-79,-78,-78,-74,-100,-74,-82,-78,-78,-79,-78,-82,-82,-86,-100,-87,-81,-70,-100,-79,-86,-84,-84,-100,-78,-100,-87,-81,-85,-80,-80,-80,-79,-100,-91,-85,-100,-100,-77,-100,-93,-79,-78,-82,-87,-91,-91,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,254,680,11369847451130
-54,-31,-53,-53,-54,-56,-57,-57,-70,-72,-71,-69,-69,-70,-70,-73,-100,-73,-73,-77,-77,-100,-77,-100,-76,-74,-78,-78,-78,-74,-79,-74,-82,-77,-77,-79,-77,-83,-82,-85,-100,-85,-81,-100,-100,-79,-86,-87,-86,-100,-78,-100,-84,-81,-86,-80,-100,-100,-79,-100,-91,-100,-100,-78,-77,-100,-100,-79,-78,-100,-87,-91,-100,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,254,680,11373259697274
-54,-31,-53,-54,-54,-56,-57,-57,-70,-72,-74,-70,-70,-70,-70,-73,-100,-74,-71,-78,-78,-100,-77,-83,-76,-74,-78,-78,-78,-76,-79,-74,-82,-77,-77,-100,-77,-83,-82,-85,-100,-86,-100,-100,-77,-79,-85,-85,-85,-100,-79,-100,-83,-100,-86,-100,-80,-78,-78,-100,-100,-100,-100,-77,-100,-79,-100,-78,-79,-80,-87,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,254,680,11376621742429
