ea:9e:b4:53:24:54,b8:27:eb:9f:6b:77,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,80:8d:b7:55:35:12,80:8d:b7:55:35:03,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:00,38:17:c3:1f:01:82,b0:be:76:f8:30:5e,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:39:d1,80:8d:b7:55:39:c0,80:8d:b7:55:39:d0,80:8d:b7:55:25:e1,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:d2,38:17:c3:19:d7:62,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:61,38:17:c3:19:d7:71,38:17:c3:19:d7:70,80:8d:b7:55:25:f3,38:17:c3:19:d7:72,80:8d:b7:55:25:f1,00:4e:35:df:06:40,38:17:c3:1e:ff:01,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,38:17:c3:1e:ff:02,44:48:c1:a5:82:30,38:17:c3:1e:ff:00,44:48:c1:a5:82:22,44:48:c1:a5:82:32,44:48:c1:a5:82:31,38:17:c3:1e:ff:12,00:4e:35:df:06:52,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:1e:ff:11,20:a6:cd:50:24:a0,00:4e:35:df:06:42,38:17:c3:1e:ff:10,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:80,38:17:c3:1f:01:92,38:17:c3:1f:01:91,38:17:c3:1f:01:90,44:48:c1:a5:82:21,44:48:c1:a5:82:20,00:4e:35:df:06:41,60:32:b1:3e:1a:b8,80:8d:b7:55:3a:50,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,66:2a:2f:53:7c:99,38:17:c3:1f:01:81,80:8d:b7:55:25:e0,80:8d:b7:55:25:e2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b0,20:a6:cd:50:24:b2,38:17:c3:19:d7:60,80:8d:b7:55:25:e3,72:32:b1:3e:1a:b8,38:17:c3:19:45:b0,b4:5d:50:e1:92:23,38:17:c3:19:45:b1,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,72:32:b1:3e:1a:b7,00:4e:35:de:e1:12,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:19:45:b2,38:17:c3:19:55:50,68:ff:7b:e4:af:39,38:17:c3:1f:22:30,00:4e:35:de:e1:02,60:32:b1:3e:1a:b7,b4:5d:50:e1:92:31,38:17:c3:19:55:52,b4:5d:50:e1:92:33,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,00:4e:35:de:e1:10,00:4e:35:de:e1:11,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,38:17:c3:19:55:51,44:48:c1:91:95:b1,44:48:c1:91:95:b0,b4:5d:50:e1:92:20,00:4e:35:de:e1:01,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,38:17:c3:1f:08:50,38:17:c3:1f:08:41,38:17:c3:1f:08:40,00:4e:35:de:e1:00,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:52,00:4e:35:de:d7:50,38:17:c3:19:71:90,68:ff:7b:e4:af:38,38:17:c3:1f:22:31,38:17:c3:19:71:91,38:17:c3:1f:22:32,38:17:c3:19:71:80,38:17:c3:19:71:82,a8:bd:27:4c:bd:30,38:17:c3:1f:08:51,00:4e:35:df:0e:12,38:17:c3:1f:08:52,38:17:c3:19:71:92,00:4e:35:df:0e:10,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:31,38:17:c3:1e:fc:b0,00:4e:35:df:0e:11,00:4e:35:df:0e:02,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:4f:10,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1b:08:b0,38:17:c3:19:71:81,00:4e:35:de:d7:43,00:4e:35:de:d7:40,00:4e:35:de:d7:42,00:4e:35:de:d7:41,x,y,timestamp
-43,-48,-56,-57,-57,-70,-70,-71,-71,-71,-73,-73,-74,-74,-74,-77,-78,-78,-78,-79,-79,-79,-79,-80,-81,-82,-82,-83,-83,-83,-83,-83,-84,-84,-84,-84,-84,-85,-85,-86,-86,-86,-86,-87,-87,-87,-87,-87,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,686,1877436015637
-41,-39,-58,-57,-57,-72,-71,-72,-72,-72,-73,-73,-73,-74,-74,-81,-75,-79,-78,-75,-76,-81,-79,-84,-81,-83,-83,-79,-83,-80,-83,-83,-84,-84,-80,-80,-84,-83,-85,-82,-83,-84,-86,-87,-87,-87,-87,-87,-84,-88,-51,-52,-52,-73,-79,-79,-79,-83,-83,-85,-85,-86,-87,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,686,1880701682042
-42,-39,-58,-57,-58,-73,-69,-72,-72,-72,-73,-73,-73,-74,-74,-79,-75,-79,-76,-77,-78,-79,-100,-79,-100,-82,-83,-81,-82,-82,-84,-84,-85,-84,-82,-82,-85,-84,-85,-82,-84,-84,-85,-87,-86,-87,-86,-87,-84,-86,-51,-52,-52,-73,-78,-79,-79,-83,-82,-83,-86,-85,-87,-88,-89,-74,-77,-78,-89,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,686,1884104689645
-44,-45,-57,-57,-58,-70,-69,-71,-71,-70,-75,-73,-78,-72,-74,-79,-76,-79,-76,-76,-76,-79,-82,-80,-82,-82,-83,-81,-82,-82,-85,-84,-86,-86,-82,-82,-85,-85,-85,-82,-86,-86,-87,-87,-86,-88,-87,-100,-84,-86,-50,-51,-51,-100,-80,-80,-80,-100,-82,-83,-86,-85,-87,-88,-89,-74,-77,-78,-89,-89,-90,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,686,1887590639695
-42,-45,-57,-57,-58,-69,-71,-70,-69,-69,-75,-73,-79,-73,-74,-78,-77,-78,-76,-76,-76,-79,-82,-80,-82,-82,-83,-80,-82,-81,-85,-100,-83,-84,-80,-80,-100,-88,-100,-84,-88,-88,-86,-87,-100,-88,-86,-100,-87,-87,-51,-51,-51,-100,-81,-80,-80,-83,-83,-100,-86,-84,-100,-100,-100,-100,-76,-77,-100,-92,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,686,1891078110111
-46,-45,-61,-61,-60,-73,-70,-74,-72,-72,-74,-73,-76,-73,-73,-76,-77,-78,-75,-77,-78,-76,-83,-80,-84,-84,-82,-82,-83,-81,-85,-100,-84,-84,-82,-81,-100,-87,-100,-83,-87,-87,-86,-89,-88,-100,-86,-100,-87,-87,-51,-52,-52,-100,-79,-78,-78,-83,-83,-100,-100,-84,-100,-100,-100,-77,-76,-75,-100,-92,-100,-83,-80,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,686,1894374575422
-50,-31,-60,-61,-60,-69,-70,-69,-69,-69,-73,-74,-77,-100,-100,-75,-73,-76,-78,-73,-74,-77,-82,-81,-80,-80,-80,-75,-80,-75,-100,-100,-100,-100,-75,-75,-100,-80,-100,-79,-80,-81,-84,-100,-100,-100,-84,-100,-91,-84,-53,-55,-54,-100,-75,-75,-76,-79,-79,-100,-100,-100,-86,-85,-92,-74,-78,-78,-100,-100,-100,-81,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,662,1959999473678
-55,-43,-59,-59,-60,-69,-69,-69,-69,-69,-72,-74,-77,-73,-72,-75,-74,-75,-78,-74,-74,-74,-81,-78,-82,-80,-80,-76,-80,-75,-100,-100,-80,-79,-75,-74,-100,-81,-100,-79,-81,-81,-84,-100,-100,-100,-83,-100,-91,-84,-53,-55,-55,-73,-75,-75,-76,-79,-79,-100,-100,-80,-86,-85,-89,-74,-78,-78,-100,-100,-100,-81,-100,-100,-90,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,662,1963333041958
-56,-43,-60,-59,-60,-69,-69,-69,-69,-69,-72,-73,-77,-73,-72,-75,-73,-75,-100,-73,-73,-74,-80,-83,-81,-79,-79,-75,-80,-75,-100,-100,-78,-79,-75,-75,-100,-83,-100,-100,-83,-82,-83,-100,-100,-100,-83,-100,-89,-85,-53,-54,-54,-73,-75,-75,-75,-100,-79,-100,-100,-79,-86,-100,-89,-74,-100,-100,-100,-100,-100,-82,-100,-100,-100,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,662,1966772684613
-49,-51,-60,-60,-60,-69,-69,-69,-70,-69,-72,-73,-78,-72,-72,-75,-73,-75,-78,-73,-73,-74,-80,-83,-81,-79,-79,-75,-80,-75,-100,-100,-78,-79,-74,-77,-100,-82,-100,-79,-83,-82,-83,-87,-87,-83,-83,-100,-89,-85,-53,-54,-54,-74,-76,-75,-75,-80,-79,-100,-100,-79,-100,-100,-100,-73,-78,-100,-100,-100,-100,-82,-100,-100,-87,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,662,1970121953153
-48,-49,-60,-60,-60,-70,-68,-69,-70,-69,-72,-73,-78,-72,-72,-76,-73,-76,-78,-73,-73,-75,-82,-83,-100,-80,-80,-75,-80,-75,-100,-100,-80,-79,-74,-75,-100,-82,-100,-79,-83,-83,-83,-87,-87,-83,-83,-100,-100,-83,-55,-55,-55,-73,-75,-75,-75,-80,-79,-100,-100,-80,-100,-100,-87,-73,-78,-100,-100,-100,-100,-82,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,662,1973523682215
-48,-36,-60,-60,-60,-69,-70,-69,-69,-69,-72,-73,-71,-72,-74,-76,-100,-76,-100,-73,-74,-75,-82,-80,-100,-80,-80,-100,-80,-75,-100,-100,-80,-80,-76,-75,-100,-83,-100,-79,-83,-83,-83,-100,-100,-100,-84,-87,-100,-83,-55,-55,-55,-72,-75,-75,-75,-79,-80,-100,-100,-81,-84,-85,-88,-100,-100,-100,-100,-100,-100,-82,-100,-100,-87,-100,-86,-81,-81,-83,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,662,1976874681276
-60,-45,-60,-59,-60,-69,-72,-70,-68,-69,-70,-100,-100,-71,-71,-75,-73,-76,-100,-74,-73,-76,-81,-81,-82,-79,-77,-77,-79,-75,-100,-100,-100,-100,-76,-74,-100,-80,-100,-100,-80,-80,-86,-89,-89,-100,-86,-100,-89,-86,-100,-100,-100,-100,-79,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-75,-73,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,639,2038378767086
