ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:39:c0,80:8d:b7:55:39:c2,80:8d:b7:55:25:f0,80:8d:b7:55:39:c1,80:8d:b7:55:25:f1,80:8d:b7:55:39:d2,80:8d:b7:55:25:f2,80:8d:b7:55:39:d1,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:25:f3,80:8d:b7:55:39:d0,38:17:c3:1f:01:91,38:17:c3:1f:01:92,44:48:c1:a5:82:22,38:17:c3:1f:01:90,38:17:c3:19:d7:72,38:17:c3:19:d7:71,44:48:c1:a5:82:21,44:48:c1:a5:82:20,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:70,b0:be:76:f8:30:5e,44:48:c1:a5:82:31,44:48:c1:a5:82:32,44:48:c1:a5:82:30,80:8d:b7:55:3a:51,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,38:17:c3:1e:ff:01,80:8d:b7:55:3a:52,20:a6:cd:50:24:a2,38:17:c3:1e:ff:11,38:17:c3:1e:ff:00,80:8d:b7:55:3a:50,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,38:17:c3:19:45:b0,00:4e:35:df:06:52,38:17:c3:1f:01:82,38:17:c3:1f:01:81,80:8d:b7:55:35:03,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:62,66:2a:2f:53:7c:99,80:8d:b7:55:3a:42,80:8d:b7:55:3a:40,80:8d:b7:55:3a:41,b4:5d:50:e1:92:23,80:8d:b7:55:25:e3,80:8d:b7:55:25:e2,60:32:b1:3e:1a:b8,20:a6:cd:50:24:b2,20:a6:cd:50:24:b0,38:17:c3:19:45:b1,00:4e:35:df:06:51,20:a6:cd:50:24:b1,00:4e:35:df:06:50,38:17:c3:1f:01:80,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,00:4e:35:df:06:42,38:17:c3:19:55:50,00:4e:35:df:06:41,72:32:b1:3e:1a:b7,00:4e:35:df:06:40,00:4e:35:de:e1:12,60:32:b1:3e:1a:b7,38:17:c3:19:71:90,38:17:c3:1f:22:30,38:17:c3:19:55:51,00:4e:35:de:e1:10,68:ff:7b:e4:af:38,38:17:c3:19:55:52,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,38:17:c3:19:45:a0,b4:5d:50:e1:92:33,00:4e:35:de:e1:11,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:22,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,00:4e:35:de:e1:02,00:4e:35:de:e1:01,00:4e:35:de:e1:00,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:19:71:81,38:17:c3:19:71:80,00:4e:35:de:d7:53,00:4e:35:de:d7:52,00:4e:35:de:d7:51,00:4e:35:de:d7:50,68:ff:7b:e4:af:39,38:17:c3:1f:08:50,00:4e:35:de:d7:42,00:4e:35:de:d7:43,00:4e:35:de:d7:40,a8:bd:27:4c:bd:30,38:17:c3:19:71:82,38:17:c3:19:71:92,38:17:c3:19:71:91,a8:bd:27:4c:bd:22,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1e:fc:b0,38:17:c3:1f:22:31,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:21,00:4e:35:df:0e:12,38:17:c3:1f:22:32,a8:bd:27:4c:bd:32,00:4e:35:df:0e:10,00:4e:35:df:0e:11,a8:bd:27:4c:bd:31,00:4e:35:df:0e:02,38:17:c3:1e:fc:b1,00:4e:35:df:0e:01,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:4f:10,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,00:4e:35:de:d7:41,x,y,timestamp
-45,-52,-53,-53,-59,-59,-59,-67,-67,-68,-69,-73,-73,-74,-74,-77,-77,-77,-77,-77,-77,-77,-78,-78,-78,-79,-79,-80,-80,-80,-80,-80,-81,-81,-83,-84,-84,-85,-86,-86,-86,-86,-87,-87,-87,-87,-88,-88,-89,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,736,612934657473
-51,-52,-52,-52,-60,-62,-60,-70,-71,-71,-70,-73,-73,-78,-73,-76,-78,-77,-77,-76,-76,-77,-77,-78,-80,-79,-79,-80,-82,-82,-80,-80,-80,-81,-85,-83,-83,-83,-86,-88,-89,-86,-87,-87,-88,-87,-88,-88,-89,-90,-91,-72,-73,-74,-79,-80,-81,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,736,616204326274
-49,-56,-56,-56,-58,-59,-58,-69,-70,-70,-68,-77,-75,-76,-76,-75,-78,-76,-77,-76,-76,-100,-77,-78,-77,-77,-79,-77,-81,-82,-79,-79,-82,-83,-85,-83,-83,-83,-86,-87,-88,-100,-86,-100,-88,-100,-88,-100,-100,-100,-91,-72,-71,-74,-80,-80,-80,-91,-83,-83,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,736,619543919241
-48,-53,-52,-52,-59,-59,-59,-69,-70,-70,-69,-73,-74,-76,-76,-76,-79,-77,-79,-76,-76,-76,-77,-80,-79,-79,-80,-79,-81,-81,-79,-79,-87,-82,-85,-83,-83,-83,-86,-87,-88,-100,-86,-100,-88,-100,-87,-100,-100,-89,-89,-72,-71,-100,-80,-80,-80,-100,-79,-82,-81,-90,-75,-76,-87,-88,-88,-88,-89,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,736,622847583302
-48,-55,-54,-54,-59,-59,-60,-69,-70,-70,-70,-73,-73,-78,-100,-79,-81,-77,-81,-75,-76,-76,-77,-82,-77,-77,-78,-77,-81,-81,-80,-80,-80,-81,-85,-83,-82,-83,-86,-88,-88,-100,-84,-100,-88,-100,-84,-100,-100,-89,-89,-71,-71,-74,-80,-80,-80,-100,-80,-82,-81,-100,-73,-75,-87,-88,-92,-88,-89,-89,-90,-70,-74,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,736,626174644239
-44,-55,-54,-54,-59,-59,-59,-69,-69,-69,-70,-73,-73,-78,-100,-78,-79,-77,-79,-75,-76,-100,-77,-78,-75,-76,-78,-76,-81,-81,-80,-80,-79,-81,-80,-83,-85,-85,-86,-88,-88,-100,-86,-100,-88,-100,-86,-100,-100,-100,-89,-71,-71,-73,-100,-100,-80,-100,-80,-100,-81,-100,-73,-75,-100,-100,-90,-100,-100,-100,-100,-70,-74,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,736,629542049446
-49,-51,-51,-51,-62,-62,-62,-68,-67,-67,-68,-100,-69,-81,-69,-81,-77,-79,-76,-71,-72,-71,-81,-78,-79,-77,-82,-77,-81,-80,-100,-82,-81,-81,-74,-84,-84,-84,-83,-86,-86,-100,-82,-100,-88,-100,-83,-81,-100,-88,-89,-71,-100,-71,-100,-82,-83,-90,-100,-100,-100,-91,-75,-100,-100,-100,-91,-89,-100,-90,-100,-72,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,714,674063999429
-48,-52,-51,-52,-62,-62,-62,-67,-67,-67,-67,-74,-73,-80,-73,-81,-77,-80,-76,-70,-72,-71,-81,-77,-77,-77,-82,-77,-80,-80,-81,-82,-79,-81,-76,-84,-83,-84,-83,-85,-85,-100,-82,-82,-86,-100,-83,-81,-100,-88,-89,-71,-72,-71,-81,-82,-81,-90,-83,-82,-82,-91,-72,-100,-100,-86,-88,-89,-100,-86,-100,-72,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,714,677267734636
-49,-50,-51,-51,-62,-62,-62,-67,-67,-67,-67,-73,-73,-80,-73,-79,-77,-80,-76,-70,-70,-71,-81,-77,-78,-78,-82,-78,-77,-77,-81,-100,-85,-80,-76,-84,-84,-85,-83,-86,-85,-100,-82,-82,-86,-100,-84,-100,-100,-100,-100,-72,-72,-100,-81,-100,-81,-90,-83,-82,-82,-100,-72,-74,-88,-86,-89,-100,-100,-86,-86,-71,-100,-100,-100,-84,-87,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,714,680652746197
-51,-50,-50,-50,-61,-61,-62,-67,-67,-67,-67,-72,-73,-80,-72,-81,-77,-81,-77,-71,-70,-71,-82,-79,-77,-78,-100,-78,-79,-77,-100,-100,-79,-78,-76,-84,-87,-85,-83,-86,-85,-100,-83,-82,-85,-100,-84,-84,-100,-100,-89,-72,-73,-69,-84,-83,-84,-90,-100,-100,-100,-100,-100,-74,-88,-100,-90,-100,-89,-100,-88,-72,-100,-100,-100,-84,-87,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,257,714,683996478019
