ea:9e:b4:53:24:54,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:10,80:8d:b7:55:35:11,b0:be:76:f8:30:5e,80:8d:b7:55:39:c2,38:17:c3:1f:01:82,80:8d:b7:55:39:c1,38:17:c3:1f:01:80,80:8d:b7:55:39:c0,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:39:d0,80:8d:b7:55:35:03,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:3a:50,80:8d:b7:55:25:f1,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,38:17:c3:1f:01:90,38:17:c3:1f:01:92,38:17:c3:1f:01:91,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:d7:60,38:17:c3:19:d7:72,38:17:c3:19:d7:71,38:17:c3:19:d7:70,44:48:c1:a5:82:30,44:48:c1:a5:82:32,38:17:c3:1e:ff:01,44:48:c1:a5:82:31,80:8d:b7:55:3a:42,38:17:c3:1e:ff:02,38:17:c3:1e:ff:00,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,20:a6:cd:50:24:b0,38:17:c3:19:55:51,b4:5d:50:e1:92:20,38:17:c3:1e:ff:10,38:17:c3:19:55:50,38:17:c3:1f:01:81,ac:e2:d3:c4:08:e6,80:8d:b7:55:3a:40,44:48:c1:a5:82:20,20:a6:cd:50:24:a0,00:4e:35:df:06:42,00:4e:35:df:06:41,00:4e:35:df:06:40,00:4e:35:df:06:52,00:4e:35:df:06:50,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,60:32:b1:3e:1a:b7,80:8d:b7:55:3a:41,44:48:c1:a5:82:22,72:32:b1:3e:1a:b7,80:8d:b7:55:25:e3,44:48:c1:a5:82:21,00:4e:35:de:e1:12,80:8d:b7:55:25:e2,60:32:b1:3e:1a:b8,00:4e:35:df:06:51,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,b4:5d:50:e1:92:23,38:17:c3:1f:09:90,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,38:17:c3:1f:22:30,38:17:c3:19:45:b2,72:32:b1:3e:1a:b8,38:17:c3:19:45:b0,38:17:c3:19:45:b1,66:2a:2f:53:7c:99,38:17:c3:19:45:a2,38:17:c3:19:45:a1,68:ff:7b:e4:af:39,38:17:c3:1f:22:32,20:a6:cd:42:0b:e3,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,38:17:c3:19:55:52,38:17:c3:19:71:90,b4:5d:50:e1:92:33,b4:5d:50:e1:92:31,00:4e:35:de:e1:11,00:4e:35:de:e1:10,00:4e:35:de:e1:01,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:02,44:48:c1:91:95:b0,38:17:c3:1f:08:40,38:17:c3:1f:08:42,38:17:c3:19:55:40,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:1f:08:50,00:4e:35:de:d7:52,00:4e:35:de:e1:00,38:17:c3:1f:08:41,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,68:ff:7b:e4:af:38,38:17:c3:1f:08:52,38:17:c3:1f:22:31,38:17:c3:1f:08:51,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:92,00:4e:35:de:d7:41,00:4e:35:de:d7:42,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:df:0e:12,00:4e:35:df:0e:10,38:17:c3:1f:22:21,00:4e:35:df:0e:00,38:17:c3:1e:fc:a0,00:4e:35:df:0e:11,00:4e:35:df:0e:01,38:17:c3:1e:fc:b0,00:4e:35:df:0e:02,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:a0,38:17:c3:24:58:b0,38:17:c3:24:4f:10,38:17:c3:24:58:a1,38:17:c3:1b:08:b0,00:4e:35:de:d7:43,00:4e:35:de:d7:40,x,y,timestamp
-51,-52,-52,-53,-55,-56,-56,-69,-70,-70,-71,-72,-73,-74,-74,-74,-75,-76,-76,-76,-76,-76,-77,-77,-79,-79,-79,-80,-80,-81,-81,-81,-81,-81,-81,-81,-81,-82,-82,-82,-83,-83,-83,-84,-84,-84,-84,-86,-87,-88,-89,-89,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,669,2677819375904
-49,-54,-54,-55,-55,-56,-56,-72,-71,-71,-71,-78,-72,-74,-72,-74,-71,-76,-76,-76,-74,-76,-77,-77,-81,-82,-82,-79,-79,-80,-78,-79,-78,-79,-80,-81,-80,-82,-82,-82,-83,-83,-83,-84,-84,-84,-84,-88,-87,-87,-89,-89,-88,-90,-73,-79,-80,-82,-84,-85,-85,-85,-87,-88,-88,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,669,2681080928351
-50,-54,-54,-53,-54,-55,-56,-69,-70,-70,-70,-75,-72,-100,-72,-100,-71,-77,-76,-76,-77,-78,-77,-100,-81,-81,-81,-76,-76,-77,-78,-79,-78,-79,-79,-80,-79,-81,-81,-81,-85,-87,-100,-85,-79,-83,-84,-88,-87,-87,-100,-100,-88,-100,-73,-80,-79,-82,-84,-85,-85,-85,-87,-88,-88,-89,-91,-79,-82,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,669,2684474094443
-52,-55,-54,-54,-56,-56,-56,-69,-70,-70,-70,-75,-73,-73,-72,-100,-100,-77,-80,-76,-77,-78,-77,-100,-81,-81,-81,-78,-78,-79,-78,-79,-80,-80,-79,-80,-79,-81,-80,-81,-85,-87,-100,-85,-80,-83,-84,-89,-87,-100,-100,-100,-90,-100,-100,-79,-79,-83,-100,-86,-87,-100,-91,-100,-88,-89,-100,-81,-82,-90,-75,-81,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,669,2687834946994
-49,-55,-54,-54,-55,-56,-56,-70,-69,-69,-70,-75,-73,-73,-76,-100,-73,-76,-76,-76,-100,-76,-76,-76,-81,-81,-81,-79,-79,-79,-79,-79,-80,-80,-80,-80,-79,-81,-80,-80,-85,-86,-100,-86,-80,-100,-100,-87,-87,-88,-100,-100,-88,-100,-100,-100,-81,-83,-85,-87,-87,-87,-90,-100,-89,-89,-100,-81,-82,-100,-75,-81,-91,-78,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,669,2691180561576
-49,-55,-54,-54,-55,-56,-56,-70,-69,-69,-69,-75,-73,-100,-76,-100,-71,-84,-76,-76,-78,-76,-77,-76,-81,-81,-81,-79,-79,-78,-79,-81,-81,-82,-80,-80,-79,-81,-80,-80,-85,-85,-100,-86,-80,-100,-100,-88,-87,-88,-100,-100,-88,-100,-100,-100,-80,-100,-85,-87,-86,-87,-87,-86,-89,-89,-89,-81,-100,-100,-100,-100,-100,-78,-90,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,669,2694565528450
-53,-54,-53,-52,-63,-63,-63,-66,-68,-67,-67,-70,-78,-71,-78,-100,-78,-76,-77,-77,-68,-66,-66,-67,-80,-79,-100,-74,-73,-75,-74,-83,-84,-82,-80,-81,-81,-82,-83,-82,-84,-83,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-70,-100,-79,-100,-81,-100,-100,-100,-86,-85,-86,-86,-100,-100,-100,-90,-100,-100,-100,-100,-100,-85,-80,-81,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,652,2765091237277
-65,-53,-53,-52,-63,-64,-63,-66,-68,-67,-67,-70,-77,-71,-78,-70,-77,-76,-76,-76,-67,-66,-67,-67,-79,-78,-79,-74,-74,-74,-74,-82,-82,-82,-79,-78,-81,-81,-80,-80,-84,-83,-100,-84,-79,-81,-82,-100,-100,-100,-100,-100,-85,-100,-70,-100,-80,-80,-81,-86,-100,-100,-85,-85,-86,-84,-100,-79,-80,-90,-78,-81,-100,-100,-100,-87,-80,-81,-87,-91,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,652,2768351642015
-53,-53,-53,-53,-64,-64,-63,-67,-68,-67,-67,-70,-78,-70,-78,-69,-78,-76,-76,-76,-67,-66,-67,-67,-80,-79,-81,-77,-76,-77,-75,-82,-82,-82,-79,-79,-79,-79,-80,-79,-84,-83,-82,-84,-79,-81,-82,-100,-100,-100,-100,-100,-85,-100,-70,-100,-81,-80,-81,-87,-87,-87,-86,-86,-85,-85,-100,-80,-80,-90,-74,-81,-100,-76,-100,-86,-80,-79,-87,-100,-77,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,652,2771642441181
-61,-53,-53,-52,-63,-63,-63,-69,-69,-69,-69,-74,-72,-70,-73,-69,-72,-74,-74,-75,-74,-66,-72,-71,-80,-79,-81,-79,-80,-79,-79,-82,-82,-82,-79,-79,-79,-75,-76,-79,-86,-83,-82,-84,-79,-100,-100,-100,-100,-100,-100,-100,-85,-100,-70,-76,-78,-80,-100,-87,-87,-87,-85,-86,-87,-86,-100,-77,-100,-100,-74,-81,-100,-76,-87,-86,-80,-81,-100,-100,-78,-76,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,652,2775011659982
