60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,72:32:b1:3e:1a:b8,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:00:a2,38:17:c3:1f:00:a0,38:17:c3:1f:00:b0,20:a6:cd:42:0a:c3,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:14:02,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,20:a6:cd:42:0a:c2,9c:d6:43:60:92:e0,44:48:c1:91:d0:02,44:48:c1:91:d0:00,44:48:c1:91:d0:14,44:48:c1:91:d0:01,b4:5d:50:e1:96:50,38:17:c3:19:45:a2,38:17:c3:19:45:a0,44:48:c1:91:d0:11,44:48:c1:91:d0:10,38:17:c3:19:45:a1,44:48:c1:91:d0:12,38:17:c3:1f:09:83,38:17:c3:1f:14:11,38:17:c3:1f:09:80,38:17:c3:1f:09:81,38:17:c3:1f:09:82,20:a6:cd:42:0a:d3,38:17:c3:1f:14:10,20:a6:cd:42:0a:d2,20:a6:cd:42:0a:d1,38:17:c3:1f:14:12,20:a6:cd:42:0a:d0,38:17:c3:24:47:51,38:17:c3:24:47:52,a8:bd:27:4c:aa:93,38:17:c3:24:47:50,38:17:c3:1f:09:92,38:17:c3:1f:09:91,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:83,38:17:c3:1f:19:d1,38:17:c3:1f:09:93,38:17:c3:1f:09:90,44:48:c1:91:95:b3,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,20:a6:cd:42:13:f2,20:a6:cd:42:13:f0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b0,b4:5d:50:e1:96:43,b4:5d:50:e1:96:40,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,44:48:c1:91:d0:04,44:48:c1:91:95:a3,a8:bd:27:4c:aa:92,44:48:c1:91:aa:32,a8:bd:27:4c:aa:91,20:a6:cd:42:13:f1,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:19:45:b0,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,44:48:c1:91:95:a1,44:48:c1:91:95:a2,44:48:c1:91:95:a0,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:82,44:48:c1:91:aa:30,44:48:c1:91:aa:31,ac:e2:d3:c4:08:e6,38:17:c3:1f:19:f0,38:17:c3:19:d7:70,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e1,66:2a:2f:53:7c:99,20:a6:cd:42:0b:e3,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:25:e3,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f1,38:17:c3:19:d7:61,38:17:c3:19:d7:60,38:17:c3:19:d7:62,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,80:8d:b7:55:25:e1,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:35:00,80:8d:b7:55:25:e2,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,80:8d:b7:55:25:e0,80:8d:b7:55:3a:42,80:8d:b7:55:35:10,b0:be:76:f8:30:5e,80:8d:b7:55:35:13,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:35:12,80:8d:b7:55:35:11,ea:9e:b4:53:24:54,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:3a:51,80:8d:b7:55:39:c0,38:17:c3:19:71:92,38:17:c3:19:71:91,38:17:c3:19:71:90,38:17:c3:1e:ff:10,38:17:c3:19:36:30,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:36:31,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,80:8d:b7:55:29:d0,68:ff:7b:e4:af:39,80:8d:b7:55:39:c1,80:8d:b7:55:29:d2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a0,80:8d:b7:55:39:c2,80:8d:b7:55:29:c0,80:8d:b7:55:29:d1,68:ff:7b:e4:af:38,80:8d:b7:55:39:d0,38:17:c3:1f:22:30,80:8d:b7:55:29:c1,20:a6:cd:50:24:b0,20:a6:cd:50:24:b2,80:8d:b7:55:29:c2,20:a6:cd:50:24:b1,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:0e:02,38:17:c3:1f:22:21,38:17:c3:1f:0e:00,38:17:c3:1f:22:22,38:17:c3:1f:0e:01,38:17:c3:1f:22:20,x,y,timestamp
-63,-63,-66,-66,-66,-67,-67,-67,-67,-68,-74,-75,-75,-75,-75,-75,-76,-77,-77,-77,-78,-78,-79,-79,-79,-80,-80,-80,-81,-81,-83,-83,-83,-83,-84,-84,-84,-84,-84,-85,-85,-85,-85,-86,-86,-86,-87,-87,-87,-87,-87,-88,-88,-88,-88,-88,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,88,795,374808219387
-63,-63,-66,-69,-66,-67,-68,-68,-68,-68,-76,-75,-75,-74,-76,-75,-76,-77,-76,-77,-79,-78,-78,-79,-79,-79,-80,-79,-78,-83,-83,-82,-83,-82,-84,-84,-84,-84,-83,-83,-85,-85,-86,-85,-87,-87,-87,-88,-87,-87,-86,-88,-87,-88,-88,-88,-87,-89,-88,-74,-76,-78,-78,-79,-81,-84,-86,-87,-87,-88,-88,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,88,795,378172691729
-63,-63,-64,-69,-66,-67,-68,-69,-68,-68,-73,-75,-75,-74,-76,-76,-100,-78,-77,-78,-78,-78,-78,-79,-80,-76,-77,-79,-76,-83,-85,-83,-83,-83,-84,-86,-83,-84,-86,-83,-84,-84,-86,-84,-87,-86,-88,-87,-87,-86,-86,-87,-89,-88,-88,-88,-87,-86,-87,-74,-76,-77,-78,-79,-80,-81,-86,-87,-87,-88,-88,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,88,795,381676890113
-63,-63,-66,-68,-67,-67,-67,-68,-68,-68,-73,-77,-76,-77,-76,-76,-80,-78,-78,-78,-78,-78,-78,-100,-80,-76,-77,-100,-76,-84,-86,-83,-84,-83,-84,-85,-85,-85,-85,-84,-84,-84,-86,-84,-87,-86,-88,-87,-87,-86,-86,-90,-87,-88,-100,-88,-87,-87,-87,-73,-76,-77,-78,-78,-80,-81,-100,-100,-100,-100,-89,-88,-89,-79,-79,-86,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,88,795,385075975841
-63,-100,-66,-68,-67,-67,-65,-68,-68,-66,-76,-77,-76,-76,-75,-75,-78,-80,-78,-100,-78,-78,-77,-80,-82,-78,-77,-81,-78,-84,-86,-100,-84,-83,-85,-85,-85,-85,-84,-86,-86,-85,-86,-84,-100,-100,-87,-89,-100,-100,-100,-89,-87,-88,-87,-100,-90,-88,-89,-73,-75,-77,-77,-77,-100,-81,-86,-100,-100,-86,-89,-100,-91,-77,-78,-86,-85,-88,-83,-84,-85,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,88,795,388542791829
-63,-100,-66,-67,-65,-65,-65,-67,-67,-66,-72,-77,-76,-76,-76,-75,-75,-77,-100,-81,-82,-100,-77,-80,-82,-82,-83,-81,-82,-85,-85,-85,-100,-86,-85,-85,-87,-87,-85,-87,-85,-85,-84,-84,-86,-86,-86,-86,-88,-86,-100,-89,-87,-88,-87,-100,-89,-88,-89,-77,-76,-77,-77,-77,-100,-81,-84,-100,-84,-86,-88,-88,-89,-77,-77,-100,-85,-100,-83,-84,-85,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,88,795,392027274484
-63,-100,-61,-64,-56,-66,-65,-63,-63,-66,-76,-79,-79,-79,-75,-76,-77,-73,-77,-78,-78,-78,-85,-100,-84,-79,-78,-100,-77,-82,-85,-100,-82,-100,-84,-84,-85,-83,-83,-84,-88,-87,-100,-86,-85,-85,-100,-87,-88,-85,-86,-85,-100,-91,-100,-100,-86,-87,-85,-100,-100,-85,-86,-85,-73,-100,-100,-100,-100,-100,-89,-88,-89,-78,-77,-100,-100,-100,-80,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,88,775,486133606323
-63,-100,-64,-63,-58,-66,-65,-63,-64,-66,-79,-79,-79,-79,-75,-74,-77,-75,-77,-78,-80,-78,-85,-100,-84,-79,-78,-100,-80,-82,-85,-86,-82,-84,-82,-87,-83,-82,-85,-83,-88,-87,-100,-86,-85,-85,-93,-84,-88,-85,-87,-87,-100,-90,-100,-100,-87,-87,-87,-100,-75,-85,-85,-84,-72,-83,-100,-100,-100,-100,-87,-87,-88,-79,-78,-100,-100,-100,-80,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,88,775,489343709708
-63,-63,-61,-63,-58,-65,-65,-63,-63,-66,-77,-79,-86,-78,-78,-77,-100,-75,-81,-80,-80,-81,-85,-100,-100,-79,-78,-100,-79,-82,-85,-86,-84,-83,-83,-86,-83,-83,-85,-84,-88,-88,-93,-86,-85,-85,-91,-83,-100,-86,-87,-87,-100,-89,-100,-91,-87,-87,-87,-100,-78,-85,-84,-84,-76,-81,-100,-100,-100,-100,-88,-87,-88,-78,-78,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,88,775,492673314967
-64,-63,-58,-64,-100,-65,-64,-63,-63,-66,-77,-79,-86,-78,-77,-77,-78,-75,-81,-80,-79,-80,-85,-86,-100,-78,-79,-87,-79,-83,-84,-100,-84,-83,-83,-85,-83,-83,-85,-83,-86,-86,-93,-86,-85,-85,-91,-83,-100,-85,-85,-87,-100,-89,-100,-91,-88,-87,-89,-80,-78,-84,-84,-84,-76,-81,-100,-100,-100,-100,-88,-88,-88,-78,-78,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,88,775,496091309497
