60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:00:b0,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,38:17:c3:1f:00:a0,20:a6:cd:42:0a:c2,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c1,b4:5d:50:e1:96:42,44:48:c1:91:d0:04,b4:5d:50:e1:96:41,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c3,38:17:c3:1f:14:02,b4:5d:50:e1:96:40,38:17:c3:1f:14:01,38:17:c3:1f:14:00,38:17:c3:19:45:a1,b4:5d:50:e1:96:52,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d1,9c:d6:43:60:92:e0,38:17:c3:19:45:a2,44:48:c1:91:d0:11,44:48:c1:91:d0:14,44:48:c1:91:d0:10,b4:5d:50:e1:96:53,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d2,38:17:c3:24:47:50,38:17:c3:1f:09:83,38:17:c3:19:45:a0,44:48:c1:91:d0:12,38:17:c3:24:47:51,38:17:c3:1f:14:12,38:17:c3:24:47:52,a8:bd:27:4c:aa:83,38:17:c3:1f:09:82,38:17:c3:1f:09:80,38:17:c3:1f:14:11,38:17:c3:1f:14:10,44:48:c1:91:95:b1,38:17:c3:1f:09:93,44:48:c1:91:95:b0,44:48:c1:91:95:b2,38:17:c3:1f:09:90,44:48:c1:91:95:b3,38:17:c3:1f:09:92,38:17:c3:1f:09:91,a8:bd:27:4c:aa:90,38:17:c3:19:45:b2,38:17:c3:19:45:b1,a8:bd:27:4c:aa:93,38:17:c3:19:45:b0,20:a6:cd:42:13:f0,a8:bd:27:4c:aa:91,ac:e2:d3:c4:08:e6,44:48:c1:91:d0:01,44:48:c1:91:95:a3,44:48:c1:91:d0:02,a8:bd:27:4c:aa:92,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,38:17:c3:1f:19:d0,20:a6:cd:42:13:f2,72:32:b1:3e:1a:b8,72:32:b1:3e:1a:b7,44:48:c1:91:d0:00,b6:e6:2d:69:d5:58,44:48:c1:91:95:a0,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:81,44:48:c1:91:95:a2,38:17:c3:1f:09:81,44:48:c1:91:95:a1,a8:bd:27:4c:aa:80,38:17:c3:1f:19:f0,38:17:c3:1f:19:c2,44:48:c1:91:aa:30,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e2,38:17:c3:19:d7:70,20:a6:cd:42:0b:e1,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:19:d7:60,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,38:17:c3:19:d7:62,38:17:c3:19:d7:61,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,38:17:c3:19:36:30,80:8d:b7:55:25:e3,66:2a:2f:53:7c:99,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,80:8d:b7:55:25:e2,38:17:c3:1e:ff:10,80:8d:b7:55:3a:40,80:8d:b7:55:35:03,b0:be:76:f8:30:5e,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:3a:51,80:8d:b7:55:3a:50,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:3a:52,80:8d:b7:55:35:12,80:8d:b7:55:35:11,ea:9e:b4:53:24:54,80:8d:b7:55:35:01,38:17:c3:19:71:90,80:8d:b7:55:35:02,80:8d:b7:55:35:00,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:1e:ff:02,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,38:17:c3:19:71:91,80:8d:b7:55:29:d0,80:8d:b7:55:39:c1,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,20:a6:cd:50:24:a0,38:17:c3:1e:ff:00,68:ff:7b:e4:af:39,80:8d:b7:55:39:d0,80:8d:b7:55:29:c0,38:17:c3:1e:ff:01,00:4e:35:df:06:50,00:4e:35:df:06:52,38:17:c3:1f:22:30,00:4e:35:df:06:41,00:4e:35:df:06:40,00:4e:35:df:06:42,20:a6:cd:50:24:b2,20:a6:cd:50:24:b0,20:a6:cd:50:24:b1,68:ff:7b:e4:af:38,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:4d:00,80:8d:b7:55:4d:01,38:17:c3:1f:22:21,38:17:c3:1f:22:20,38:17:c3:1f:22:22,x,y,timestamp
-60,-67,-68,-69,-69,-70,-70,-70,-73,-74,-74,-75,-76,-76,-77,-77,-77,-77,-78,-78,-80,-81,-81,-81,-81,-81,-81,-81,-82,-82,-82,-82,-82,-82,-82,-82,-82,-83,-83,-84,-84,-84,-84,-84,-85,-86,-86,-86,-86,-86,-87,-88,-88,-88,-89,-89,-89,-90,-90,-90,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,74,792,305228709570
-60,-67,-68,-68,-68,-72,-73,-73,-74,-73,-79,-75,-76,-75,-77,-74,-75,-77,-76,-77,-80,-81,-81,-81,-83,-83,-82,-81,-80,-80,-80,-82,-83,-82,-83,-79,-82,-80,-83,-86,-83,-83,-84,-84,-86,-86,-84,-86,-86,-85,-87,-84,-88,-87,-88,-89,-89,-89,-90,-88,-88,-100,-79,-80,-81,-87,-88,-88,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,74,792,308518972850
-56,-67,-70,-72,-71,-72,-73,-73,-74,-73,-75,-77,-76,-75,-83,-76,-77,-100,-76,-78,-100,-81,-81,-81,-86,-84,-83,-100,-80,-80,-80,-82,-84,-85,-100,-81,-100,-80,-100,-86,-100,-83,-86,-100,-86,-86,-84,-89,-86,-85,-89,-85,-88,-87,-88,-87,-87,-89,-85,-88,-88,-100,-81,-81,-81,-87,-88,-88,-88,-89,-62,-68,-81,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,74,792,311992670088
-61,-68,-72,-73,-71,-71,-72,-73,-75,-74,-75,-77,-78,-75,-81,-73,-77,-76,-78,-78,-100,-81,-82,-81,-83,-84,-83,-100,-80,-79,-80,-82,-84,-83,-100,-80,-100,-80,-100,-84,-100,-84,-84,-100,-85,-86,-86,-90,-86,-83,-89,-85,-100,-100,-100,-87,-87,-100,-87,-100,-100,-100,-80,-81,-81,-100,-88,-88,-88,-100,-64,-68,-81,-94,-84,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,74,792,314069191754
-60,-68,-72,-73,-71,-71,-72,-72,-75,-74,-75,-73,-66,-75,-81,-73,-78,-74,-78,-78,-100,-81,-81,-81,-84,-84,-83,-100,-80,-79,-80,-81,-84,-83,-100,-81,-100,-80,-100,-85,-100,-83,-86,-84,-86,-85,-85,-89,-85,-84,-89,-85,-91,-88,-100,-88,-88,-100,-87,-100,-100,-100,-81,-100,-81,-100,-85,-87,-87,-100,-64,-69,-81,-100,-84,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,74,792,316133124097
-63,-67,-72,-73,-73,-73,-73,-74,-76,-76,-76,-73,-66,-75,-100,-74,-78,-74,-78,-78,-100,-82,-81,-82,-84,-84,-84,-100,-80,-79,-80,-81,-84,-85,-100,-81,-100,-80,-100,-84,-100,-84,-85,-84,-84,-85,-85,-89,-86,-85,-87,-85,-88,-86,-88,-87,-88,-88,-100,-100,-88,-100,-81,-82,-81,-89,-85,-87,-86,-100,-100,-68,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,74,792,318164644252
-64,-71,-63,-63,-63,-100,-68,-68,-81,-100,-100,-74,-76,-75,-78,-100,-100,-76,-77,-100,-100,-83,-82,-82,-80,-80,-76,-100,-80,-81,-81,-83,-80,-80,-100,-81,-100,-82,-100,-82,-100,-100,-83,-83,-82,-82,-100,-86,-100,-91,-85,-90,-86,-84,-90,-100,-100,-88,-92,-100,-89,-100,-79,-81,-79,-89,-100,-89,-89,-100,-64,-100,-79,-100,-100,-100,-100,-84,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,74,775,374571774179
-64,-69,-63,-63,-63,-67,-67,-68,-81,-80,-81,-74,-76,-75,-78,-100,-77,-76,-76,-76,-100,-82,-82,-82,-80,-80,-75,-100,-80,-80,-81,-83,-80,-80,-100,-80,-100,-79,-100,-82,-100,-80,-83,-81,-82,-82,-100,-85,-88,-89,-84,-87,-85,-84,-89,-100,-100,-88,-89,-100,-89,-100,-79,-80,-78,-89,-100,-89,-89,-100,-64,-100,-79,-100,-100,-100,-100,-83,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,74,775,376608728293
-64,-69,-63,-63,-63,-68,-68,-70,-81,-80,-81,-74,-76,-76,-100,-80,-77,-76,-76,-77,-100,-83,-83,-84,-80,-80,-75,-100,-78,-78,-79,-86,-81,-80,-100,-80,-100,-77,-100,-83,-100,-80,-83,-81,-83,-83,-100,-86,-88,-88,-84,-88,-86,-85,-89,-100,-100,-88,-89,-100,-100,-100,-80,-81,-78,-89,-100,-100,-100,-100,-64,-100,-79,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,74,775,378666531052
-59,-68,-63,-63,-63,-68,-68,-67,-81,-100,-100,-76,-78,-76,-78,-80,-77,-78,-78,-77,-86,-83,-83,-84,-78,-79,-77,-88,-80,-79,-80,-85,-80,-79,-100,-80,-86,-81,-100,-82,-100,-76,-81,-81,-81,-82,-100,-86,-88,-88,-84,-89,-85,-85,-90,-100,-100,-89,-100,-100,-89,-100,-80,-81,-81,-91,-100,-100,-91,-100,-64,-69,-79,-100,-100,-83,-100,-84,-82,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,74,775,380758175999
