72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,38:17:c3:1f:00:b0,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,20:a6:cd:42:0a:c3,20:a6:cd:42:0a:c2,b4:5d:50:e1:96:41,44:48:c1:91:d0:00,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,9c:d6:43:60:92:e0,38:17:c3:1f:14:00,44:48:c1:91:d0:11,44:48:c1:91:d0:10,b4:5d:50:e1:96:43,44:48:c1:91:d0:04,44:48:c1:91:d0:14,44:48:c1:91:d0:12,b4:5d:50:e1:96:40,38:17:c3:1f:14:01,38:17:c3:1f:14:02,44:48:c1:91:d0:02,38:17:c3:1f:09:80,38:17:c3:1f:09:83,38:17:c3:1f:09:81,44:48:c1:91:95:a3,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:83,b4:5d:50:e1:96:50,b4:5d:50:e1:96:53,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,44:48:c1:91:95:a2,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:80,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,20:a6:cd:42:0a:d2,38:17:c3:1f:14:12,38:17:c3:1f:14:11,38:17:c3:1f:14:10,38:17:c3:24:47:52,38:17:c3:24:47:51,38:17:c3:1f:09:91,38:17:c3:1f:09:93,38:17:c3:1f:09:90,20:a6:cd:42:0a:d3,44:48:c1:91:95:b3,38:17:c3:1f:09:92,38:17:c3:24:47:50,38:17:c3:19:45:b1,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:19:45:b2,44:48:c1:91:95:b2,a8:bd:27:4c:aa:92,38:17:c3:1f:19:c1,38:17:c3:1f:19:c0,38:17:c3:19:45:b0,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:90,38:17:c3:1f:19:d1,a8:bd:27:4c:aa:91,38:17:c3:1f:19:d0,38:17:c3:1f:19:d2,38:17:c3:1f:19:c2,44:48:c1:91:aa:30,44:48:c1:91:aa:31,38:17:c3:22:61:91,38:17:c3:22:61:90,20:a6:cd:42:13:f0,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:42,38:17:c3:1f:00:a0,38:17:c3:19:45:a1,38:17:c3:19:45:a0,20:a6:cd:42:13:f2,44:48:c1:91:d0:01,38:17:c3:1f:09:82,44:48:c1:91:aa:21,44:48:c1:91:95:a0,38:17:c3:19:45:a2,44:48:c1:91:95:a1,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f1,38:17:c3:1f:19:f2,38:17:c3:1f:19:f0,ac:e2:d3:c4:08:e6,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,38:17:c3:19:d7:70,20:a6:cd:42:0b:e0,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:42:0b:f0,38:17:c3:19:d7:60,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f3,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:36:30,80:8d:b7:55:25:f3,80:8d:b7:55:25:e3,80:8d:b7:55:35:03,80:8d:b7:55:25:f0,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:35:02,80:8d:b7:55:3a:41,66:2a:2f:53:7c:99,80:8d:b7:55:3a:50,80:8d:b7:55:35:00,ea:9e:b4:53:24:54,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:3a:42,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:3a:40,38:17:c3:19:71:90,80:8d:b7:55:35:01,38:17:c3:19:71:92,38:17:c3:1e:ff:10,b0:be:76:f8:30:5e,38:17:c3:19:71:80,68:ff:7b:e4:af:39,80:8d:b7:55:39:c0,38:17:c3:1e:ff:12,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,80:8d:b7:55:39:c2,38:17:c3:1e:ff:11,80:8d:b7:55:29:d2,80:8d:b7:55:29:d0,80:8d:b7:55:39:c1,38:17:c3:19:36:31,38:17:c3:19:36:32,38:17:c3:19:71:91,80:8d:b7:55:39:d2,80:8d:b7:55:39:d0,20:a6:cd:50:24:a0,80:8d:b7:55:29:d1,38:17:c3:1f:22:30,80:8d:b7:55:39:d1,68:ff:7b:e4:af:38,38:17:c3:1e:ff:00,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,80:8d:b7:55:29:c2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,00:4e:35:df:06:52,00:4e:35:df:06:50,20:a6:cd:50:24:b0,00:4e:35:df:06:40,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:42,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,x,y,timestamp
-56,-62,-62,-66,-67,-67,-69,-69,-70,-75,-75,-75,-75,-75,-76,-76,-77,-77,-77,-77,-77,-77,-77,-77,-77,-78,-78,-79,-79,-81,-81,-81,-82,-82,-82,-82,-82,-82,-82,-83,-83,-84,-84,-84,-84,-84,-84,-85,-85,-85,-85,-85,-85,-85,-85,-85,-85,-86,-86,-86,-86,-86,-87,-87,-87,-87,-87,-88,-88,-88,-89,-89,-90,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,769,243022055999
-100,-58,-65,-63,-63,-63,-69,-69,-70,-75,-72,-100,-75,-75,-79,-76,-75,-74,-77,-77,-75,-75,-73,-77,-77,-78,-78,-82,-79,-100,-84,-81,-81,-80,-81,-81,-100,-82,-82,-77,-77,-77,-82,-84,-83,-81,-81,-85,-85,-85,-77,-86,-85,-81,-85,-85,-85,-87,-86,-86,-86,-86,-86,-90,-90,-88,-87,-88,-88,-100,-100,-100,-90,-90,-91,-67,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,769,246567729019
-62,-64,-64,-63,-62,-62,-75,-69,-73,-75,-72,-80,-75,-75,-79,-100,-78,-78,-77,-78,-78,-79,-73,-79,-79,-100,-100,-81,-84,-80,-84,-82,-84,-84,-82,-84,-100,-84,-85,-77,-77,-77,-83,-84,-84,-84,-84,-85,-85,-85,-77,-85,-85,-84,-89,-85,-86,-87,-85,-88,-100,-100,-87,-90,-90,-88,-86,-89,-88,-100,-100,-100,-100,-91,-100,-67,-73,-75,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,769,249953972507
-70,-62,-63,-64,-63,-63,-72,-72,-73,-75,-100,-80,-75,-75,-79,-79,-78,-78,-75,-78,-78,-79,-100,-79,-79,-100,-100,-79,-84,-79,-86,-83,-84,-83,-83,-83,-100,-84,-85,-82,-81,-81,-84,-83,-84,-84,-84,-88,-87,-86,-81,-83,-85,-84,-88,-85,-84,-88,-84,-88,-100,-100,-88,-100,-89,-87,-86,-89,-88,-100,-100,-100,-100,-91,-100,-100,-100,-75,-83,-82,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,769,253342839902
-70,-61,-63,-64,-63,-63,-72,-73,-73,-78,-76,-100,-77,-100,-79,-79,-76,-76,-77,-80,-75,-76,-78,-79,-79,-79,-100,-79,-82,-77,-86,-82,-83,-82,-82,-83,-100,-84,-85,-85,-85,-85,-84,-83,-84,-82,-83,-87,-86,-86,-84,-84,-86,-83,-87,-85,-84,-87,-84,-89,-100,-100,-88,-89,-88,-87,-100,-88,-88,-100,-100,-100,-100,-100,-90,-100,-76,-73,-100,-82,-90,-78,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,769,256710641619
-59,-65,-63,-64,-64,-63,-73,-73,-73,-78,-76,-77,-77,-78,-79,-79,-77,-77,-77,-76,-76,-77,-78,-79,-79,-79,-82,-100,-82,-77,-84,-84,-82,-81,-83,-82,-100,-84,-85,-83,-84,-83,-84,-84,-84,-83,-83,-86,-86,-86,-83,-84,-86,-83,-87,-85,-84,-87,-84,-89,-100,-100,-88,-89,-89,-100,-90,-88,-100,-100,-100,-100,-100,-100,-90,-100,-76,-73,-100,-100,-100,-78,-82,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,769,260177745993
-56,-56,-71,-66,-66,-65,-67,-67,-75,-100,-77,-100,-74,-75,-81,-78,-74,-74,-77,-100,-74,-74,-78,-100,-78,-100,-82,-81,-80,-83,-100,-83,-82,-83,-82,-83,-81,-100,-100,-81,-81,-80,-100,-100,-100,-100,-100,-86,-86,-87,-80,-85,-85,-100,-86,-85,-86,-88,-86,-100,-100,-100,-86,-100,-87,-88,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-78,-68,-100,-100,-100,-76,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,752,458647446907
-56,-56,-70,-65,-64,-65,-67,-66,-74,-75,-77,-100,-75,-75,-80,-78,-74,-74,-74,-74,-74,-74,-78,-78,-78,-100,-82,-81,-80,-83,-100,-82,-82,-83,-82,-83,-80,-100,-100,-81,-80,-81,-83,-83,-85,-100,-100,-86,-85,-86,-81,-85,-86,-100,-86,-85,-86,-88,-85,-100,-100,-100,-87,-88,-87,-88,-88,-87,-88,-100,-100,-100,-100,-100,-100,-100,-78,-68,-82,-82,-100,-76,-81,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,752,460577169771
-64,-61,-70,-65,-64,-65,-68,-68,-79,-76,-100,-100,-75,-100,-81,-76,-78,-77,-75,-78,-77,-78,-100,-77,-100,-100,-100,-100,-100,-84,-100,-82,-82,-81,-81,-81,-81,-100,-100,-81,-81,-82,-83,-83,-85,-100,-100,-86,-86,-89,-81,-84,-87,-100,-88,-85,-85,-88,-84,-100,-100,-100,-88,-88,-88,-88,-100,-86,-87,-100,-100,-100,-100,-100,-100,-71,-100,-68,-82,-82,-100,-100,-81,-100,-82,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,752,462694430395
-66,-57,-70,-64,-64,-65,-68,-71,-74,-76,-100,-77,-76,-75,-80,-77,-76,-76,-77,-77,-76,-77,-100,-77,-79,-78,-81,-100,-100,-83,-100,-82,-82,-81,-81,-81,-81,-100,-100,-81,-81,-81,-87,-83,-89,-100,-100,-85,-85,-85,-81,-84,-84,-100,-88,-85,-85,-88,-84,-100,-100,-100,-88,-89,-88,-88,-100,-86,-87,-100,-100,-100,-100,-100,-100,-69,-100,-70,-82,-82,-100,-100,-81,-100,-82,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,752,464736840394
