72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,60:32:b1:3e:1a:b7,38:17:c3:1f:00:a0,38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,38:17:c3:1f:00:a2,38:17:c3:1f:00:a1,b4:5d:50:e1:96:40,44:48:c1:91:95:a3,44:48:c1:91:d0:11,44:48:c1:91:d0:10,44:48:c1:91:d0:12,44:48:c1:91:d0:14,38:17:c3:1f:14:00,20:a6:cd:42:0a:d2,38:17:c3:1f:14:01,38:17:c3:1f:14:02,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,38:17:c3:1f:09:83,9c:d6:43:60:92:e0,a8:bd:27:4c:aa:82,b4:5d:50:e1:96:53,38:17:c3:1f:09:81,38:17:c3:1f:09:80,a8:bd:27:4c:aa:81,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:50,a8:bd:27:4c:aa:93,38:17:c3:1f:09:82,38:17:c3:1f:19:d1,38:17:c3:1f:14:11,38:17:c3:1f:19:d0,38:17:c3:1f:14:12,a8:bd:27:4c:aa:92,38:17:c3:19:45:b2,38:17:c3:1f:14:10,38:17:c3:1f:19:d2,38:17:c3:19:45:b0,a8:bd:27:4c:aa:90,38:17:c3:19:45:b1,38:17:c3:1f:09:93,44:48:c1:91:aa:31,44:48:c1:91:aa:32,b4:5d:50:e1:96:43,20:a6:cd:42:0a:c3,44:48:c1:91:d0:02,44:48:c1:91:d0:01,44:48:c1:91:d0:00,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,44:48:c1:91:d0:04,20:a6:cd:42:0a:c2,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:83,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:09:90,44:48:c1:91:95:b3,44:48:c1:91:95:b0,44:48:c1:91:95:b2,86:0d:8e:aa:25:a4,44:48:c1:91:95:b1,a8:bd:27:4c:aa:91,38:17:c3:22:61:90,72:32:b1:3e:1a:b7,b4:5d:50:e1:96:42,b4:5d:50:e1:96:41,44:48:c1:91:95:a2,44:48:c1:91:95:a1,38:17:c3:19:45:a2,38:17:c3:19:45:a0,ac:e2:d3:c4:08:e6,66:2a:2f:53:7c:99,44:48:c1:91:95:a0,38:17:c3:19:36:30,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:19:45:a1,38:17:c3:1f:19:f1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:70,20:a6:cd:42:0b:e3,38:17:c3:19:d7:62,38:17:c3:19:d7:72,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,38:17:c3:19:d7:71,80:8d:b7:55:25:e3,38:17:c3:19:d7:61,38:17:c3:19:d7:60,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:25:e2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:35:03,80:8d:b7:55:25:e0,80:8d:b7:55:25:e1,80:8d:b7:55:3a:40,ea:9e:b4:53:24:54,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:3a:50,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:3a:51,b0:be:76:f8:30:5e,80:8d:b7:55:3a:42,80:8d:b7:55:3a:52,38:17:c3:19:71:90,80:8d:b7:55:3a:41,38:17:c3:1e:ff:10,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:19:71:80,68:ff:7b:e4:af:39,38:17:c3:1e:ff:00,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:1e:ff:02,38:17:c3:19:71:91,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,38:17:c3:19:71:92,38:17:c3:19:36:32,38:17:c3:19:36:31,38:17:c3:1e:ff:01,80:8d:b7:55:29:d0,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,20:a6:cd:50:24:a0,20:a6:cd:50:24:a2,80:8d:b7:55:39:d0,20:a6:cd:50:24:a1,00:4e:35:df:06:52,80:8d:b7:55:29:c2,80:8d:b7:55:29:c0,80:8d:b7:55:29:c1,38:17:c3:1f:22:30,68:ff:7b:e4:af:38,20:a6:cd:50:24:b0,80:8d:b7:55:39:c0,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:22:31,38:17:c3:1f:0e:00,38:17:c3:1f:22:22,38:17:c3:1f:22:20,38:17:c3:1f:22:32,38:17:c3:1f:22:21,x,y,timestamp
-57,-59,-68,-69,-69,-69,-69,-70,-70,-75,-77,-77,-77,-78,-78,-79,-80,-80,-80,-81,-81,-81,-82,-82,-82,-83,-83,-83,-83,-84,-84,-84,-85,-85,-86,-87,-87,-87,-87,-87,-88,-88,-88,-88,-88,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,164,774,311815439880
-57,-55,-68,-68,-71,-72,-70,-68,-70,-75,-77,-79,-78,-79,-79,-78,-83,-80,-79,-81,-82,-81,-82,-77,-82,-82,-83,-82,-83,-82,-82,-81,-85,-84,-85,-84,-86,-86,-87,-85,-86,-86,-86,-88,-88,-87,-89,-89,-71,-74,-75,-75,-75,-76,-76,-77,-77,-82,-83,-86,-86,-87,-87,-87,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,164,774,313877819827
-100,-56,-68,-69,-68,-69,-69,-69,-70,-100,-77,-78,-78,-78,-79,-78,-82,-100,-79,-81,-81,-81,-82,-81,-81,-84,-83,-82,-83,-83,-82,-81,-87,-84,-85,-88,-86,-86,-87,-85,-90,-87,-85,-88,-86,-87,-100,-100,-71,-74,-75,-75,-75,-76,-76,-76,-77,-82,-84,-87,-86,-87,-86,-87,-86,-90,-87,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,164,774,315929283836
-56,-60,-68,-70,-68,-69,-69,-71,-70,-76,-78,-76,-78,-77,-77,-77,-82,-77,-100,-81,-81,-81,-79,-81,-82,-81,-100,-83,-100,-82,-82,-82,-88,-83,-85,-87,-85,-86,-87,-85,-87,-84,-85,-88,-86,-88,-100,-100,-71,-76,-76,-75,-100,-76,-76,-76,-75,-100,-84,-87,-88,-87,-86,-87,-86,-100,-87,-87,-92,-69,-76,-76,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,164,774,317989277846
-58,-56,-67,-70,-68,-68,-68,-71,-70,-76,-78,-76,-78,-77,-77,-77,-81,-77,-77,-80,-81,-81,-81,-81,-82,-84,-100,-83,-83,-82,-83,-83,-88,-83,-86,-86,-88,-86,-100,-87,-86,-87,-87,-89,-87,-88,-100,-100,-71,-76,-76,-76,-76,-76,-76,-100,-75,-100,-100,-86,-87,-87,-86,-88,-87,-100,-100,-100,-100,-69,-76,-76,-82,-82,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,164,774,320108297585
-54,-58,-66,-69,-66,-67,-66,-69,-69,-75,-78,-78,-77,-77,-77,-100,-80,-77,-77,-79,-80,-80,-81,-80,-82,-85,-100,-100,-82,-86,-85,-84,-87,-100,-86,-88,-88,-86,-87,-87,-88,-87,-89,-88,-87,-88,-100,-100,-71,-75,-75,-75,-76,-77,-100,-100,-75,-100,-100,-90,-89,-91,-88,-88,-87,-100,-100,-89,-100,-66,-100,-76,-100,-100,-87,-85,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,164,774,322198708938
-100,-58,-66,-69,-68,-68,-68,-68,-68,-100,-100,-79,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-80,-100,-100,-100,-80,-81,-81,-87,-100,-100,-84,-100,-85,-88,-91,-83,-100,-100,-88,-100,-88,-100,-100,-100,-76,-100,-100,-100,-100,-100,-77,-76,-100,-100,-88,-87,-90,-89,-88,-87,-100,-88,-87,-100,-67,-100,-77,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,164,759,373706941002
-60,-58,-69,-69,-71,-71,-71,-68,-68,-79,-84,-78,-78,-78,-78,-82,-81,-100,-83,-80,-80,-80,-84,-78,-100,-81,-100,-82,-100,-81,-82,-82,-87,-83,-100,-84,-100,-84,-87,-91,-84,-100,-89,-88,-89,-89,-100,-100,-100,-70,-75,-74,-75,-100,-71,-72,-72,-100,-100,-88,-87,-88,-87,-88,-87,-100,-88,-87,-100,-69,-78,-77,-83,-81,-100,-100,-100,-93,-83,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,164,759,375564305897
-61,-62,-69,-67,-71,-71,-71,-66,-67,-78,-83,-78,-78,-78,-78,-80,-80,-80,-79,-80,-78,-79,-86,-79,-100,-82,-100,-82,-85,-83,-82,-84,-87,-83,-100,-84,-100,-84,-87,-100,-84,-100,-89,-87,-89,-89,-100,-100,-76,-73,-75,-76,-75,-70,-70,-73,-71,-100,-82,-100,-100,-89,-86,-87,-86,-100,-87,-88,-100,-69,-78,-77,-83,-82,-100,-100,-100,-100,-83,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,164,759,377629526365
-58,-59,-69,-66,-75,-73,-72,-66,-67,-78,-83,-78,-78,-78,-78,-80,-80,-80,-79,-81,-80,-80,-86,-76,-100,-80,-100,-100,-85,-80,-81,-81,-87,-100,-100,-84,-92,-84,-87,-100,-84,-100,-89,-87,-100,-89,-100,-100,-76,-73,-100,-76,-100,-72,-73,-75,-72,-100,-82,-100,-100,-89,-86,-88,-86,-100,-88,-88,-100,-68,-100,-77,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,164,759,379622729333
