b8:27:eb:9f:6b:77,80:8d:b7:55:3a:42,b0:be:76:f8:30:5e,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,ea:9e:b4:53:24:54,80:8d:b7:55:35:03,38:17:c3:1f:0e:11,80:8d:b7:55:35:02,80:8d:b7:55:35:01,b4:5d:50:e1:92:33,80:8d:b7:55:25:f0,00:4e:35:df:06:52,80:8d:b7:55:39:d0,44:48:c1:a5:82:30,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,38:17:c3:19:d7:70,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:50:24:b2,ac:e2:d3:c4:08:e6,38:17:c3:1f:01:91,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:92,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:50:24:b1,38:17:c3:19:45:b2,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:35:00,38:17:c3:1e:ff:10,20:a6:cd:50:24:b0,38:17:c3:1f:01:81,80:8d:b7:55:39:c2,80:8d:b7:55:25:e3,80:8d:b7:55:3a:41,00:4e:35:df:06:51,00:4e:35:df:06:40,80:8d:b7:55:3a:40,00:4e:35:df:06:42,66:2a:2f:53:7c:99,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:45:a1,00:4e:35:df:06:41,38:17:c3:1f:09:83,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,38:17:c3:19:45:a0,80:8d:b7:55:39:c1,72:32:b1:3e:1a:b7,68:ff:7b:e4:af:38,60:32:b1:3e:1a:b8,38:17:c3:19:45:a2,38:17:c3:19:45:b1,b4:5d:50:e1:92:23,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,38:17:c3:19:45:b0,38:17:c3:1f:09:90,20:a6:cd:50:24:a0,38:17:c3:19:55:50,38:17:c3:1f:01:82,60:32:b1:3e:1a:b7,44:48:c1:a5:82:22,44:48:c1:a5:82:21,00:4e:35:df:06:50,b4:5d:50:e1:92:22,72:32:b1:3e:1a:b8,38:17:c3:1f:01:80,38:17:c3:19:d7:60,44:48:c1:a5:82:20,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,b4:5d:50:e1:92:31,b4:5d:50:e1:92:21,38:17:c3:1f:09:93,b4:5d:50:e1:96:43,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,68:ff:7b:e4:af:39,b4:5d:50:e1:96:53,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,b4:5d:50:e1:96:50,38:17:c3:1f:22:31,38:17:c3:19:55:51,b4:5d:50:e1:92:20,38:17:c3:19:55:52,00:4e:35:de:e1:10,38:17:c3:1f:22:30,b4:5d:50:e1:96:52,00:4e:35:de:e1:11,b4:5d:50:e1:96:51,20:a6:cd:42:0b:e3,38:17:c3:19:71:90,38:17:c3:1f:22:32,38:17:c3:19:71:92,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:1f:22:21,38:17:c3:1f:22:22,00:4e:35:de:e1:00,00:4e:35:de:e1:01,00:4e:35:de:e1:02,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,38:17:c3:1f:08:50,44:48:c1:91:95:b2,9c:d6:43:60:92:e0,38:17:c3:1f:08:51,44:48:c1:91:95:b3,44:48:c1:91:95:b0,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b1,00:4e:35:de:d7:50,00:4e:35:de:d7:51,38:17:c3:1f:08:42,38:17:c3:1f:08:40,00:4e:35:df:0e:12,38:17:c3:1f:08:41,38:17:c3:1f:22:20,a8:bd:27:4c:bd:32,00:4e:35:de:d7:43,00:4e:35:de:d7:40,38:17:c3:19:71:80,00:4e:35:de:d7:42,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:19:71:91,38:17:c3:19:71:82,38:17:c3:19:71:81,00:4e:35:de:d7:41,38:17:c3:1f:08:52,38:17:c3:19:36:30,38:17:c3:19:36:32,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:12,00:4e:35:df:27:01,38:17:c3:24:4f:10,00:4e:35:df:27:02,38:17:c3:24:4f:11,38:17:c3:24:58:a2,00:4e:35:df:27:00,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:24:58:a1,38:17:c3:1b:08:a1,38:17:c3:1b:08:a0,38:17:c3:24:58:a0,32:f7:72:50:57:3b,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:1b:08:b0,38:17:c3:1b:08:a2,x,y,timestamp
-42,-80,-72,-74,-74,-74,-73,-73,-78,-78,-65,-66,-65,-50,-68,-52,-68,-68,-90,-74,-83,-73,-79,-66,-72,-75,-52,-75,-77,-86,-78,-74,-52,-53,-53,-74,-82,-83,-75,-75,-86,-89,-53,-74,-68,-83,-85,-74,-72,-73,-80,-83,-85,-81,-85,-91,-78,-78,-77,-77,-83,-85,-90,-78,-77,-83,-72,-84,-88,-83,-83,-87,-86,-89,-89,-87,-88,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,667,26716501467409
-43,-80,-78,-74,-74,-74,-73,-73,-80,-80,-68,-67,-67,-50,-70,-54,-68,-68,-90,-74,-85,-73,-80,-68,-71,-75,-54,-76,-76,-85,-78,-73,-54,-53,-53,-73,-84,-84,-75,-75,-85,-89,-53,-73,-68,-83,-84,-74,-71,-73,-80,-85,-85,-81,-84,-91,-79,-78,-77,-77,-83,-85,-93,-79,-77,-83,-71,-84,-88,-83,-83,-88,-87,-89,-89,-88,-89,-87,-92,-74,-84,-77,-77,-85,-88,-89,-72,-76,-77,-83,-89,-90,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,667,26721047943293
-43,-80,-76,-73,-73,-73,-73,-73,-79,-79,-68,-68,-67,-52,-70,-53,-71,-71,-89,-73,-84,-73,-78,-68,-72,-76,-53,-76,-76,-85,-82,-76,-53,-53,-53,-76,-84,-83,-76,-76,-85,-87,-53,-75,-71,-83,-87,-74,-72,-74,-80,-85,-100,-80,-85,-92,-79,-78,-100,-77,-100,-85,-93,-79,-100,-100,-72,-100,-100,-100,-100,-88,-86,-85,-84,-88,-89,-100,-100,-74,-84,-78,-77,-85,-88,-89,-73,-76,-78,-83,-89,-90,-86,-88,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,667,26725999834541
-42,-80,-77,-74,-74,-74,-74,-73,-79,-79,-68,-67,-68,-53,-70,-53,-71,-71,-90,-74,-84,-74,-79,-68,-73,-76,-53,-76,-76,-85,-77,-76,-53,-53,-53,-76,-84,-83,-76,-76,-86,-89,-53,-76,-71,-83,-86,-74,-72,-73,-80,-83,-100,-80,-86,-92,-100,-100,-100,-77,-100,-85,-100,-100,-100,-100,-72,-100,-100,-85,-84,-100,-87,-86,-84,-87,-90,-100,-100,-72,-82,-78,-77,-84,-100,-100,-73,-75,-74,-85,-100,-91,-100,-88,-91,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,667,26730700637716
-42,-80,-74,-75,-75,-75,-74,-74,-79,-79,-67,-67,-67,-51,-69,-53,-70,-70,-90,-75,-82,-74,-79,-67,-72,-76,-53,-76,-64,-83,-81,-74,-53,-52,-52,-74,-100,-100,-76,-77,-84,-87,-52,-74,-70,-100,-84,-74,-73,-73,-80,-83,-100,-80,-85,-90,-78,-78,-77,-77,-100,-85,-100,-79,-77,-100,-72,-100,-100,-85,-80,-100,-87,-86,-83,-87,-88,-100,-100,-73,-82,-78,-77,-83,-100,-100,-75,-75,-79,-85,-100,-91,-88,-87,-100,-83,-84,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,667,26735492057714
-42,-80,-72,-73,-72,-73,-74,-74,-80,-80,-69,-69,-69,-58,-70,-55,-69,-69,-100,-73,-82,-74,-80,-69,-72,-77,-55,-75,-75,-84,-79,-75,-55,-52,-52,-75,-100,-100,-76,-76,-85,-87,-52,-75,-69,-84,-85,-73,-73,-72,-80,-84,-100,-80,-85,-89,-78,-78,-77,-77,-100,-85,-93,-79,-77,-100,-73,-100,-100,-85,-80,-89,-87,-100,-86,-100,-90,-100,-100,-73,-100,-78,-78,-83,-100,-100,-75,-75,-79,-100,-86,-100,-88,-87,-100,-100,-84,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,667,26740240990681
-48,-75,-58,-72,-72,-72,-67,-67,-79,-79,-62,-62,-61,-59,-100,-51,-71,-71,-91,-72,-79,-67,-79,-62,-73,-73,-51,-82,-82,-88,-77,-100,-51,-100,-100,-100,-81,-81,-73,-73,-88,-100,-100,-100,-71,-81,-89,-100,-100,-77,-100,-79,-100,-100,-100,-90,-74,-74,-75,-75,-100,-100,-100,-74,-75,-100,-73,-86,-90,-100,-84,-100,-86,-100,-73,-100,-100,-80,-100,-100,-100,-78,-76,-79,-88,-84,-100,-81,-76,-79,-88,-92,-88,-100,-100,-79,-79,-100,-90,-84,-84,-86,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,648,26792584013161
-44,-75,-58,-73,-73,-73,-67,-67,-72,-78,-62,-62,-62,-63,-70,-50,-70,-70,-91,-73,-79,-67,-78,-63,-71,-72,-51,-82,-82,-87,-78,-75,-51,-58,-58,-75,-81,-81,-73,-72,-88,-83,-58,-75,-70,-81,-88,-70,-71,-71,-100,-79,-100,-76,-82,-88,-75,-75,-76,-76,-84,-82,-100,-75,-76,-84,-71,-86,-90,-85,-84,-83,-88,-83,-81,-83,-100,-83,-91,-100,-100,-76,-76,-79,-88,-81,-100,-81,-76,-80,-87,-92,-88,-100,-100,-80,-80,-100,-89,-84,-73,-86,-92,-88,-90,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,648,26797186415503
-42,-76,-72,-71,-72,-71,-69,-69,-72,-78,-60,-60,-60,-63,-74,-57,-70,-71,-89,-71,-79,-69,-78,-60,-71,-71,-57,-82,-82,-87,-78,-72,-57,-59,-59,-72,-81,-81,-71,-71,-92,-82,-59,-72,-70,-81,-89,-70,-71,-74,-76,-79,-100,-76,-82,-85,-73,-73,-77,-76,-85,-82,-100,-73,-76,-84,-71,-86,-100,-85,-84,-83,-87,-83,-84,-83,-100,-83,-91,-70,-100,-75,-75,-78,-100,-88,-71,-82,-76,-80,-88,-100,-100,-100,-100,-80,-80,-100,-90,-85,-84,-85,-92,-88,-90,-89,-92,-84,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,648,26802036809616
-39,-76,-73,-73,-73,-72,-67,-67,-80,-80,-61,-61,-61,-58,-68,-53,-71,-71,-89,-72,-81,-67,-80,-61,-71,-71,-53,-80,-79,-100,-78,-75,-53,-55,-55,-74,-81,-81,-71,-71,-92,-83,-55,-75,-71,-77,-90,-70,-71,-75,-76,-81,-100,-76,-82,-89,-75,-75,-77,-76,-85,-82,-100,-75,-100,-100,-71,-86,-88,-85,-84,-100,-89,-83,-84,-100,-100,-100,-88,-70,-100,-77,-77,-81,-88,-88,-71,-80,-78,-80,-88,-100,-100,-100,-100,-79,-80,-100,-90,-86,-86,-85,-91,-100,-100,-87,-100,-84,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,648,26806869346646
