b0:be:76:f8:30:5e,44:48:c1:a5:82:30,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,00:4e:35:df:06:51,00:4e:35:df:06:50,ea:9e:b4:53:24:54,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:25:e3,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:25:f0,80:8d:b7:55:39:d0,00:4e:35:df:06:52,80:8d:b7:55:35:10,38:17:c3:19:d7:70,44:48:c1:a5:82:21,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,38:17:c3:19:71:90,44:48:c1:a5:82:22,80:8d:b7:55:35:12,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,ac:e2:d3:c4:08:e6,b4:5d:50:e1:92:23,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:39:c2,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:45:b2,38:17:c3:1e:ff:02,38:17:c3:19:45:b1,20:a6:cd:50:24:b1,b4:5d:50:e1:92:33,b4:5d:50:e1:92:22,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,38:17:c3:1e:ff:10,44:48:c1:a5:82:20,20:a6:cd:50:24:b0,b4:5d:50:e1:92:21,b8:27:eb:9f:6b:77,80:8d:b7:55:35:01,80:8d:b7:55:35:03,80:8d:b7:55:35:02,38:17:c3:19:d7:62,38:17:c3:19:d7:61,60:32:b1:3e:1a:b7,38:17:c3:1f:01:81,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:1e:ff:01,38:17:c3:19:55:51,38:17:c3:19:55:52,20:a6:cd:42:0b:e3,80:8d:b7:55:35:00,38:17:c3:19:d7:60,38:17:c3:19:45:b0,38:17:c3:19:45:a0,38:17:c3:19:55:50,66:2a:2f:53:7c:99,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,80:8d:b7:55:39:c1,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,38:17:c3:1f:01:82,68:ff:7b:e4:af:38,20:a6:cd:50:24:b2,60:32:b1:3e:1a:b8,72:32:b1:3e:1a:b8,80:8d:b7:55:39:c0,80:8d:b7:55:3a:40,38:17:c3:1f:01:80,b4:5d:50:e1:92:31,00:4e:35:df:06:42,b4:5d:50:e1:96:43,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,00:4e:35:df:06:41,b4:5d:50:e1:92:20,38:17:c3:1f:09:83,72:32:b1:3e:1a:b7,20:a6:cd:50:24:a0,68:ff:7b:e4:af:39,38:17:c3:19:55:42,38:17:c3:19:55:41,b4:5d:50:e1:92:32,38:17:c3:19:55:40,00:4e:35:df:06:40,00:4e:35:de:e1:12,38:17:c3:1f:22:30,00:4e:35:de:e1:10,00:4e:35:de:e1:00,00:4e:35:de:e1:11,38:17:c3:1e:ff:00,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:19:71:92,38:17:c3:19:71:91,00:4e:35:de:e1:01,00:4e:35:de:e1:02,38:17:c3:1f:09:93,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:09:90,b4:5d:50:e1:92:30,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:f0,b4:5d:50:e1:96:50,b4:5d:50:e1:96:53,20:a6:cd:42:0b:f3,44:48:c1:91:95:b3,44:48:c1:91:95:b2,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1f:08:50,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,3e:33:00:4a:90:c1,00:4e:35:de:d7:52,00:4e:35:df:0e:12,00:4e:35:de:d7:51,00:4e:35:de:d7:53,00:4e:35:de:d7:50,38:17:c3:1f:08:51,38:17:c3:1f:08:52,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:d7:42,00:4e:35:de:d7:43,00:4e:35:de:d7:40,38:17:c3:19:71:80,a8:bd:27:4c:bd:20,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1f:22:22,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,38:17:c3:19:36:31,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:02,38:17:c3:1e:fc:a1,38:17:c3:19:71:81,38:17:c3:1e:fc:a0,38:17:c3:19:71:82,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,00:4e:35:df:27:01,38:17:c3:24:58:a0,00:4e:35:df:27:00,38:17:c3:24:4f:01,00:4e:35:df:27:02,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b0,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,38:17:c3:1b:08:a1,00:4e:35:de:d7:41,00:4e:35:df:27:12,9c:d6:43:60:92:e0,x,y,timestamp
-76,-80,-79,-78,-78,-78,-78,-86,-87,-45,-80,-80,-63,-64,-71,-76,-76,-78,-78,-86,-64,-77,-77,-74,-75,-75,-76,-88,-78,-64,-76,-76,-85,-87,-47,-52,-52,-75,-75,-72,-83,-83,-84,-85,-84,-88,-92,-87,-52,-75,-83,-79,-88,-87,-37,-69,-69,-70,-75,-75,-85,-78,-81,-82,-84,-90,-90,-94,-70,-76,-84,-83,-91,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,621,1013858877268
-74,-79,-78,-77,-78,-78,-78,-86,-87,-44,-79,-79,-64,-64,-73,-77,-77,-79,-78,-85,-64,-77,-78,-74,-74,-74,-79,-88,-78,-64,-77,-77,-81,-90,-48,-53,-53,-75,-75,-73,-80,-81,-84,-85,-84,-88,-90,-86,-53,-75,-80,-71,-89,-87,-39,-69,-67,-71,-76,-76,-85,-80,-81,-82,-84,-90,-90,-94,-70,-75,-84,-83,-91,-91,-48,-48,-73,-77,-77,-80,-88,-88,-87,-88,-73,-77,-81,-90,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,621,1018353504141
-75,-78,-79,-79,-79,-78,-78,-81,-81,-45,-78,-79,-64,-64,-74,-76,-76,-79,-79,-81,-64,-76,-78,-74,-75,-75,-77,-100,-79,-64,-77,-77,-84,-88,-48,-52,-52,-75,-75,-74,-80,-81,-85,-100,-85,-88,-90,-87,-52,-75,-79,-78,-88,-100,-40,-100,-71,-71,-75,-76,-100,-80,-100,-100,-100,-90,-90,-100,-100,-76,-85,-100,-90,-91,-48,-48,-73,-77,-77,-80,-88,-88,-87,-88,-73,-77,-81,-90,-84,-79,-82,-84,-86,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,621,1023161596848
-77,-79,-78,-78,-78,-78,-78,-81,-80,-44,-78,-78,-63,-63,-74,-77,-78,-78,-78,-80,-63,-77,-78,-75,-75,-75,-77,-100,-79,-63,-76,-76,-82,-88,-48,-52,-52,-74,-74,-73,-81,-100,-85,-100,-85,-88,-91,-88,-52,-75,-79,-78,-89,-100,-37,-73,-71,-71,-75,-76,-100,-100,-100,-100,-100,-90,-90,-100,-73,-76,-85,-100,-90,-90,-48,-48,-73,-100,-77,-80,-100,-90,-86,-100,-73,-100,-100,-100,-84,-79,-83,-83,-86,-86,-90,-86,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,621,1027838487523
-63,-80,-78,-78,-78,-78,-78,-81,-81,-45,-80,-79,-64,-64,-75,-77,-78,-78,-78,-83,-64,-77,-79,-75,-75,-78,-78,-89,-78,-64,-78,-77,-84,-87,-48,-52,-52,-74,-74,-72,-80,-82,-84,-100,-84,-89,-90,-87,-52,-75,-81,-78,-88,-87,-41,-69,-70,-70,-75,-75,-100,-80,-83,-82,-100,-100,-100,-100,-71,-76,-84,-83,-100,-82,-48,-48,-73,-77,-77,-79,-100,-88,-85,-100,-72,-78,-100,-90,-100,-100,-84,-84,-100,-86,-90,-86,-83,-87,-88,-88,-92,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,621,1032479915803
-79,-80,-78,-78,-78,-77,-78,-82,-82,-45,-79,-79,-65,-65,-71,-78,-75,-78,-78,-82,-65,-77,-68,-75,-73,-75,-78,-89,-78,-65,-78,-77,-83,-90,-48,-52,-52,-74,-73,-72,-82,-82,-84,-100,-85,-89,-90,-86,-52,-74,-82,-77,-88,-86,-38,-67,-65,-70,-75,-75,-100,-80,-83,-82,-100,-100,-100,-100,-71,-76,-84,-83,-100,-82,-48,-48,-72,-78,-78,-79,-88,-88,-85,-100,-72,-78,-100,-90,-100,-100,-84,-84,-100,-88,-100,-88,-84,-87,-88,-88,-92,-87,-82,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,621,1037257794863
-76,-81,-71,-71,-71,-69,-68,-82,-100,-56,-80,-81,-61,-61,-73,-76,-75,-72,-69,-100,-61,-75,-74,-77,-76,-77,-73,-100,-74,-61,-73,-73,-77,-89,-60,-59,-59,-79,-79,-66,-78,-78,-87,-100,-89,-85,-90,-100,-59,-79,-78,-74,-85,-100,-39,-72,-65,-72,-76,-76,-100,-100,-82,-82,-100,-100,-100,-90,-100,-76,-89,-82,-100,-90,-60,-60,-67,-100,-100,-100,-100,-85,-87,-83,-66,-78,-73,-100,-83,-100,-79,-81,-83,-100,-100,-100,-81,-88,-100,-100,-100,-100,-84,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,602,1083143928335
-75,-81,-72,-72,-72,-69,-69,-85,-83,-56,-81,-81,-61,-61,-80,-75,-76,-72,-69,-85,-61,-75,-74,-77,-77,-77,-73,-100,-74,-61,-73,-73,-75,-85,-60,-59,-59,-80,-80,-67,-77,-78,-88,-100,-89,-85,-90,-86,-59,-80,-78,-74,-85,-100,-40,-72,-65,-72,-77,-77,-100,-74,-83,-83,-100,-100,-100,-90,-72,-77,-89,-83,-100,-88,-60,-60,-67,-100,-100,-100,-100,-85,-87,-83,-66,-79,-74,-90,-83,-100,-81,-81,-83,-87,-100,-100,-80,-88,-100,-100,-100,-100,-84,-87,-88,-89,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,602,1087767868646
-76,-81,-71,-72,-72,-69,-69,-81,-81,-57,-80,-80,-62,-62,-75,-76,-75,-72,-69,-81,-61,-75,-73,-76,-76,-77,-74,-100,-74,-61,-74,-74,-76,-85,-60,-59,-59,-80,-80,-66,-76,-78,-89,-100,-100,-86,-91,-88,-59,-80,-77,-74,-85,-88,-41,-73,-64,-73,-77,-77,-100,-74,-82,-83,-100,-100,-100,-100,-71,-77,-89,-82,-100,-90,-60,-60,-67,-79,-79,-74,-100,-85,-84,-83,-67,-79,-75,-90,-83,-100,-81,-80,-83,-88,-100,-100,-80,-88,-100,-100,-100,-100,-84,-88,-100,-89,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,602,1092417742290
-76,-80,-72,-72,-72,-69,-69,-80,-81,-56,-80,-80,-61,-61,-74,-76,-76,-72,-69,-81,-61,-75,-73,-76,-76,-77,-74,-89,-74,-61,-74,-74,-77,-100,-60,-59,-59,-78,-78,-66,-78,-78,-89,-100,-88,-87,-89,-88,-59,-78,-78,-74,-86,-86,-39,-73,-64,-72,-76,-77,-100,-74,-82,-82,-100,-100,-100,-100,-72,-77,-89,-82,-100,-89,-60,-60,-67,-79,-79,-74,-100,-86,-91,-84,-67,-100,-75,-90,-84,-100,-81,-81,-83,-88,-93,-100,-80,-87,-100,-100,-100,-100,-84,-88,-89,-87,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,602,1097178631299
