b0:be:76:f8:30:5e,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,b8:27:eb:9f:6b:77,80:8d:b7:55:35:13,80:8d:b7:55:39:c1,80:8d:b7:55:35:11,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:39:c2,44:48:c1:a5:82:32,44:48:c1:a5:82:31,ea:9e:b4:53:24:54,80:8d:b7:55:35:03,80:8d:b7:55:25:e3,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:35:01,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,80:8d:b7:55:25:f0,00:4e:35:df:06:52,44:48:c1:a5:82:30,38:17:c3:19:d7:70,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:01:82,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,ac:e2:d3:c4:08:e6,80:8d:b7:55:39:c0,38:17:c3:1f:0e:10,20:a6:cd:50:24:b0,80:8d:b7:55:35:12,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:01:81,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:19:45:b2,60:32:b1:3e:1a:b7,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,72:32:b1:3e:1a:b8,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,38:17:c3:1f:01:80,38:17:c3:1e:ff:10,38:17:c3:1e:ff:00,38:17:c3:19:45:a0,00:4e:35:df:06:51,80:8d:b7:55:3a:41,00:4e:35:df:06:50,00:4e:35:df:06:41,00:4e:35:de:e1:11,00:4e:35:df:06:40,60:32:b1:3e:1a:b8,38:17:c3:19:45:a2,b4:5d:50:e1:92:33,38:17:c3:19:45:a1,b4:5d:50:e1:92:23,38:17:c3:1f:09:83,00:4e:35:df:06:42,00:4e:35:de:e1:12,b4:5d:50:e1:92:31,66:2a:2f:53:7c:99,80:8d:b7:55:35:02,44:48:c1:a5:82:21,38:17:c3:19:d7:61,44:48:c1:a5:82:22,38:17:c3:19:d7:62,00:4e:35:de:e1:10,20:a6:cd:42:0b:e3,80:8d:b7:55:35:00,38:17:c3:19:d7:60,44:48:c1:a5:82:20,80:8d:b7:55:3a:42,38:17:c3:19:45:b1,68:ff:7b:e4:af:39,38:17:c3:19:45:b0,80:8d:b7:55:25:e1,72:32:b1:3e:1a:b7,80:8d:b7:55:25:e2,68:ff:7b:e4:af:38,80:8d:b7:55:25:e0,38:17:c3:19:55:41,80:8d:b7:55:3a:40,20:a6:cd:50:24:a0,38:17:c3:19:55:51,38:17:c3:19:55:50,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:1f:09:90,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:19:71:90,b4:5d:50:e1:96:53,38:17:c3:1f:22:30,b4:5d:50:e1:96:50,38:17:c3:19:55:42,38:17:c3:19:55:40,38:17:c3:19:55:52,38:17:c3:1f:08:50,38:17:c3:1f:22:31,38:17:c3:1f:09:93,b4:5d:50:e1:92:30,b4:5d:50:e1:92:32,b4:5d:50:e1:96:51,b4:5d:50:e1:96:43,00:4e:35:de:e1:02,00:4e:35:de:e1:01,00:4e:35:de:e1:00,b4:5d:50:e1:92:22,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,44:48:c1:91:95:b3,44:48:c1:91:95:b2,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:22,00:4e:35:df:0e:12,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:de:d7:52,a8:bd:27:4c:bd:31,00:4e:35:de:d7:40,00:4e:35:de:d7:43,00:4e:35:de:d7:42,a8:bd:27:4c:bd:32,38:17:c3:1f:08:52,38:17:c3:1f:08:51,38:17:c3:1f:22:32,44:48:c1:91:95:b0,38:17:c3:1f:22:22,38:17:c3:19:71:80,00:4e:35:de:d7:41,38:17:c3:19:71:82,38:17:c3:19:71:81,a8:bd:27:4c:bd:20,38:17:c3:19:36:30,38:17:c3:19:36:31,a8:bd:27:4c:bd:21,00:4e:35:df:0e:10,38:17:c3:1f:22:21,00:4e:35:df:0e:11,00:4e:35:df:0e:00,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:24:4f:02,38:17:c3:24:4f:10,38:17:c3:1b:08:b0,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:4f:01,38:17:c3:24:4f:00,38:17:c3:24:58:a1,38:17:c3:24:58:a2,00:4e:35:df:27:12,x,y,timestamp
-79,-70,-70,-33,-65,-73,-65,-71,-71,-71,-73,-80,-80,-43,-73,-72,-72,-72,-77,-70,-65,-71,-82,-81,-72,-75,-75,-75,-50,-50,-75,-85,-86,-82,-73,-50,-85,-64,-53,-53,-74,-74,-75,-80,-81,-87,-86,-82,-82,-87,-53,-74,-75,-80,-83,-84,-81,-76,-83,-82,-87,-84,-84,-84,-90,-85,-91,-91,-83,-87,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,728,1795766361761
-78,-72,-73,-31,-64,-73,-64,-71,-71,-71,-73,-79,-79,-46,-65,-73,-72,-72,-77,-73,-64,-71,-82,-79,-72,-78,-77,-78,-50,-50,-75,-83,-83,-80,-73,-50,-83,-64,-54,-54,-75,-75,-75,-80,-81,-85,-86,-83,-82,-87,-54,-75,-75,-81,-84,-84,-81,-76,-82,-82,-87,-84,-85,-84,-90,-85,-91,-93,-83,-88,-92,-86,-75,-78,-78,-78,-79,-88,-93,-75,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,728,1800208212957
-65,-72,-72,-32,-64,-71,-64,-71,-71,-71,-71,-79,-79,-44,-75,-74,-72,-72,-77,-72,-64,-72,-84,-79,-72,-78,-77,-78,-51,-51,-100,-84,-83,-79,-71,-51,-83,-64,-54,-54,-76,-76,-100,-81,-80,-87,-85,-83,-85,-84,-54,-76,-100,-81,-84,-100,-84,-77,-83,-84,-100,-85,-85,-100,-100,-100,-88,-91,-84,-87,-100,-89,-77,-79,-77,-79,-78,-88,-93,-77,-78,-80,-78,-86,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,728,1804799266029
-77,-74,-74,-32,-63,-74,-63,-71,-72,-72,-73,-81,-81,-43,-73,-73,-72,-72,-77,-74,-63,-72,-83,-81,-72,-77,-76,-77,-51,-51,-100,-84,-82,-82,-74,-51,-84,-63,-53,-53,-76,-76,-77,-79,-78,-87,-85,-83,-85,-84,-53,-76,-100,-78,-84,-100,-84,-77,-83,-84,-100,-85,-91,-100,-100,-100,-88,-91,-84,-88,-100,-90,-77,-79,-79,-78,-79,-100,-100,-77,-78,-79,-78,-86,-89,-87,-78,-86,-79,-87,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,728,1809534991600
-77,-72,-72,-33,-63,-74,-63,-71,-71,-71,-74,-76,-76,-45,-74,-78,-72,-72,-100,-72,-63,-71,-82,-76,-72,-77,-76,-77,-50,-50,-74,-84,-82,-81,-73,-51,-83,-62,-54,-54,-74,-74,-76,-81,-81,-100,-100,-100,-83,-100,-53,-74,-76,-81,-83,-100,-83,-78,-82,-84,-87,-78,-91,-100,-100,-100,-90,-100,-84,-87,-100,-90,-100,-79,-79,-79,-78,-88,-92,-100,-78,-79,-78,-100,-89,-100,-78,-86,-79,-87,-78,-87,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,728,1814198809827
-78,-74,-74,-31,-64,-72,-64,-72,-72,-72,-72,-79,-79,-43,-77,-77,-72,-72,-100,-74,-64,-72,-83,-80,-70,-76,-76,-76,-51,-51,-74,-83,-83,-82,-72,-51,-83,-64,-53,-53,-75,-75,-75,-81,-81,-87,-85,-83,-83,-89,-53,-76,-76,-81,-85,-85,-83,-78,-82,-100,-88,-78,-100,-84,-100,-82,-89,-100,-84,-87,-90,-89,-100,-79,-77,-79,-77,-88,-94,-100,-78,-79,-78,-100,-89,-86,-77,-100,-76,-100,-78,-87,-78,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,728,1818961680763
-75,-71,-71,-29,-62,-72,-62,-76,-75,-76,-71,-82,-82,-49,-66,-76,-73,-73,-74,-71,-62,-76,-80,-82,-73,-72,-72,-72,-56,-56,-74,-86,-86,-88,-73,-56,-87,-62,-56,-56,-72,-72,-74,-79,-79,-100,-86,-82,-82,-88,-56,-72,-74,-79,-82,-85,-79,-100,-79,-87,-100,-100,-100,-84,-92,-84,-100,-91,-100,-87,-100,-90,-74,-77,-81,-77,-80,-100,-100,-100,-100,-78,-100,-100,-88,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,709,1878343200324
-77,-71,-72,-29,-62,-71,-61,-75,-75,-75,-71,-81,-81,-49,-72,-76,-73,-73,-75,-72,-62,-76,-80,-81,-73,-72,-72,-72,-56,-56,-74,-88,-87,-88,-70,-57,-87,-62,-55,-56,-72,-72,-74,-79,-80,-84,-86,-82,-82,-88,-56,-72,-73,-79,-83,-85,-79,-100,-80,-87,-87,-100,-100,-84,-88,-84,-100,-91,-100,-86,-100,-92,-74,-77,-80,-77,-81,-100,-100,-74,-81,-78,-100,-85,-90,-85,-75,-100,-75,-100,-75,-100,-100,-100,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,709,1882615276884
-75,-71,-71,-28,-62,-71,-62,-75,-75,-76,-71,-82,-81,-48,-72,-78,-73,-73,-75,-71,-62,-75,-78,-82,-73,-72,-72,-72,-56,-56,-74,-88,-87,-79,-72,-56,-88,-62,-56,-56,-72,-72,-73,-79,-80,-84,-86,-83,-82,-88,-56,-72,-73,-79,-83,-100,-78,-100,-77,-100,-87,-100,-83,-100,-88,-100,-90,-100,-100,-87,-100,-92,-74,-77,-80,-77,-81,-88,-100,-74,-81,-77,-100,-85,-89,-85,-75,-86,-75,-100,-74,-100,-100,-100,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,709,1887191925216
-75,-71,-71,-30,-62,-73,-62,-76,-75,-76,-72,-82,-81,-48,-67,-74,-73,-73,-74,-71,-63,-75,-78,-81,-73,-72,-72,-72,-56,-56,-74,-88,-87,-78,-73,-56,-87,-63,-56,-56,-72,-72,-73,-79,-78,-84,-100,-83,-82,-88,-57,-72,-74,-79,-83,-100,-78,-100,-78,-87,-86,-100,-83,-85,-90,-100,-90,-92,-87,-86,-91,-90,-74,-77,-81,-77,-80,-87,-100,-74,-81,-77,-100,-100,-89,-100,-74,-86,-75,-87,-75,-100,-100,-100,-100,-100,-81,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,267,709,1891938522454
