b0:be:76:f8:30:5e,00:4e:35:df:06:51,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,00:4e:35:df:06:52,00:4e:35:de:e1:12,80:8d:b7:55:25:f0,44:48:c1:a5:82:30,80:8d:b7:55:39:d0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,ea:9e:b4:53:24:54,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:39:c0,80:8d:b7:55:35:10,38:17:c3:1f:0e:10,38:17:c3:19:d7:70,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:35:01,38:17:c3:19:d7:62,80:8d:b7:55:35:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:92,38:17:c3:1f:01:91,00:4e:35:df:06:50,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,38:17:c3:19:d7:60,20:a6:cd:50:24:a1,66:2a:2f:53:7c:99,00:4e:35:de:e1:11,80:8d:b7:55:25:e2,80:8d:b7:55:25:e3,b4:5d:50:e1:92:33,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:a2,44:48:c1:a5:82:20,20:a6:cd:50:24:a0,80:8d:b7:55:25:e1,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,80:8d:b7:55:3a:50,38:17:c3:19:55:50,38:17:c3:19:d7:61,80:8d:b7:55:3a:42,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:1e:ff:01,b4:5d:50:e1:92:32,68:ff:7b:e4:af:39,b4:5d:50:e1:96:43,80:8d:b7:55:3a:40,20:a6:cd:50:24:b0,38:17:c3:1f:22:30,b4:5d:50:e1:92:31,38:17:c3:1e:ff:00,38:17:c3:1f:01:81,38:17:c3:1f:01:82,44:48:c1:a5:82:21,44:48:c1:a5:82:22,00:4e:35:de:e1:10,38:17:c3:19:55:52,38:17:c3:19:55:51,38:17:c3:19:45:a1,38:17:c3:1f:01:80,80:8d:b7:55:3a:41,72:32:b1:3e:1a:b7,38:17:c3:19:45:b1,38:17:c3:19:45:b2,00:4e:35:df:06:41,38:17:c3:1e:ff:02,b4:5d:50:e1:92:23,80:8d:b7:55:25:e0,38:17:c3:19:45:b0,00:4e:35:df:06:42,68:ff:7b:e4:af:38,38:17:c3:1e:ff:11,38:17:c3:1f:09:83,38:17:c3:19:71:90,b4:5d:50:e1:92:30,b4:5d:50:e1:96:53,b4:5d:50:e1:92:22,b4:5d:50:e1:96:50,00:4e:35:df:06:40,72:32:b1:3e:1a:b8,38:17:c3:19:45:a2,38:17:c3:19:71:91,00:4e:35:de:e1:00,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:1f:09:93,38:17:c3:19:45:a0,20:a6:cd:42:0b:f0,38:17:c3:19:71:92,20:a6:cd:42:0b:e3,38:17:c3:1f:09:90,38:17:c3:19:55:40,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,00:4e:35:de:d7:43,00:4e:35:de:e1:02,a8:bd:27:4c:bd:30,38:17:c3:1f:08:50,44:48:c1:91:95:b0,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,44:48:c1:91:95:b3,44:48:c1:91:95:b1,44:48:c1:91:95:b2,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:de:d7:53,00:4e:35:de:d7:52,00:4e:35:de:e1:01,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:1f:08:51,38:17:c3:1f:08:52,00:4e:35:de:d7:40,00:4e:35:de:d7:41,00:4e:35:de:d7:42,38:17:c3:19:36:30,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:a1,00:4e:35:df:0e:00,38:17:c3:1e:fc:a0,00:4e:35:df:0e:02,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:1f:0f:90,38:17:c3:24:4f:10,38:17:c3:24:58:a0,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,9c:d6:43:60:92:e0,x,y,timestamp
-82,-84,-76,-76,-76,-80,-80,-73,-73,-83,-87,-76,-80,-73,-76,-75,-64,-64,-64,-51,-55,-55,-76,-75,-75,-64,-55,-76,-82,-83,-72,-73,-72,-77,-72,-54,-53,-74,-74,-83,-53,-74,-77,-85,-89,-87,-74,-73,-89,-86,-84,-80,-84,-70,-76,-78,-86,-90,-80,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,724,765549770956
-76,-82,-77,-76,-76,-80,-80,-74,-74,-83,-89,-76,-80,-74,-76,-76,-64,-64,-64,-52,-52,-52,-77,-77,-75,-64,-52,-77,-82,-83,-72,-73,-72,-77,-72,-55,-55,-74,-74,-83,-55,-74,-78,-82,-92,-87,-76,-75,-90,-84,-82,-80,-84,-77,-79,-79,-86,-88,-79,-89,-78,-79,-86,-86,-86,-92,-89,-92,-77,-86,-88,-91,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,724,769948449131
-81,-82,-76,-75,-75,-80,-80,-73,-73,-83,-86,-75,-80,-73,-72,-73,-62,-62,-63,-50,-55,-55,-76,-76,-74,-63,-56,-76,-100,-100,-70,-76,-70,-77,-70,-56,-56,-100,-100,-82,-56,-100,-77,-82,-89,-88,-76,-55,-91,-86,-83,-81,-83,-77,-79,-78,-88,-68,-79,-90,-77,-79,-85,-85,-86,-92,-89,-92,-77,-85,-88,-90,-86,-75,-76,-80,-81,-86,-90,-90,-86,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,724,774531084598
-79,-83,-76,-76,-76,-79,-79,-74,-74,-83,-88,-76,-79,-74,-72,-74,-63,-63,-63,-49,-54,-54,-77,-76,-75,-64,-54,-77,-100,-84,-71,-80,-71,-77,-71,-55,-54,-76,-76,-83,-55,-76,-78,-100,-89,-87,-75,-72,-90,-79,-83,-81,-83,-76,-76,-77,-88,-68,-77,-90,-78,-77,-85,-86,-86,-100,-100,-91,-77,-85,-100,-93,-86,-75,-76,-79,-81,-86,-90,-90,-86,-75,-77,-85,-86,-86,-87,-87,-90,-76,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,724,779172777826
-83,-83,-76,-76,-76,-80,-79,-72,-72,-84,-86,-76,-80,-73,-100,-74,-63,-63,-63,-51,-52,-52,-76,-76,-74,-63,-52,-77,-100,-84,-70,-71,-70,-78,-70,-54,-54,-76,-76,-83,-54,-76,-78,-83,-90,-87,-75,-73,-93,-80,-82,-80,-83,-76,-76,-78,-100,-89,-77,-100,-78,-75,-86,-85,-84,-100,-100,-91,-76,-85,-89,-92,-85,-75,-75,-79,-100,-100,-100,-100,-86,-76,-76,-88,-86,-87,-87,-84,-90,-76,-86,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,724,783903392095
-81,-83,-77,-76,-77,-77,-78,-72,-72,-83,-87,-76,-78,-72,-74,-74,-63,-63,-63,-51,-54,-54,-76,-76,-74,-63,-54,-76,-100,-82,-69,-71,-69,-76,-70,-56,-56,-77,-77,-83,-56,-77,-77,-83,-80,-88,-74,-74,-91,-81,-83,-80,-84,-77,-100,-78,-86,-85,-100,-90,-76,-76,-83,-84,-84,-100,-73,-100,-77,-85,-90,-92,-85,-77,-75,-79,-80,-88,-100,-90,-86,-76,-76,-88,-86,-87,-100,-84,-90,-77,-86,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,724,788522536885
-76,-82,-72,-72,-72,-81,-81,-73,-73,-83,-88,-72,-81,-73,-67,-68,-63,-63,-63,-51,-54,-54,-82,-81,-69,-63,-54,-81,-81,-82,-70,-71,-72,-80,-70,-55,-55,-73,-73,-82,-56,-73,-81,-100,-90,-100,-74,-78,-91,-83,-100,-77,-100,-74,-78,-78,-100,-88,-78,-100,-80,-100,-85,-84,-100,-100,-88,-100,-100,-84,-88,-91,-100,-72,-72,-100,-77,-100,-100,-100,-100,-73,-100,-88,-100,-100,-100,-100,-100,-74,-100,-100,-87,-81,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,702,826599449370
-79,-82,-72,-72,-73,-80,-80,-74,-74,-80,-88,-72,-80,-75,-69,-69,-62,-62,-62,-49,-54,-54,-81,-81,-69,-62,-54,-81,-79,-80,-71,-76,-71,-81,-71,-56,-56,-74,-74,-80,-56,-74,-81,-85,-90,-100,-74,-74,-89,-84,-86,-77,-100,-74,-78,-78,-100,-88,-78,-100,-80,-80,-86,-85,-84,-100,-88,-100,-80,-86,-88,-90,-84,-72,-72,-77,-77,-100,-100,-100,-100,-71,-79,-86,-87,-86,-88,-83,-88,-74,-87,-100,-86,-79,-89,-89,-91,-91,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,702,831073528327
-71,-81,-72,-72,-72,-80,-79,-74,-69,-82,-88,-72,-80,-74,-69,-69,-63,-63,-63,-49,-54,-54,-80,-81,-69,-63,-54,-81,-79,-80,-71,-68,-71,-81,-71,-55,-55,-73,-73,-81,-55,-74,-80,-85,-87,-100,-100,-78,-89,-82,-86,-78,-100,-100,-78,-77,-100,-88,-80,-100,-81,-80,-85,-85,-84,-100,-100,-100,-80,-85,-100,-90,-84,-72,-70,-78,-77,-100,-100,-100,-100,-71,-80,-86,-87,-86,-86,-82,-85,-100,-87,-85,-89,-79,-91,-89,-91,-91,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,702,835765844210
-79,-82,-72,-72,-72,-79,-79,-74,-74,-82,-100,-72,-79,-74,-69,-69,-63,-63,-63,-48,-54,-54,-81,-81,-69,-63,-54,-80,-81,-82,-71,-72,-72,-80,-72,-55,-55,-73,-73,-81,-55,-74,-80,-100,-87,-100,-100,-79,-91,-74,-85,-78,-100,-100,-78,-77,-100,-88,-77,-100,-81,-79,-86,-85,-82,-100,-89,-100,-80,-85,-100,-91,-83,-72,-71,-77,-77,-100,-100,-100,-100,-71,-79,-100,-88,-88,-86,-83,-89,-75,-88,-87,-89,-80,-92,-88,-100,-92,-100,-92,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,702,840409437646
