b0:be:76:f8:30:5e,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:39:c2,ea:9e:b4:53:24:54,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,38:17:c3:1f:0e:01,38:17:c3:19:d7:72,38:17:c3:19:d7:71,38:17:c3:1f:0e:02,80:8d:b7:55:3a:50,80:8d:b7:55:39:d0,80:8d:b7:55:39:c0,44:48:c1:a5:82:30,80:8d:b7:55:25:f0,00:4e:35:de:e1:12,80:8d:b7:55:35:00,38:17:c3:19:d7:70,38:17:c3:1e:ff:10,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,20:a6:cd:50:24:b2,38:17:c3:1f:0e:00,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:0e:10,38:17:c3:1f:01:90,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:39:c1,38:17:c3:19:d7:61,20:a6:cd:50:24:b1,80:8d:b7:55:35:10,00:4e:35:df:06:52,20:a6:cd:50:24:b0,20:a6:cd:50:24:a2,80:8d:b7:55:35:03,80:8d:b7:55:35:02,80:8d:b7:55:25:e3,44:48:c1:a5:82:21,38:17:c3:19:45:b2,38:17:c3:19:45:b1,b4:5d:50:e1:92:23,80:8d:b7:55:3a:40,38:17:c3:1f:22:30,66:2a:2f:53:7c:99,38:17:c3:1f:01:82,00:4e:35:df:06:50,44:48:c1:a5:82:22,60:32:b1:3e:1a:b7,00:4e:35:df:06:51,00:4e:35:df:06:40,38:17:c3:1f:22:32,00:4e:35:de:e1:11,ac:e2:d3:c4:08:e6,00:4e:35:df:06:41,20:a6:cd:50:24:a1,60:32:b1:3e:1a:b8,68:ff:7b:e4:af:39,44:48:c1:a5:82:20,80:8d:b7:55:35:01,38:17:c3:19:d7:62,38:17:c3:1f:01:81,00:4e:35:de:e1:10,b4:5d:50:e1:92:33,38:17:c3:19:d7:60,38:17:c3:19:71:90,b4:5d:50:e1:92:31,20:a6:cd:50:24:a0,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,00:4e:35:df:06:42,72:32:b1:3e:1a:b7,38:17:c3:19:45:a2,38:17:c3:1e:ff:02,38:17:c3:19:55:51,38:17:c3:19:55:52,38:17:c3:19:45:a1,38:17:c3:1f:01:80,38:17:c3:19:45:b0,38:17:c3:19:55:50,38:17:c3:19:45:a0,38:17:c3:1e:ff:01,80:8d:b7:55:25:e0,38:17:c3:1e:ff:00,72:32:b1:3e:1a:b8,38:17:c3:19:55:40,20:a6:cd:42:0b:e3,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,38:17:c3:1f:09:83,38:17:c3:1f:09:90,68:ff:7b:e4:af:38,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,38:17:c3:1f:22:31,00:4e:35:de:e1:00,44:48:c1:91:95:b3,00:4e:35:de:e1:02,b4:5d:50:e1:92:32,00:4e:35:de:e1:01,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:92:30,38:17:c3:19:55:41,38:17:c3:1f:09:93,38:17:c3:19:71:91,20:a6:cd:42:0b:f3,b4:5d:50:e1:92:21,20:a6:cd:42:0b:f0,20:a6:cd:42:0b:f1,38:17:c3:19:55:42,20:a6:cd:42:0b:f2,38:17:c3:1f:08:50,38:17:c3:19:71:92,b4:5d:50:e1:92:22,b4:5d:50:e1:92:20,44:48:c1:91:95:b2,00:4e:35:de:d7:53,38:17:c3:1f:08:42,a8:bd:27:4c:bd:30,44:48:c1:91:95:b0,a8:bd:27:4c:bd:22,00:4e:35:de:d7:52,44:48:c1:91:95:b1,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1f:08:40,00:4e:35:df:0e:12,38:17:c3:1f:08:41,00:4e:35:de:d7:50,00:4e:35:de:d7:51,a8:bd:27:4c:bd:21,38:17:c3:1f:22:22,38:17:c3:1f:08:52,38:17:c3:1f:08:51,38:17:c3:19:71:81,38:17:c3:19:71:82,00:4e:35:de:d7:41,38:17:c3:19:71:80,00:4e:35:de:d7:42,a8:bd:27:4c:bd:20,38:17:c3:1f:22:21,00:4e:35:de:d7:43,00:4e:35:de:d7:40,38:17:c3:1e:fc:b0,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1f:22:20,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:b2,00:4e:35:df:0e:02,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:a1,64:e5:99:c3:13:3c,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:4f:10,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:1b:08:b0,38:17:c3:1f:0f:90,38:17:c3:24:58:a2,38:17:c3:24:4f:01,38:17:c3:24:4f:02,38:17:c3:24:4f:00,38:17:c3:1b:08:b2,38:17:c3:1b:08:a2,38:17:c3:1b:08:a0,38:17:c3:1b:08:a1,38:17:c3:1b:08:b1,9c:d6:43:60:92:e0,x,y,timestamp
-76,-74,-74,-73,-73,-71,-48,-77,-78,-77,-78,-77,-54,-74,-75,-54,-74,-73,-72,-78,-77,-88,-71,-75,-84,-83,-84,-89,-54,-47,-48,-74,-74,-48,-75,-67,-67,-67,-72,-75,-89,-67,-82,-89,-87,-69,-70,-75,-80,-85,-87,-91,-80,-88,-81,-74,-78,-75,-83,-82,-81,-87,-87,-84,-86,-86,-86,-90,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,651,2569611602300
-77,-75,-75,-75,-75,-73,-50,-81,-81,-78,-78,-78,-54,-74,-74,-54,-76,-76,-72,-81,-78,-88,-71,-74,-84,-85,-84,-90,-54,-47,-47,-73,-73,-47,-73,-67,-67,-67,-73,-76,-89,-67,-81,-89,-87,-73,-71,-74,-78,-87,-87,-91,-80,-88,-81,-74,-81,-79,-83,-82,-81,-88,-88,-84,-88,-86,-86,-90,-79,-71,-76,-76,-89,-93,-76,-89,-90,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,651,2574082002455
-76,-76,-76,-75,-75,-73,-49,-82,-82,-78,-78,-78,-54,-76,-75,-54,-76,-75,-73,-82,-78,-87,-71,-75,-84,-85,-84,-90,-55,-47,-47,-73,-73,-47,-73,-69,-69,-68,-73,-76,-89,-69,-81,-89,-100,-73,-71,-75,-78,-88,-100,-100,-80,-87,-91,-74,-81,-79,-83,-82,-87,-88,-88,-84,-86,-88,-100,-100,-79,-71,-77,-76,-89,-89,-76,-89,-90,-87,-79,-79,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,651,2578739243026
-76,-76,-76,-77,-76,-73,-49,-80,-80,-78,-77,-78,-54,-75,-75,-54,-76,-77,-73,-81,-78,-86,-71,-75,-85,-84,-85,-89,-54,-48,-48,-73,-74,-48,-73,-69,-69,-69,-73,-100,-89,-69,-81,-89,-100,-70,-70,-75,-78,-87,-100,-100,-80,-89,-91,-74,-81,-78,-84,-82,-87,-100,-86,-84,-87,-88,-100,-100,-79,-71,-76,-74,-100,-89,-75,-100,-100,-100,-80,-80,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,651,2583306663180
-78,-75,-75,-75,-74,-73,-48,-81,-81,-78,-78,-78,-54,-74,-75,-54,-76,-75,-73,-81,-79,-87,-72,-75,-84,-83,-83,-87,-54,-48,-47,-73,-73,-48,-74,-68,-68,-68,-73,-76,-89,-68,-81,-88,-100,-68,-71,-72,-78,-89,-100,-100,-79,-89,-91,-74,-82,-79,-84,-82,-100,-100,-86,-100,-87,-85,-100,-100,-79,-72,-77,-74,-100,-89,-77,-100,-100,-100,-80,-79,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,651,2587841018022
-76,-76,-75,-77,-77,-73,-48,-80,-79,-78,-79,-78,-54,-75,-75,-54,-76,-77,-74,-80,-78,-88,-72,-75,-84,-83,-83,-89,-54,-47,-47,-73,-72,-47,-72,-68,-68,-68,-73,-76,-88,-68,-84,-88,-87,-70,-71,-75,-78,-87,-87,-93,-79,-89,-91,-73,-82,-79,-84,-83,-100,-100,-100,-58,-100,-85,-89,-100,-78,-72,-74,-73,-100,-89,-76,-100,-100,-100,-79,-79,-100,-84,-84,-84,-88,-90,-85,-72,-88,-89,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,651,2592376847604
-73,-100,-100,-68,-68,-69,-51,-80,-80,-73,-74,-74,-57,-75,-75,-56,-100,-68,-69,-80,-74,-100,-100,-75,-80,-79,-80,-82,-56,-56,-56,-74,-74,-56,-75,-66,-66,-66,-70,-81,-82,-66,-100,-83,-100,-70,-73,-71,-76,-83,-83,-100,-78,-100,-91,-100,-85,-75,-100,-85,-100,-100,-100,-81,-100,-100,-100,-100,-75,-100,-80,-73,-87,-100,-80,-90,-100,-100,-78,-78,-100,-87,-100,-84,-100,-100,-100,-72,-83,-93,-100,-85,-73,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,634,2656778911121
-72,-77,-77,-68,-67,-70,-52,-80,-80,-74,-74,-74,-57,-75,-74,-56,-77,-68,-70,-80,-74,-88,-73,-75,-79,-79,-80,-83,-57,-55,-55,-74,-75,-55,-75,-67,-67,-67,-70,-81,-82,-67,-84,-82,-100,-66,-72,-67,-75,-83,-83,-100,-77,-100,-89,-100,-84,-75,-87,-84,-100,-100,-100,-80,-100,-100,-100,-100,-75,-72,-82,-72,-87,-92,-81,-90,-100,-100,-76,-78,-100,-87,-100,-84,-100,-100,-100,-72,-83,-93,-100,-85,-73,-81,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,634,2661144911119
-70,-79,-78,-70,-70,-70,-51,-80,-80,-75,-75,-75,-60,-74,-74,-60,-78,-69,-70,-80,-75,-87,-71,-74,-77,-77,-77,-85,-60,-54,-54,-78,-78,-54,-78,-66,-66,-66,-70,-81,-85,-66,-80,-85,-100,-76,-72,-67,-76,-82,-82,-100,-80,-100,-89,-100,-80,-76,-87,-80,-100,-100,-100,-80,-100,-100,-100,-93,-76,-72,-82,-72,-100,-92,-78,-100,-100,-85,-80,-78,-87,-87,-100,-84,-100,-100,-100,-73,-82,-91,-100,-85,-100,-85,-89,-87,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,634,2665718236430
-70,-78,-79,-70,-69,-69,-51,-80,-80,-76,-76,-75,-60,-74,-74,-60,-79,-70,-100,-80,-77,-89,-72,-74,-76,-76,-77,-86,-60,-53,-53,-77,-78,-53,-78,-66,-66,-66,-70,-78,-86,-66,-81,-85,-100,-72,-72,-79,-76,-81,-81,-87,-81,-100,-89,-100,-80,-76,-100,-82,-100,-100,-100,-60,-100,-88,-88,-93,-76,-72,-78,-100,-100,-90,-78,-100,-100,-85,-80,-80,-87,-89,-86,-84,-100,-100,-100,-73,-82,-91,-100,-85,-100,-85,-100,-100,-91,-81,-82,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,634,2670348199293
