38:17:c3:1f:00:b1,38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:a1,38:17:c3:1f:14:11,38:17:c3:1f:14:12,38:17:c3:1f:09:83,38:17:c3:1f:14:10,66:2a:2f:53:7c:99,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,38:17:c3:1f:14:02,44:48:c1:91:d0:14,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:c3,44:48:c1:91:d0:04,b4:5d:50:e1:96:43,44:48:c1:91:95:a3,20:a6:cd:42:0a:d2,38:17:c3:1f:09:90,44:48:c1:91:d0:12,44:48:c1:91:d0:10,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d0,38:17:c3:24:47:51,38:17:c3:24:47:52,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,38:17:c3:1f:09:93,44:48:c1:91:95:b1,38:17:c3:1f:09:91,38:17:c3:1f:09:92,44:48:c1:91:95:b3,38:17:c3:1f:14:01,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,38:17:c3:1f:19:d2,38:17:c3:1f:19:d1,44:48:c1:91:d0:11,38:17:c3:24:47:50,20:a6:cd:42:0a:c2,b4:5d:50:e1:96:50,44:48:c1:91:95:b2,38:17:c3:1f:14:00,9c:d6:43:60:92:e0,38:17:c3:1f:19:d0,72:32:b1:3e:1a:b7,44:48:c1:91:95:b0,20:a6:cd:42:0a:c0,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:92,a8:bd:27:4c:aa:90,38:17:c3:1f:00:a2,38:17:c3:1f:09:82,38:17:c3:1f:09:81,38:17:c3:1f:00:a0,38:17:c3:19:45:b2,38:17:c3:19:45:b1,20:a6:cd:42:0a:c1,38:17:c3:19:45:b0,b4:5d:50:e1:96:40,a8:bd:27:4c:aa:83,44:48:c1:91:d0:02,38:17:c3:1f:09:80,44:48:c1:91:d0:01,44:48:c1:91:d0:00,a8:bd:27:4c:aa:81,a8:bd:27:4c:aa:82,a8:bd:27:4c:aa:80,ac:e2:d3:c4:08:e6,38:17:c3:19:45:a0,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:19:d7:70,44:48:c1:91:95:a1,44:48:c1:91:95:a0,44:48:c1:91:95:a2,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,38:17:c3:1f:19:f1,80:8d:b7:55:25:e3,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e0,38:17:c3:19:d7:62,38:17:c3:19:d7:60,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,38:17:c3:19:d7:61,20:a6:cd:42:0b:f2,38:17:c3:19:36:30,80:8d:b7:55:35:03,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,38:17:c3:19:36:31,38:17:c3:19:36:32,80:8d:b7:55:35:10,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,38:17:c3:1e:ff:10,80:8d:b7:55:3a:51,68:ff:7b:e4:af:39,80:8d:b7:55:25:e0,b0:be:76:f8:30:5e,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,80:8d:b7:55:35:00,68:ff:7b:e4:af:38,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:3a:40,38:17:c3:1e:ff:11,ea:9e:b4:53:24:54,38:17:c3:19:71:90,80:8d:b7:55:39:d0,38:17:c3:1e:ff:12,38:17:c3:19:71:91,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:19:71:92,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,20:a6:cd:50:24:a0,38:17:c3:19:71:82,38:17:c3:1e:ff:00,38:17:c3:19:71:80,80:8d:b7:55:39:c0,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,80:8d:b7:55:29:d0,80:8d:b7:55:29:c1,80:8d:b7:55:29:c2,80:8d:b7:55:29:c0,00:4e:35:df:06:52,38:17:c3:1f:22:30,00:4e:35:df:06:42,00:4e:35:df:06:41,00:4e:35:df:06:40,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b0,00:4e:35:df:06:50,00:4e:35:de:e1:12,38:17:c3:1f:22:22,38:17:c3:1f:22:20,00:4e:35:df:06:51,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:1f:0e:10,38:17:c3:1f:22:21,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,80:8d:b7:55:4d:02,80:8d:b7:55:4d:00,x,y,timestamp
-65,-65,-65,-69,-78,-78,-83,-78,-93,-67,-61,-58,-73,-72,-80,-74,-79,-76,-80,-80,-81,-72,-72,-80,-81,-80,-81,-79,-78,-78,-81,-82,-81,-80,-82,-73,-77,-76,-85,-84,-72,-81,-75,-79,-83,-73,-76,-85,-64,-82,-75,-88,-88,-87,-86,-69,-80,-80,-69,-82,-81,-75,-83,-77,-82,-82,-79,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,734,814427041719
-66,-65,-66,-68,-80,-79,-84,-80,-93,-66,-62,-62,-74,-72,-77,-71,-80,-75,-79,-77,-79,-72,-73,-77,-77,-81,-81,-80,-80,-81,-79,-81,-80,-79,-82,-74,-77,-76,-85,-84,-73,-81,-74,-81,-82,-75,-75,-85,-66,-81,-75,-88,-88,-87,-86,-67,-80,-81,-69,-81,-82,-74,-81,-77,-82,-82,-80,-81,-82,-82,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,734,818927242811
-66,-65,-66,-70,-79,-79,-83,-79,-92,-65,-57,-58,-75,-72,-77,-75,-79,-76,-80,-77,-77,-72,-72,-77,-77,-81,-82,-80,-80,-77,-80,-83,-75,-80,-82,-73,-100,-75,-83,-84,-72,-81,-74,-81,-82,-74,-76,-83,-65,-83,-75,-100,-100,-100,-100,-70,-79,-78,-70,-81,-81,-74,-81,-76,-82,-81,-80,-81,-81,-82,-83,-83,-87,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,734,823523064736
-65,-65,-65,-61,-80,-79,-80,-80,-90,-65,-63,-59,-74,-73,-76,-72,-83,-76,-79,-77,-79,-73,-73,-77,-77,-83,-82,-78,-78,-78,-79,-82,-79,-79,-82,-74,-76,-76,-84,-84,-73,-83,-75,-78,-81,-74,-77,-84,-65,-82,-75,-85,-87,-86,-86,-70,-80,-80,-71,-81,-81,-74,-81,-76,-81,-81,-81,-81,-81,-82,-83,-83,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,734,828016674266
-65,-65,-65,-70,-80,-79,-86,-80,-91,-65,-63,-60,-74,-73,-77,-74,-83,-73,-80,-78,-79,-73,-73,-78,-78,-82,-81,-79,-79,-79,-79,-81,-79,-79,-82,-74,-76,-76,-83,-84,-73,-82,-75,-79,-82,-74,-76,-84,-65,-83,-75,-85,-85,-86,-85,-70,-80,-80,-70,-81,-81,-75,-81,-76,-81,-80,-81,-81,-80,-100,-100,-100,-100,-85,-84,-85,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,734,832441465410
-67,-67,-67,-70,-80,-80,-84,-80,-91,-65,-64,-60,-74,-74,-78,-69,-81,-74,-77,-78,-79,-74,-74,-78,-78,-81,-81,-79,-79,-79,-80,-81,-79,-79,-82,-74,-77,-75,-84,-85,-74,-81,-75,-79,-81,-74,-79,-84,-65,-82,-75,-86,-86,-86,-87,-70,-82,-100,-70,-81,-81,-74,-81,-76,-82,-80,-100,-81,-82,-83,-83,-83,-100,-83,-84,-84,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,734,837044591763
-59,-59,-60,-71,-100,-100,-83,-100,-100,-58,-61,-63,-76,-79,-77,-79,-75,-83,-75,-78,-84,-78,-79,-77,-78,-86,-85,-80,-79,-80,-83,-100,-83,-84,-87,-76,-100,-100,-86,-85,-79,-84,-100,-80,-88,-76,-75,-85,-58,-87,-100,-87,-87,-88,-87,-72,-80,-79,-71,-84,-84,-78,-84,-100,-85,-77,-80,-77,-77,-82,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,719,878711835236
-60,-59,-60,-71,-83,-83,-83,-83,-100,-59,-62,-63,-76,-79,-77,-79,-76,-83,-85,-77,-84,-79,-80,-77,-77,-85,-85,-82,-82,-81,-83,-85,-83,-84,-86,-76,-79,-100,-85,-85,-79,-85,-78,-82,-87,-76,-75,-86,-58,-85,-78,-87,-88,-88,-87,-71,-80,-80,-72,-84,-83,-79,-85,-100,-84,-77,-80,-77,-77,-82,-83,-83,-100,-89,-87,-87,-100,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,719,883122962526
-61,-59,-61,-71,-83,-82,-83,-82,-100,-58,-63,-61,-75,-77,-78,-77,-75,-77,-85,-78,-82,-77,-77,-78,-78,-87,-86,-82,-82,-79,-82,-85,-82,-82,-87,-74,-79,-100,-84,-84,-78,-87,-79,-79,-88,-75,-75,-84,-100,-85,-79,-87,-88,-88,-87,-71,-80,-80,-71,-84,-83,-78,-85,-100,-84,-77,-81,-76,-76,-82,-81,-100,-100,-89,-87,-87,-100,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,719,887726795181
-59,-59,-59,-71,-81,-81,-85,-82,-100,-57,-62,-60,-75,-79,-78,-79,-76,-78,-84,-79,-84,-79,-79,-78,-79,-87,-86,-78,-100,-78,-83,-100,-84,-83,-88,-75,-79,-79,-85,-84,-79,-86,-78,-78,-89,-75,-72,-85,-100,-100,-79,-100,-100,-100,-100,-71,-80,-79,-71,-84,-84,-78,-84,-100,-83,-77,-80,-76,-76,-82,-81,-100,-100,-100,-100,-100,-100,-86,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,144,719,892208046533
