bssid,ssid,capabilities,frequency
38:17:c3:1f:00:b0,csu-guest,[ESS],5825
60:32:b1:3e:1a:b7,LIMS,[WPA2-PSK-CCMP][WPS][ESS],5745
38:17:c3:1f:00:b2,eduroam,[WPA2-EAP-CCMP][ESS],5825
60:32:b1:3e:1a:b8,LIMS,[WPA2-PSK-CCMP][WPS][ESS],2457
72:32:b1:3e:1a:b8,,[WPA2-PSK-CCMP][ESS],2457
38:17:c3:1f:00:b1,csu-eid,[WPA2-EAP-CCMP][ESS],5825
38:17:c3:1f:00:a1,csu-eid,[WPA2-EAP-CCMP][ESS],2412
44:48:c1:91:d0:14,engr_labs,[WPA2-PSK-CCMP][ESS],5785
20:a6:cd:42:0a:c3,engr_labs,[WPA2-PSK-CCMP][ESS],2412
44:48:c1:91:d0:04,engr_labs,[WPA2-PSK-CCMP][ESS],2437
20:a6:cd:42:0a:c1,eduroam,[WPA2-EAP-CCMP][ESS],2412
b4:5d:50:e1:96:52,eduroam,[WPA2-EAP-CCMP][ESS],5180
b4:5d:50:e1:96:51,csu-eid,[WPA2-EAP-CCMP][ESS],5180
44:48:c1:91:d0:12,eduroam,[WPA2-EAP-CCMP][ESS],5785
44:48:c1:91:d0:10,csu-eid,[WPA2-EAP-CCMP][ESS],5785
b4:5d:50:e1:96:53,engr_labs,[WPA2-PSK-CCMP][ESS],5180
38:17:c3:1f:09:91,csu-eid,[WPA2-EAP-CCMP][ESS],5765
38:17:c3:24:47:52,eduroam,[WPA2-EAP-CCMP][ESS],5680
38:17:c3:1f:09:92,eduroam,[WPA2-EAP-CCMP][ESS],5765
38:17:c3:1f:09:93,engr_labs,[WPA2-PSK-CCMP][ESS],5765
38:17:c3:24:47:51,csu-eid,[WPA2-EAP-CCMP][ESS],5680
38:17:c3:1f:19:d1,csu-eid,[WPA2-EAP-CCMP][ESS],5220
38:17:c3:1f:19:d2,eduroam,[WPA2-EAP-CCMP][ESS],5220
38:17:c3:1f:14:11,csu-eid,[WPA2-EAP-CCMP][ESS],5200
38:17:c3:1f:14:12,eduroam,[WPA2-EAP-CCMP][ESS],5200
44:48:c1:91:95:a3,engr_labs,[WPA2-PSK-CCMP][ESS],2437
38:17:c3:1f:00:a0,csu-guest,[ESS],2412
44:48:c1:91:d0:11,csu-guest,[ESS],5785
b4:5d:50:e1:96:50,csu-guest,[ESS],5180
38:17:c3:1f:09:90,csu-guest,[ESS],5765
38:17:c3:24:47:50,csu-guest,[ESS],5680
9c:d6:43:60:92:e0,Ember WiFi B689K4,[ESS],2437
38:17:c3:1f:19:d0,csu-guest,[ESS],5220
38:17:c3:1f:14:10,csu-guest,[ESS],5200
38:17:c3:19:45:b2,eduroam,[WPA2-EAP-CCMP][ESS],5180
38:17:c3:19:45:b1,csu-eid,[WPA2-EAP-CCMP][ESS],5180
38:17:c3:1f:14:02,eduroam,[WPA2-EAP-CCMP][ESS],2462
38:17:c3:1f:14:01,csu-eid,[WPA2-EAP-CCMP][ESS],2462
a8:bd:27:4c:aa:93,engr_labs,[WPA2-PSK-CCMP][ESS],5805
38:17:c3:19:45:b0,csu-guest,[ESS],5180
38:17:c3:1f:00:a2,eduroam,[WPA2-EAP-CCMP][ESS],2412
b4:5d:50:e1:96:41,csu-eid,[WPA2-EAP-CCMP][ESS],2437
a8:bd:27:4c:aa:81,csu-eid,[WPA2-EAP-CCMP][ESS],2412
a8:bd:27:4c:aa:82,eduroam,[WPA2-EAP-CCMP][ESS],2412
