_id,x,y,bssid,ssid,capabilities,frequency,level,atTimestamp
1,141.07626342773438,760.0523681640625,20:a6:cd:42:0a:c0,csu-eid,[WPA2-EAP-CCMP][ESS],2412.0,-78.0,568768310041.0
2,141.07626342773438,760.0523681640625,20:a6:cd:42:0a:c1,eduroam,[WPA2-EAP-CCMP][ESS],2412.0,-76.0,568768310041.0
3,141.07626342773438,760.0523681640625,44:48:c1:91:95:a0,csu-eid,[WPA2-EAP-CCMP][ESS],2437.0,-87.0,568768310041.0
4,141.07626342773438,760.0523681640625,44:48:c1:91:95:a1,eduroam,[WPA2-EAP-CCMP][ESS],2437.0,-86.0,568768310041.0
5,141.07626342773438,760.0523681640625,20:a6:cd:42:0a:c2,csu-guest,[ESS],2412.0,-79.0,568768310041.0
6,141.07626342773438,760.0523681640625,44:48:c1:91:95:a3,engr_labs,[WPA2-PSK-CCMP][ESS],2437.0,-84.0,568768310041.0
7,141.07626342773438,760.0523681640625,20:a6:cd:42:0a:c3,engr_labs,[WPA2-PSK-CCMP][ESS],2412.0,-72.0,568768310041.0
8,141.07626342773438,760.0523681640625,44:48:c1:91:d0:00,csu-eid,[WPA2-EAP-CCMP][ESS],2437.0,-82.0,568768310041.0
9,141.07626342773438,760.0523681640625,44:48:c1:91:d0:01,csu-guest,[ESS],2437.0,-83.0,568768310041.0
10,141.07626342773438,760.0523681640625,44:48:c1:91:d0:02,eduroam,[WPA2-EAP-CCMP][ESS],2437.0,-82.0,568768310041.0
11,141.07626342773438,760.0523681640625,38:17:c3:19:45:a1,csu-eid,[WPA2-EAP-CCMP][ESS],2437.0,-85.0,568768310041.0
12,141.07626342773438,760.0523681640625,38:17:c3:19:45:a2,eduroam,[WPA2-EAP-CCMP][ESS],2437.0,-86.0,568768310041.0
13,141.07626342773438,760.0523681640625,b6:e6:2d:69:d5:58,ESP_69D558,[ESS],2437.0,-93.0,568768310041.0
14,141.07626342773438,760.0523681640625,38:17:c3:19:45:a0,csu-guest,[ESS],2437.0,-86.0,568768310041.0
15,141.07626342773438,760.0523681640625,38:17:c3:1f:19:d2,eduroam,[WPA2-EAP-CCMP][ESS],5220.0,-84.0,568768310041.0
16,141.07626342773438,760.0523681640625,38:17:c3:1f:19:d0,csu-guest,[ESS],5220.0,-84.0,568768310041.0
17,141.07626342773438,760.0523681640625,38:17:c3:1f:19:d1,csu-eid,[WPA2-EAP-CCMP][ESS],5220.0,-84.0,568768310041.0
18,141.07626342773438,760.0523681640625,20:a6:cd:42:0a:d1,eduroam,[WPA2-EAP-CCMP][ESS],5240.0,-70.0,568768310041.0
19,141.07626342773438,760.0523681640625,38:17:c3:1f:14:10,csu-guest,[ESS],5200.0,-77.0,568768310041.0
20,141.07626342773438,760.0523681640625,20:a6:cd:42:0a:d2,csu-guest,[ESS],5240.0,-70.0,568768310041.0
21,141.07626342773438,760.0523681640625,38:17:c3:1f:14:11,csu-eid,[WPA2-EAP-CCMP][ESS],5200.0,-77.0,568768310041.0
22,141.07626342773438,760.0523681640625,38:17:c3:1f:00:b0,csu-guest,[ESS],5825.0,-60.0,568768310041.0
23,141.07626342773438,760.0523681640625,38:17:c3:1f:14:12,eduroam,[WPA2-EAP-CCMP][ESS],5200.0,-77.0,568768310041.0
24,141.07626342773438,760.0523681640625,38:17:c3:1f:00:b1,csu-eid,[WPA2-EAP-CCMP][ESS],5825.0,-59.0,568768310041.0
25,141.07626342773438,760.0523681640625,20:a6:cd:42:0a:d0,csu-eid,[WPA2-EAP-CCMP][ESS],5240.0,-70.0,568768310041.0
26,141.07626342773438,760.0523681640625,9c:d6:43:60:92:e0,Ember WiFi B689K4,[ESS],2437.0,-81.0,568768310041.0
27,141.07626342773438,760.0523681640625,44:48:c1:91:aa:30,csu-guest,[ESS],5825.0,-84.0,568768310041.0
28,141.07626342773438,760.0523681640625,20:a6:cd:42:0a:d3,engr_labs,[WPA2-PSK-CCMP][ESS],5240.0,-70.0,568768310041.0
29,141.07626342773438,760.0523681640625,44:48:c1:91:aa:31,csu-eid,[WPA2-EAP-CCMP][ESS],5825.0,-84.0,568768310041.0
30,141.07626342773438,760.0523681640625,44:48:c1:91:aa:32,eduroam,[WPA2-EAP-CCMP][ESS],5825.0,-84.0,568768310041.0
31,141.07626342773438,760.0523681640625,44:48:c1:91:d0:11,csu-guest,[ESS],5785.0,-70.0,568768310041.0
32,141.07626342773438,760.0523681640625,44:48:c1:91:d0:12,eduroam,[WPA2-EAP-CCMP][ESS],5785.0,-69.0,568768310041.0
33,141.07626342773438,760.0523681640625,44:48:c1:91:d0:14,engr_labs,[WPA2-PSK-CCMP][ESS],5785.0,-68.0,568768310041.0
34,141.07626342773438,760.0523681640625,44:48:c1:91:d0:10,csu-eid,[WPA2-EAP-CCMP][ESS],5785.0,-69.0,568768310041.0
35,141.07626342773438,760.0523681640625,b4:5d:50:e1:96:50,csu-guest,[ESS],5180.0,-75.0,568768310041.0
