_id,x,y,bssid,ssid,capabilities,frequency,level,atTimestamp
1,261.5,780.5,b8:27:eb:9f:6b:77,raspi-webgui,[WPA2-PSK-CCMP][ESS],2412.0,-34.0,1893000335710.0
2,261.5,780.5,38:17:c3:1f:0e:10,csu-guest,[ESS],5180.0,-47.0,1893000335710.0
3,261.5,780.5,38:17:c3:1f:0e:11,csu-eid,[WPA2-EAP-CCMP][ESS],5180.0,-47.0,1893000335710.0
4,261.5,780.5,38:17:c3:1f:0e:12,eduroam,[WPA2-EAP-CCMP][ESS],5180.0,-47.0,1893000335710.0
5,261.5,780.5,ea:9e:b4:53:24:54,DIRECT-54-HP M227f LaserJet,[WPA2-PSK-CCMP][ESS][WPS],2437.0,-52.0,1893000335710.0
6,261.5,780.5,38:17:c3:1f:0e:00,csu-guest,[ESS],2412.0,-55.0,1893000335710.0
7,261.5,780.5,38:17:c3:1f:0e:02,eduroam,[WPA2-EAP-CCMP][ESS],2412.0,-56.0,1893000335710.0
8,261.5,780.5,38:17:c3:1f:0e:01,csu-eid,[WPA2-EAP-CCMP][ESS],2412.0,-57.0,1893000335710.0
9,261.5,780.5,80:8d:b7:55:35:11,csu-eid,[WPA2-EAP-CCMP][ESS],5765.0,-63.0,1893000335710.0
10,261.5,780.5,80:8d:b7:55:35:12,eduroam,[WPA2-EAP-CCMP][ESS],5765.0,-63.0,1893000335710.0
11,261.5,780.5,80:8d:b7:55:35:13,engr_labs,[WPA2-PSK-CCMP][ESS],5765.0,-63.0,1893000335710.0
12,261.5,780.5,80:8d:b7:55:35:10,csu-guest,[ESS],5765.0,-64.0,1893000335710.0
13,261.5,780.5,80:8d:b7:55:39:d0,csu-guest,[ESS],5240.0,-69.0,1893000335710.0
14,261.5,780.5,38:17:c3:1f:01:92,eduroam,[WPA2-EAP-CCMP][ESS],5220.0,-70.0,1893000335710.0
15,261.5,780.5,38:17:c3:1f:01:90,csu-guest,[ESS],5220.0,-71.0,1893000335710.0
