_id,x,y,bssid,ssid,capabilities,frequency,level,atTimestamp
1,112.92681121826172,761.8450317382812,60:32:b1:3e:1a:b8,LIMS,[WPA2-PSK-CCMP][ESS][WPS],2457.0,-56.0,508518631367.0
2,112.92681121826172,761.8450317382812,72:32:b1:3e:1a:b8,,[WPA2-PSK-CCMP][ESS],2457.0,-59.0,508518631367.0
3,112.92681121826172,761.8450317382812,60:32:b1:3e:1a:b7,LIMS,[WPA2-PSK-CCMP][ESS][WPS],5745.0,-60.0,508518631367.0
4,112.92681121826172,761.8450317382812,38:17:c3:1f:00:b0,csu-guest,[ESS],5825.0,-64.0,508518631367.0
5,112.92681121826172,761.8450317382812,38:17:c3:1f:00:b2,eduroam,[WPA2-EAP-CCMP][ESS],5825.0,-64.0,508518631367.0
6,112.92681121826172,761.8450317382812,38:17:c3:1f:00:b1,csu-eid,[WPA2-EAP-CCMP][ESS],5825.0,-64.0,508518631367.0
7,112.92681121826172,761.8450317382812,38:17:c3:1f:00:a2,eduroam,[WPA2-EAP-CCMP][ESS],2412.0,-65.0,508518631367.0
8,112.92681121826172,761.8450317382812,38:17:c3:1f:00:a1,csu-eid,[WPA2-EAP-CCMP][ESS],2412.0,-65.0,508518631367.0
9,112.92681121826172,761.8450317382812,38:17:c3:1f:00:a0,csu-guest,[ESS],2412.0,-66.0,508518631367.0
10,112.92681121826172,761.8450317382812,38:17:c3:1f:14:02,eduroam,[WPA2-EAP-CCMP][ESS],2462.0,-71.0,508518631367.0
11,112.92681121826172,761.8450317382812,b4:5d:50:e1:96:43,engr_labs,[WPA2-PSK-CCMP][ESS],2437.0,-71.0,508518631367.0
12,112.92681121826172,761.8450317382812,38:17:c3:1f:14:01,csu-eid,[WPA2-EAP-CCMP][ESS],2462.0,-72.0,508518631367.0
13,112.92681121826172,761.8450317382812,38:17:c3:1f:14:00,csu-guest,[ESS],2462.0,-72.0,508518631367.0
14,112.92681121826172,761.8450317382812,44:48:c1:91:d0:04,engr_labs,[WPA2-PSK-CCMP][ESS],2437.0,-72.0,508518631367.0
15,112.92681121826172,761.8450317382812,20:a6:cd:42:0a:c1,eduroam,[WPA2-EAP-CCMP][ESS],2412.0,-72.0,508518631367.0
16,112.92681121826172,761.8450317382812,20:a6:cd:42:0a:c2,csu-guest,[ESS],2412.0,-73.0,508518631367.0
17,112.92681121826172,761.8450317382812,9c:d6:43:60:92:e0,Ember WiFi B689K4,[ESS],2437.0,-73.0,508518631367.0
18,112.92681121826172,761.8450317382812,44:48:c1:91:d0:01,csu-guest,[ESS],2437.0,-73.0,508518631367.0
19,112.92681121826172,761.8450317382812,44:48:c1:91:d0:00,csu-eid,[WPA2-EAP-CCMP][ESS],2437.0,-73.0,508518631367.0
20,112.92681121826172,761.8450317382812,44:48:c1:91:d0:02,eduroam,[WPA2-EAP-CCMP][ESS],2437.0,-73.0,508518631367.0
21,112.92681121826172,761.8450317382812,20:a6:cd:42:0a:c0,csu-eid,[WPA2-EAP-CCMP][ESS],2412.0,-73.0,508518631367.0
22,112.92681121826172,761.8450317382812,b4:5d:50:e1:96:40,csu-guest,[ESS],2437.0,-74.0,508518631367.0
23,112.92681121826172,761.8450317382812,20:a6:cd:42:0a:c3,engr_labs,[WPA2-PSK-CCMP][ESS],2412.0,-74.0,508518631367.0
24,112.92681121826172,761.8450317382812,a8:bd:27:4c:aa:83,engr_labs,[WPA2-PSK-CCMP][ESS],2412.0,-77.0,508518631367.0
25,112.92681121826172,761.8450317382812,44:48:c1:91:d0:11,csu-guest,[ESS],5785.0,-78.0,508518631367.0
26,112.92681121826172,761.8450317382812,44:48:c1:91:d0:10,csu-eid,[WPA2-EAP-CCMP][ESS],5785.0,-78.0,508518631367.0
27,112.92681121826172,761.8450317382812,44:48:c1:91:d0:14,engr_labs,[WPA2-PSK-CCMP][ESS],5785.0,-78.0,508518631367.0
28,112.92681121826172,761.8450317382812,44:48:c1:91:d0:12,eduroam,[WPA2-EAP-CCMP][ESS],5785.0,-78.0,508518631367.0
29,112.92681121826172,761.8450317382812,38:17:c3:1f:14:12,eduroam,[WPA2-EAP-CCMP][ESS],5200.0,-78.0,508518631367.0
30,112.92681121826172,761.8450317382812,20:a6:cd:42:0a:d3,engr_labs,[WPA2-PSK-CCMP][ESS],5240.0,-78.0,508518631367.0
31,112.92681121826172,761.8450317382812,20:a6:cd:42:0a:d0,csu-eid,[WPA2-EAP-CCMP][ESS],5240.0,-78.0,508518631367.0
32,112.92681121826172,761.8450317382812,38:17:c3:1f:14:11,csu-eid,[WPA2-EAP-CCMP][ESS],5200.0,-79.0,508518631367.0
33,112.92681121826172,761.8450317382812,38:17:c3:1f:14:10,csu-guest,[ESS],5200.0,-79.0,508518631367.0
34,112.92681121826172,761.8450317382812,38:17:c3:1f:09:83,engr_labs,[WPA2-PSK-CCMP][ESS],2462.0,-79.0,508518631367.0
35,112.92681121826172,761.8450317382812,20:a6:cd:42:0a:d1,eduroam,[WPA2-EAP-CCMP][ESS],5240.0,-79.0,508518631367.0
36,112.92681121826172,761.8450317382812,20:a6:cd:42:0a:d2,csu-guest,[ESS],5240.0,-79.0,508518631367.0
37,112.92681121826172,761.8450317382812,b4:5d:50:e1:96:53,engr_labs,[WPA2-PSK-CCMP][ESS],5180.0,-80.0,508518631367.0
38,112.92681121826172,761.8450317382812,b4:5d:50:e1:96:50,csu-guest,[ESS],5180.0,-80.0,508518631367.0
39,112.92681121826172,761.8450317382812,b4:5d:50:e1:96:52,eduroam,[WPA2-EAP-CCMP][ESS],5180.0,-80.0,508518631367.0
